left_term,right_term,left_h_rank,right_h_rank,pair_h_rank,left_nuisance_rank,right_nuisance_rank,pair_nuisance_rank,h_compression,nuisance_compression
t10,t01,1,1,2,1,1,2,0,0
t10,t02,1,1,2,1,1,2,0,0
t10,t03,1,1,2,1,1,2,0,0
t10,t04,1,1,2,1,1,2,0,0
t10,t05,1,1,2,1,1,2,0,0
t10,t06,1,1,2,1,1,2,0,0
t10,t07,1,1,2,1,1,2,0,0
t10,t08,1,1,2,1,1,2,0,0
t10,t09,1,1,2,1,1,2,0,0
t10,t11,1,1,2,1,1,2,0,0
t10,t12,1,1,2,1,1,2,0,0
t10,t13,1,1,2,1,1,2,0,0
t10,t14,1,1,2,1,1,2,0,0
t10,t15,1,1,2,1,1,2,0,0
t10,t16,1,1,2,1,1,2,0,0
t10,t17,1,1,2,1,1,2,0,0
t10,t18,1,1,2,1,1,2,0,0
t10,t19,1,1,2,1,1,2,0,0
t10,t20,1,1,2,1,1,2,0,0
t10,t21,1,1,2,1,1,2,0,0
t10,t22,1,1,2,1,1,2,0,0
t10,t23,1,1,2,1,1,2,0,0
t11,t01,1,1,2,1,1,2,0,0
t11,t02,1,1,2,1,1,2,0,0
t11,t03,1,1,2,1,1,2,0,0
t11,t04,1,1,2,1,1,2,0,0
t11,t05,1,1,2,1,1,2,0,0
t11,t06,1,1,2,1,1,2,0,0
t11,t07,1,1,2,1,1,2,0,0
t11,t08,1,1,2,1,1,2,0,0
t11,t09,1,1,2,1,1,2,0,0
t11,t10,1,1,2,1,1,2,0,0
t11,t12,1,1,2,1,1,2,0,0
t11,t13,1,1,2,1,1,2,0,0
t11,t14,1,1,2,1,1,2,0,0
t11,t15,1,1,2,1,1,2,0,0
t11,t16,1,1,2,1,1,2,0,0
t11,t17,1,1,2,1,1,2,0,0
t11,t18,1,1,2,1,1,2,0,0
t11,t19,1,1,2,1,1,2,0,0
t11,t20,1,1,2,1,1,2,0,0
t11,t21,1,1,2,1,1,2,0,0
t11,t22,1,1,2,1,1,2,0,0
t11,t23,1,1,2,1,1,2,0,0
t12,t01,1,1,2,1,1,2,0,0
t12,t02,1,1,2,1,1,2,0,0
t12,t03,1,1,2,1,1,2,0,0
t12,t04,1,1,2,1,1,2,0,0
t12,t05,1,1,2,1,1,2,0,0
t12,t06,1,1,2,1,1,2,0,0
t12,t07,1,1,2,1,1,2,0,0
t12,t08,1,1,2,1,1,2,0,0
t12,t09,1,1,2,1,1,2,0,0
t12,t10,1,1,2,1,1,2,0,0
t12,t11,1,1,2,1,1,2,0,0
t12,t13,1,1,2,1,1,2,0,0
t12,t14,1,1,2,1,1,2,0,0
t12,t15,1,1,2,1,1,2,0,0
t12,t16,1,1,2,1,1,2,0,0
t12,t17,1,1,2,1,1,2,0,0
t12,t18,1,1,2,1,1,2,0,0
t12,t19,1,1,2,1,1,2,0,0
t12,t20,1,1,2,1,1,2,0,0
t12,t21,1,1,2,1,1,2,0,0
t12,t22,1,1,2,1,1,2,0,0
t12,t23,1,1,2,1,1,2,0,0
t13,t01,1,1,2,1,1,2,0,0
t13,t02,1,1,2,1,1,2,0,0
t13,t03,1,1,2,1,1,2,0,0
t13,t04,1,1,2,1,1,2,0,0
t13,t05,1,1,2,1,1,2,0,0
t13,t06,1,1,2,1,1,2,0,0
t13,t07,1,1,2,1,1,2,0,0
t13,t08,1,1,2,1,1,2,0,0
t13,t09,1,1,2,1,1,2,0,0
t13,t10,1,1,2,1,1,2,0,0
t13,t11,1,1,2,1,1,2,0,0
t13,t12,1,1,2,1,1,2,0,0
t13,t14,1,1,2,1,1,2,0,0
t13,t15,1,1,2,1,1,2,0,0
t13,t16,1,1,2,1,1,2,0,0
t13,t17,1,1,2,1,1,2,0,0
t13,t18,1,1,2,1,1,2,0,0
t13,t19,1,1,2,1,1,2,0,0
t13,t20,1,1,2,1,1,2,0,0
t13,t21,1,1,2,1,1,2,0,0
t13,t22,1,1,2,1,1,2,0,0
t13,t23,1,1,2,1,1,2,0,0
t14,t01,1,1,2,1,1,2,0,0
t14,t02,1,1,2,1,1,2,0,0
t14,t03,1,1,2,1,1,2,0,0
t14,t04,1,1,2,1,1,2,0,0
t14,t05,1,1,2,1,1,2,0,0
t14,t06,1,1,2,1,1,2,0,0
t14,t07,1,1,2,1,1,2,0,0
t14,t08,1,1,2,1,1,2,0,0
t14,t09,1,1,2,1,1,2,0,0
t14,t10,1,1,2,1,1,2,0,0
t14,t11,1,1,2,1,1,2,0,0
t14,t12,1,1,2,1,1,2,0,0
t14,t13,1,1,2,1,1,2,0,0
t14,t15,1,1,2,1,1,2,0,0
t14,t16,1,1,2,1,1,2,0,0
t14,t17,1,1,2,1,1,2,0,0
t14,t18,1,1,2,1,1,2,0,0
t14,t19,1,1,2,1,1,2,0,0
t14,t20,1,1,2,1,1,2,0,0
t14,t21,1,1,2,1,1,2,0,0
t14,t22,1,1,2,1,1,2,0,0
t14,t23,1,1,2,1,1,2,0,0
t15,t01,1,1,2,1,1,2,0,0
t15,t02,1,1,2,1,1,2,0,0
t15,t03,1,1,2,1,1,2,0,0
t15,t04,1,1,2,1,1,2,0,0
t15,t05,1,1,2,1,1,2,0,0
t15,t06,1,1,2,1,1,2,0,0
t15,t07,1,1,2,1,1,2,0,0
t15,t08,1,1,2,1,1,2,0,0
t15,t09,1,1,2,1,1,2,0,0
t15,t10,1,1,2,1,1,2,0,0
t15,t11,1,1,2,1,1,2,0,0
t15,t12,1,1,2,1,1,2,0,0
t15,t13,1,1,2,1,1,2,0,0
t15,t14,1,1,2,1,1,2,0,0
t15,t16,1,1,2,1,1,2,0,0
t15,t17,1,1,2,1,1,2,0,0
t15,t18,1,1,2,1,1,2,0,0
t15,t19,1,1,2,1,1,2,0,0
t15,t20,1,1,2,1,1,2,0,0
t15,t21,1,1,2,1,1,2,0,0
t15,t22,1,1,2,1,1,2,0,0
t15,t23,1,1,2,1,1,2,0,0
t16,t01,1,1,2,1,1,2,0,0
t16,t02,1,1,2,1,1,2,0,0
t16,t03,1,1,2,1,1,2,0,0
t16,t04,1,1,2,1,1,2,0,0
t16,t05,1,1,2,1,1,2,0,0
t16,t06,1,1,2,1,1,2,0,0
t16,t07,1,1,2,1,1,2,0,0
t16,t08,1,1,2,1,1,2,0,0
t16,t09,1,1,2,1,1,2,0,0
t16,t10,1,1,2,1,1,2,0,0
t16,t11,1,1,2,1,1,2,0,0
t16,t12,1,1,2,1,1,2,0,0
t16,t13,1,1,2,1,1,2,0,0
t16,t14,1,1,2,1,1,2,0,0
t16,t15,1,1,2,1,1,2,0,0
t16,t17,1,1,2,1,1,2,0,0
t16,t18,1,1,2,1,1,2,0,0
t16,t19,1,1,2,1,1,2,0,0
t16,t20,1,1,2,1,1,2,0,0
t16,t21,1,1,2,1,1,2,0,0
t16,t22,1,1,2,1,1,2,0,0
t16,t23,1,1,2,1,1,2,0,0
t17,t01,1,1,2,1,1,2,0,0
t17,t02,1,1,2,1,1,2,0,0
t17,t03,1,1,2,1,1,2,0,0
t17,t04,1,1,2,1,1,2,0,0
t17,t05,1,1,2,1,1,2,0,0
t17,t06,1,1,2,1,1,2,0,0
t17,t07,1,1,2,1,1,2,0,0
t17,t08,1,1,2,1,1,2,0,0
t17,t09,1,1,2,1,1,2,0,0
t17,t10,1,1,2,1,1,2,0,0
t17,t11,1,1,2,1,1,2,0,0
t17,t12,1,1,2,1,1,2,0,0
t17,t13,1,1,2,1,1,2,0,0
t17,t14,1,1,2,1,1,2,0,0
t17,t15,1,1,2,1,1,2,0,0
t17,t16,1,1,2,1,1,2,0,0
t17,t18,1,1,2,1,1,2,0,0
t17,t19,1,1,2,1,1,2,0,0
t17,t20,1,1,2,1,1,2,0,0
t17,t21,1,1,2,1,1,2,0,0
t17,t22,1,1,2,1,1,2,0,0
t17,t23,1,1,2,1,1,2,0,0
t18,t01,1,1,2,1,1,2,0,0
t18,t02,1,1,2,1,1,2,0,0
t18,t03,1,1,2,1,1,2,0,0
t18,t04,1,1,2,1,1,2,0,0
t18,t05,1,1,2,1,1,2,0,0
t18,t06,1,1,2,1,1,2,0,0
t18,t07,1,1,2,1,1,2,0,0
t18,t08,1,1,2,1,1,2,0,0
t18,t09,1,1,2,1,1,2,0,0
t18,t10,1,1,2,1,1,2,0,0
t18,t11,1,1,2,1,1,2,0,0
t18,t12,1,1,2,1,1,2,0,0
t18,t13,1,1,2,1,1,2,0,0
t18,t14,1,1,2,1,1,2,0,0
t18,t15,1,1,2,1,1,2,0,0
t18,t16,1,1,2,1,1,2,0,0
t18,t17,1,1,2,1,1,2,0,0
t18,t19,1,1,2,1,1,2,0,0
t18,t20,1,1,2,1,1,2,0,0
t18,t21,1,1,2,1,1,2,0,0
t18,t22,1,1,2,1,1,2,0,0
t18,t23,1,1,2,1,1,2,0,0
t19,t01,1,1,2,1,1,2,0,0
t19,t02,1,1,2,1,1,2,0,0
t19,t03,1,1,2,1,1,2,0,0
t19,t04,1,1,2,1,1,2,0,0
t19,t05,1,1,2,1,1,2,0,0
t19,t06,1,1,2,1,1,2,0,0
t19,t07,1,1,2,1,1,2,0,0
t19,t08,1,1,2,1,1,2,0,0
t19,t09,1,1,2,1,1,2,0,0
t19,t10,1,1,2,1,1,2,0,0
t19,t11,1,1,2,1,1,2,0,0
t19,t12,1,1,2,1,1,2,0,0
t19,t13,1,1,2,1,1,2,0,0
t19,t14,1,1,2,1,1,2,0,0
t19,t15,1,1,2,1,1,2,0,0
t19,t16,1,1,2,1,1,2,0,0
t19,t17,1,1,2,1,1,2,0,0
t19,t18,1,1,2,1,1,2,0,0
t19,t20,1,1,2,1,1,2,0,0
t19,t21,1,1,2,1,1,2,0,0
t19,t22,1,1,2,1,1,2,0,0
t19,t23,1,1,2,1,1,2,0,0
t20,t01,1,1,2,1,1,2,0,0
t20,t02,1,1,2,1,1,2,0,0
t20,t03,1,1,2,1,1,2,0,0
t20,t04,1,1,2,1,1,2,0,0
t20,t05,1,1,2,1,1,2,0,0
t20,t06,1,1,2,1,1,2,0,0
t20,t07,1,1,2,1,1,2,0,0
t20,t08,1,1,2,1,1,2,0,0
t20,t09,1,1,2,1,1,2,0,0
t20,t10,1,1,2,1,1,2,0,0
t20,t11,1,1,2,1,1,2,0,0
t20,t12,1,1,2,1,1,2,0,0
t20,t13,1,1,2,1,1,2,0,0
t20,t14,1,1,2,1,1,2,0,0
t20,t15,1,1,2,1,1,2,0,0
t20,t16,1,1,2,1,1,2,0,0
t20,t17,1,1,2,1,1,2,0,0
t20,t18,1,1,2,1,1,2,0,0
t20,t19,1,1,2,1,1,2,0,0
t20,t21,1,1,2,1,1,2,0,0
t20,t22,1,1,2,1,1,2,0,0
t20,t23,1,1,2,1,1,2,0,0
t21,t01,1,1,2,1,1,2,0,0
t21,t02,1,1,2,1,1,2,0,0
t21,t03,1,1,2,1,1,2,0,0
t21,t04,1,1,2,1,1,2,0,0
t21,t05,1,1,2,1,1,2,0,0
t21,t06,1,1,2,1,1,2,0,0
t21,t07,1,1,2,1,1,2,0,0
t21,t08,1,1,2,1,1,2,0,0
t21,t09,1,1,2,1,1,2,0,0
t21,t10,1,1,2,1,1,2,0,0
t21,t11,1,1,2,1,1,2,0,0
t21,t12,1,1,2,1,1,2,0,0
t21,t13,1,1,2,1,1,2,0,0
t21,t14,1,1,2,1,1,2,0,0
t21,t15,1,1,2,1,1,2,0,0
t21,t16,1,1,2,1,1,2,0,0
t21,t17,1,1,2,1,1,2,0,0
t21,t18,1,1,2,1,1,2,0,0
t21,t19,1,1,2,1,1,2,0,0
t21,t20,1,1,2,1,1,2,0,0
t21,t22,1,1,2,1,1,2,0,0
t21,t23,1,1,2,1,1,2,0,0
t22,t01,1,1,2,1,1,2,0,0
t22,t02,1,1,2,1,1,2,0,0
t22,t03,1,1,2,1,1,2,0,0
t22,t04,1,1,2,1,1,2,0,0
t22,t05,1,1,2,1,1,2,0,0
t22,t06,1,1,2,1,1,2,0,0
t22,t07,1,1,2,1,1,2,0,0
t22,t08,1,1,2,1,1,2,0,0
t22,t09,1,1,2,1,1,2,0,0
t22,t10,1,1,2,1,1,2,0,0
t22,t11,1,1,2,1,1,2,0,0
t22,t12,1,1,2,1,1,2,0,0
t22,t13,1,1,2,1,1,2,0,0
t22,t14,1,1,2,1,1,2,0,0
t22,t15,1,1,2,1,1,2,0,0
t22,t16,1,1,2,1,1,2,0,0
t22,t17,1,1,2,1,1,2,0,0
t22,t18,1,1,2,1,1,2,0,0
t22,t19,1,1,2,1,1,2,0,0
t22,t20,1,1,2,1,1,2,0,0
t22,t21,1,1,2,1,1,2,0,0
t22,t23,1,1,2,1,1,2,0,0
t23,t01,1,1,2,1,1,2,0,0
t23,t02,1,1,2,1,1,2,0,0
t23,t03,1,1,2,1,1,2,0,0
t23,t04,1,1,2,1,1,2,0,0
t23,t05,1,1,2,1,1,2,0,0
t23,t06,1,1,2,1,1,2,0,0
t23,t07,1,1,2,1,1,2,0,0
t23,t08,1,1,2,1,1,2,0,0
t23,t09,1,1,2,1,1,2,0,0
t23,t10,1,1,2,1,1,2,0,0
t23,t11,1,1,2,1,1,2,0,0
t23,t12,1,1,2,1,1,2,0,0
t23,t13,1,1,2,1,1,2,0,0
t23,t14,1,1,2,1,1,2,0,0
t23,t15,1,1,2,1,1,2,0,0
t23,t16,1,1,2,1,1,2,0,0
t23,t17,1,1,2,1,1,2,0,0
t23,t18,1,1,2,1,1,2,0,0
t23,t19,1,1,2,1,1,2,0,0
t23,t20,1,1,2,1,1,2,0,0
t23,t21,1,1,2,1,1,2,0,0
t23,t22,1,1,2,1,1,2,0,0
