left_cxc_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,middle_xx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
30,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],20416,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[1,1]]"
31,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],20417,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[1,2]]"
32,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],20418,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[2,0]]"
33,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],20419,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[2,1]]"
34,8748,45,[5],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],20420,"CXXC[C[0,0],X[1,0|0,1],X[0,0|0,0],C[2,2]]"
35,8748,54,[6],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[0],21870,"CXXC[C[0,0],X[1,0|1,0],X[0,0|0,0],C[0,0]]"
36,17496,81,[6],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[1],21871,"CXXC[C[0,0],X[1,0|1,0],X[0,0|0,0],C[0,1]]"
37,8748,54,[6],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],21873,"CXXC[C[0,0],X[1,0|1,0],X[0,0|0,0],C[1,0]]"
38,17496,81,[6],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[3],21874,"CXXC[C[0,0],X[1,0|1,0],X[0,0|0,0],C[1,1]]"
39,8748,54,[6],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55]","[0, 1, 2, 3, 4, 5, 6, 7]",[2],21876,"CXXC[C[0,0],X[1,0|1,0],X[0,0|0,0],C[2,0]]"
