middle_xx_orbit_id,total_cxxc_count,distinct_face_pattern_count,left_cx_orbit_ids,right_xc_orbit_ids,outer_cc_orbit_ids,left_cxc_orbit_ids,right_cxc_orbit_ids,rep_cxxc_config_id,rep_cxxc_readable
26,4374,25,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2268,"CXXC[C[0,0],X[0,0|1,0],X[0,1|0,0],C[0,0]]"
27,8748,45,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2277,"CXXC[C[0,0],X[0,0|1,0],X[0,1|0,1],C[0,0]]"
28,4374,25,"[2, 3, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",2295,"CXXC[C[0,0],X[0,0|1,0],X[0,1|1,0],C[0,0]]"
29,8748,45,"[2, 3, 6, 7]","[0, 1, 2, 3]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",2304,"CXXC[C[0,0],X[0,0|1,0],X[0,1|1,1],C[0,0]]"
30,4374,25,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2322,"CXXC[C[0,0],X[0,0|1,0],X[0,1|2,0],C[0,0]]"
31,8748,45,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2331,"CXXC[C[0,0],X[0,0|1,0],X[0,1|2,1],C[0,0]]"
32,4374,25,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2349,"CXXC[C[0,0],X[0,0|1,0],X[0,2|0,0],C[0,0]]"
33,8748,45,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2358,"CXXC[C[0,0],X[0,0|1,0],X[0,2|0,1],C[0,0]]"
34,4374,25,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2376,"CXXC[C[0,0],X[0,0|1,0],X[0,2|1,0],C[0,0]]"
35,8748,45,"[2, 3, 6, 7]","[4, 5, 6, 7]","[0, 1, 2, 3]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2385,"CXXC[C[0,0],X[0,0|1,0],X[0,2|1,1],C[0,0]]"
