removed_term_id,epsilon,fixed_scale,als_iterations,als_loss,als_max_abs,ls_nfev,final_loss,final_max_abs,success_lt_1e_10,success_lt_1e_15
t02,0.4,0.6,153,0.020727843576975113,0.037300951068515664,200,0.020401786442266152,0.03698509026063098,False,False
t02,0.5,0.5,153,0.03689462997550735,0.0486676465580449,200,0.03621514673363136,0.04932293266189376,False,False
t02,0.6,0.4,153,0.06305650239037457,0.06556325134097851,200,0.062418591464912784,0.06592226525775269,False,False
t02,0.7,0.30000000000000004,153,0.0993251298044999,0.07844129983626291,200,0.09561979008538002,0.07949264324127192,False,False
t02,0.8,0.19999999999999996,153,0.1177834580505341,0.06745512137035803,200,0.1167328439495722,0.06662700500720575,False,False
t02,0.9,0.09999999999999998,153,0.1625895473283361,0.07073179718454414,200,0.16170202351980384,0.07048142186067707,False,False
t02,0.99,0.010000000000000009,153,7.1158079620515275,0.852885964158304,200,7.0674615333688,0.8543692877738067,False,False
t02,1.0,0.0,153,7.04534596270881,0.656431837031505,200,7.032485735973946,0.6579283853313882,False,False
t03,0.01,0.99,153,3.386302260774316e-05,0.002886545310032301,200,2.563658846080247e-05,0.002563163231299459,False,False
t03,0.05,0.95,153,0.0006804864171171413,0.013599524360590011,200,0.0006740526514727905,0.013474414941308521,False,False
t03,0.1,0.9,153,0.002909782743546363,0.02903809126848808,200,0.002909515632553031,0.029035208614041297,False,False
t03,0.2,0.8,153,0.013576584811462695,0.0672745410623293,200,0.013576071731733384,0.06726983951735555,False,False
t03,0.3,0.7,153,0.035654787690506604,0.11626284303727688,200,0.0356535663437297,0.11625192319986843,False,False
t03,0.4,0.6,153,0.07386751755882101,0.17707878426149043,200,0.07386452679249186,0.17705926548023498,False,False
t03,0.5,0.5,153,0.13397555945768022,0.25000528773330855,200,0.13397476161092217,0.2500003007159708,False,False
t03,0.6,0.4,153,0.2225767715015447,0.3344142838844945,200,0.22257626158134053,0.33441249041587584,False,False
t03,0.7,0.30000000000000004,153,0.3467087215741783,0.4287540807658942,200,0.3467084210569012,0.4287562272520222,False,False
t03,0.8,0.19999999999999996,153,0.5133942064634216,0.5309292673749311,200,0.5133940106668349,0.5309307313781133,False,False
t03,0.9,0.09999999999999998,153,0.7292123582049224,0.6386770535057911,200,0.7292122132140484,0.63869121458243,False,False
t03,0.99,0.010000000000000009,153,0.9702994332414088,0.7385731107803606,200,0.9702992792787822,0.738751647648402,False,False
t03,1.0,0.0,153,1.000000023147272,0.7483092520698101,200,1.0000000173435137,0.7483092609558053,False,False
t04,0.01,0.99,153,2.5922529445830815e-05,0.002587947298307137,200,2.1479477760658054e-05,0.002136693405106471,False,False
t04,0.05,0.95,153,0.000566205471184808,0.011152605905958984,200,0.0004540221126438694,0.008928699101693915,False,False
t04,0.1,0.9,153,0.0019797417351915406,0.0191329609115906,200,0.001977379276935516,0.019107821526874846,False,False
t04,0.2,0.8,153,0.009456424481031822,0.04403985805686583,200,0.009455237838292318,0.044039754124533204,False,False
t04,0.3,0.7,153,0.025609691501148075,0.07640234107253721,200,0.02560909975635269,0.07640568376359014,False,False
t04,0.4,0.6,153,0.055079642211851396,0.11789794856772284,200,0.055079006830178565,0.1179015824096541,False,False
t04,0.5,0.5,153,0.10435701781467041,0.1700166535700639,200,0.10435611019669937,0.17001992285802847,False,False
t04,0.6,0.4,153,0.18200351979735868,0.23362854310612186,200,0.18200226819108928,0.23363117273174017,False,False
t04,0.7,0.30000000000000004,153,0.29851086423760603,0.30860047555444114,200,0.2985091755917567,0.3086029885290872,False,False
t04,0.8,0.19999999999999996,153,0.4656895891728575,0.39369952523452173,200,0.4656873975085513,0.3936995338817024,False,False
t04,0.9,0.09999999999999998,153,0.695695048562261,0.4868626712447248,200,0.695692605264668,0.48686860728338544,False,False
t04,0.99,0.010000000000000009,153,0.9659281010754482,0.576109991186603,200,0.9659260969245979,0.5757280757759922,False,False
