base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
standard_rank27,rot14p0_budget0p05,14.0,0.05,2,1,0.04952288127173227,0.9999999999999996,0.9676375265624455,0.03236247343755405,1
alphatensor_rank23_transpose,rot14p0_budget0p1,14.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,rot14p0_budget0p1,14.0,0.1,2,2,0.09875716087832352,0.9999999999999996,0.9434373713559392,0.056562628644060364,1
alphatensor_rank23_transpose,rot14p0_budget0p2,14.0,0.2,1,1,0.19722643305962148,0.6245923009701738,0.588443384636773,0.03614891633340078,1
standard_rank27,rot14p0_budget0p2,14.0,0.2,2,2,0.19907521081381213,0.9999999999999996,0.89426305329307,0.10573694670692957,1
alphatensor_rank23_transpose,rot14p0_budget0p4,14.0,0.4,3,3,0.3981882277054257,0.6245923009701738,0.5620290207263156,0.06256328024385827,1
standard_rank27,rot14p0_budget0p4,14.0,0.4,5,5,0.3992075055967016,0.9999999999999996,0.8058266475523911,0.19417335244760847,1
alphatensor_rank23_transpose,rot14p0_budget0p8,14.0,0.8,6,6,0.7999049011276442,0.6245923009701738,0.5032650910213498,0.12132720994882407,1
standard_rank27,rot14p0_budget0p8,14.0,0.8,8,8,0.7995213413212366,0.9999999999999996,0.6509266848168921,0.34907331518310747,1
alphatensor_rank23_transpose,rot14p0_budget1p2,14.0,1.2,8,7,1.1996842257176192,0.6245923009701738,0.44496593107071486,0.17962636989945896,1
standard_rank27,rot14p0_budget1p2,14.0,1.2,13,12,1.199970731092298,0.9999999999999996,0.5282729558394519,0.47172704416054767,1
alphatensor_rank23_transpose,rot14p0_budget2p0,14.0,2.0,10,10,1.9997294102456387,0.6245923009701738,0.36419490171289487,0.26039739925727895,1
standard_rank27,rot14p0_budget2p0,14.0,2.0,16,16,1.8896469383705892,0.9999999999999996,0.37601138246622445,0.6239886175337751,1
alphatensor_rank23_transpose,rot16p0_budget0p05,16.0,0.05,1,1,0.047101050147179635,0.6245923009701738,0.6175649855931791,0.007027315376994747,1
standard_rank27,rot16p0_budget0p05,16.0,0.05,2,1,0.049619973015423605,0.9999999999999996,0.9676211055228082,0.03237889447719133,1
alphatensor_rank23_transpose,rot16p0_budget0p1,16.0,0.1,1,0,0.09713266268428107,0.6245923009701738,0.6053488503195167,0.019243450650657135,1
standard_rank27,rot16p0_budget0p1,16.0,0.1,2,2,0.09966008953268479,0.9999999999999996,0.9395602866093719,0.0604397133906277,1
alphatensor_rank23_transpose,rot16p0_budget0p2,16.0,0.2,2,2,0.19953840978286588,0.6245923009701738,0.5872918085411172,0.03730049242905664,1
standard_rank27,rot16p0_budget0p2,16.0,0.2,3,3,0.1993218609087059,0.9999999999999996,0.8963647427005503,0.10363525729944922,1
alphatensor_rank23_transpose,rot16p0_budget0p4,16.0,0.4,2,2,0.39916484719778633,0.6245923009701738,0.5627537316001076,0.061838569370066265,1
standard_rank27,rot16p0_budget0p4,16.0,0.4,5,5,0.3989455093513578,0.9999999999999996,0.8169490280984637,0.18305097190153585,1
alphatensor_rank23_transpose,rot16p0_budget0p8,16.0,0.8,6,6,0.7994451604891762,0.6245923009701738,0.5023673053506618,0.12222499561951206,1
standard_rank27,rot16p0_budget0p8,16.0,0.8,9,9,0.7999762477835499,0.9999999999999996,0.6540037723048374,0.34599622769516214,1
alphatensor_rank23_transpose,rot16p0_budget1p2,16.0,1.2,6,6,1.1995344286029672,0.6245923009701738,0.44883531182524805,0.17575698914492577,1
standard_rank27,rot16p0_budget1p2,16.0,1.2,13,12,1.1999570381113838,0.9999999999999996,0.5297115691997806,0.470288430800219,1
alphatensor_rank23_transpose,rot16p0_budget2p0,16.0,2.0,9,9,1.9986822855880353,0.6245923009701738,0.3623645272309128,0.26222777373926104,1
standard_rank27,rot16p0_budget2p0,16.0,2.0,16,16,1.8040790017925177,0.9999999999999996,0.37070383248341254,0.629296167516587,1
