action_id,pi_rA,pi_shared,pi_cB,inverse_action_id
126,"(1, 2, 0)","(1, 2, 0)","(0, 1, 2)",168
127,"(1, 2, 0)","(1, 2, 0)","(0, 2, 1)",169
128,"(1, 2, 0)","(1, 2, 0)","(1, 0, 2)",170
129,"(1, 2, 0)","(1, 2, 0)","(1, 2, 0)",172
130,"(1, 2, 0)","(1, 2, 0)","(2, 0, 1)",171
131,"(1, 2, 0)","(1, 2, 0)","(2, 1, 0)",173
132,"(1, 2, 0)","(2, 0, 1)","(0, 1, 2)",162
133,"(1, 2, 0)","(2, 0, 1)","(0, 2, 1)",163
134,"(1, 2, 0)","(2, 0, 1)","(1, 0, 2)",164
135,"(1, 2, 0)","(2, 0, 1)","(1, 2, 0)",166
136,"(1, 2, 0)","(2, 0, 1)","(2, 0, 1)",165
137,"(1, 2, 0)","(2, 0, 1)","(2, 1, 0)",167
138,"(1, 2, 0)","(2, 1, 0)","(0, 1, 2)",174
139,"(1, 2, 0)","(2, 1, 0)","(0, 2, 1)",175
140,"(1, 2, 0)","(2, 1, 0)","(1, 0, 2)",176
141,"(1, 2, 0)","(2, 1, 0)","(1, 2, 0)",178
142,"(1, 2, 0)","(2, 1, 0)","(2, 0, 1)",177
143,"(1, 2, 0)","(2, 1, 0)","(2, 1, 0)",179
144,"(2, 0, 1)","(0, 1, 2)","(0, 1, 2)",108
145,"(2, 0, 1)","(0, 1, 2)","(0, 2, 1)",109
146,"(2, 0, 1)","(0, 1, 2)","(1, 0, 2)",110
147,"(2, 0, 1)","(0, 1, 2)","(1, 2, 0)",112
148,"(2, 0, 1)","(0, 1, 2)","(2, 0, 1)",111
149,"(2, 0, 1)","(0, 1, 2)","(2, 1, 0)",113
150,"(2, 0, 1)","(0, 2, 1)","(0, 1, 2)",114
151,"(2, 0, 1)","(0, 2, 1)","(0, 2, 1)",115
152,"(2, 0, 1)","(0, 2, 1)","(1, 0, 2)",116
153,"(2, 0, 1)","(0, 2, 1)","(1, 2, 0)",118
154,"(2, 0, 1)","(0, 2, 1)","(2, 0, 1)",117
155,"(2, 0, 1)","(0, 2, 1)","(2, 1, 0)",119
156,"(2, 0, 1)","(1, 0, 2)","(0, 1, 2)",120
157,"(2, 0, 1)","(1, 0, 2)","(0, 2, 1)",121
158,"(2, 0, 1)","(1, 0, 2)","(1, 0, 2)",122
159,"(2, 0, 1)","(1, 0, 2)","(1, 2, 0)",124
160,"(2, 0, 1)","(1, 0, 2)","(2, 0, 1)",123
161,"(2, 0, 1)","(1, 0, 2)","(2, 1, 0)",125
162,"(2, 0, 1)","(1, 2, 0)","(0, 1, 2)",132
163,"(2, 0, 1)","(1, 2, 0)","(0, 2, 1)",133
164,"(2, 0, 1)","(1, 2, 0)","(1, 0, 2)",134
165,"(2, 0, 1)","(1, 2, 0)","(1, 2, 0)",136
166,"(2, 0, 1)","(1, 2, 0)","(2, 0, 1)",135
167,"(2, 0, 1)","(1, 2, 0)","(2, 1, 0)",137
168,"(2, 0, 1)","(2, 0, 1)","(0, 1, 2)",126
169,"(2, 0, 1)","(2, 0, 1)","(0, 2, 1)",127
170,"(2, 0, 1)","(2, 0, 1)","(1, 0, 2)",128
171,"(2, 0, 1)","(2, 0, 1)","(1, 2, 0)",130
172,"(2, 0, 1)","(2, 0, 1)","(2, 0, 1)",129
173,"(2, 0, 1)","(2, 0, 1)","(2, 1, 0)",131
174,"(2, 0, 1)","(2, 1, 0)","(0, 1, 2)",138
175,"(2, 0, 1)","(2, 1, 0)","(0, 2, 1)",139
176,"(2, 0, 1)","(2, 1, 0)","(1, 0, 2)",140
177,"(2, 0, 1)","(2, 1, 0)","(1, 2, 0)",142
178,"(2, 0, 1)","(2, 1, 0)","(2, 0, 1)",141
179,"(2, 0, 1)","(2, 1, 0)","(2, 1, 0)",143
180,"(2, 1, 0)","(0, 1, 2)","(0, 1, 2)",180
181,"(2, 1, 0)","(0, 1, 2)","(0, 2, 1)",181
182,"(2, 1, 0)","(0, 1, 2)","(1, 0, 2)",182
183,"(2, 1, 0)","(0, 1, 2)","(1, 2, 0)",184
184,"(2, 1, 0)","(0, 1, 2)","(2, 0, 1)",183
185,"(2, 1, 0)","(0, 1, 2)","(2, 1, 0)",185
186,"(2, 1, 0)","(0, 2, 1)","(0, 1, 2)",186
187,"(2, 1, 0)","(0, 2, 1)","(0, 2, 1)",187
188,"(2, 1, 0)","(0, 2, 1)","(1, 0, 2)",188
189,"(2, 1, 0)","(0, 2, 1)","(1, 2, 0)",190
190,"(2, 1, 0)","(0, 2, 1)","(2, 0, 1)",189
191,"(2, 1, 0)","(0, 2, 1)","(2, 1, 0)",191
192,"(2, 1, 0)","(1, 0, 2)","(0, 1, 2)",192
193,"(2, 1, 0)","(1, 0, 2)","(0, 2, 1)",193
194,"(2, 1, 0)","(1, 0, 2)","(1, 0, 2)",194
195,"(2, 1, 0)","(1, 0, 2)","(1, 2, 0)",196
196,"(2, 1, 0)","(1, 0, 2)","(2, 0, 1)",195
197,"(2, 1, 0)","(1, 0, 2)","(2, 1, 0)",197
198,"(2, 1, 0)","(1, 2, 0)","(0, 1, 2)",204
199,"(2, 1, 0)","(1, 2, 0)","(0, 2, 1)",205
200,"(2, 1, 0)","(1, 2, 0)","(1, 0, 2)",206
201,"(2, 1, 0)","(1, 2, 0)","(1, 2, 0)",208
202,"(2, 1, 0)","(1, 2, 0)","(2, 0, 1)",207
203,"(2, 1, 0)","(1, 2, 0)","(2, 1, 0)",209
204,"(2, 1, 0)","(2, 0, 1)","(0, 1, 2)",198
205,"(2, 1, 0)","(2, 0, 1)","(0, 2, 1)",199
206,"(2, 1, 0)","(2, 0, 1)","(1, 0, 2)",200
207,"(2, 1, 0)","(2, 0, 1)","(1, 2, 0)",202
208,"(2, 1, 0)","(2, 0, 1)","(2, 0, 1)",201
209,"(2, 1, 0)","(2, 0, 1)","(2, 1, 0)",203
210,"(2, 1, 0)","(2, 1, 0)","(0, 1, 2)",210
211,"(2, 1, 0)","(2, 1, 0)","(0, 2, 1)",211
212,"(2, 1, 0)","(2, 1, 0)","(1, 0, 2)",212
213,"(2, 1, 0)","(2, 1, 0)","(1, 2, 0)",214
214,"(2, 1, 0)","(2, 1, 0)","(2, 0, 1)",213
215,"(2, 1, 0)","(2, 1, 0)","(2, 1, 0)",215
