schema,orbit_id,rep_config_id,orbit_size,stabilizer_order,stabilizer_type,is_abelian,element_orders,generator_action_ids
CXC,24,249,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXC,25,250,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,26,252,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,27,253,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,28,254,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,29,255,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,30,256,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,31,257,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,32,258,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,33,259,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,34,260,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXC,35,270,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXC,36,271,216,1,Trivial,True,"{""1"": 1}",[]
CXC,37,273,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXC,38,274,216,1,Trivial,True,"{""1"": 1}",[]
CXC,39,276,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXC,40,277,216,1,Trivial,True,"{""1"": 1}",[]
CXC,41,279,216,1,Trivial,True,"{""1"": 1}",[]
CXC,42,280,216,1,Trivial,True,"{""1"": 1}",[]
CXC,43,281,216,1,Trivial,True,"{""1"": 1}",[]
CXC,44,282,216,1,Trivial,True,"{""1"": 1}",[]
CXC,45,283,216,1,Trivial,True,"{""1"": 1}",[]
CXC,46,284,216,1,Trivial,True,"{""1"": 1}",[]
CXC,47,285,216,1,Trivial,True,"{""1"": 1}",[]
CXC,48,286,216,1,Trivial,True,"{""1"": 1}",[]
CXC,49,287,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,0,0,27,8,(Z2)^3,True,"{""1"": 1, ""2"": 7}","[1, 6, 36]"
CXXC,1,1,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,2,3,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXXC,3,4,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,4,9,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,5,10,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,6,11,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,7,12,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,8,13,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,9,14,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,10,27,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 36]"
CXXC,11,28,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,12,30,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,13,31,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,14,36,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,15,37,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,16,38,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,17,39,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,18,40,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,19,41,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,20,81,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 36]"
CXXC,21,82,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,22,84,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,23,85,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,24,90,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,25,91,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,26,92,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,27,93,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,28,94,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,29,95,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,30,108,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 36]"
CXXC,31,109,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,32,111,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,33,112,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,34,117,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,35,118,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,36,119,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,37,120,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,38,121,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,39,122,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,40,135,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 36]"
CXXC,41,136,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,42,138,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,43,139,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,44,144,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,45,145,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,46,146,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,47,147,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,48,148,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,49,149,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,50,243,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXXC,51,244,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,52,246,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXXC,53,247,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,54,249,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[1, 6]"
CXXC,55,250,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,56,252,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,57,253,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,58,254,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,59,255,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,60,256,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,61,257,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,62,258,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,63,259,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,64,260,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,65,270,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,66,271,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,67,273,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,68,274,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,69,276,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,70,277,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,71,279,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,72,280,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,73,281,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,74,282,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,75,283,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,76,284,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,77,285,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,78,286,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,79,287,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,80,324,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,81,325,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,82,327,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,83,328,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,84,330,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,85,331,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,86,333,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,87,334,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,88,335,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,89,336,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,90,337,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,91,338,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,92,339,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,93,340,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,94,341,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,95,351,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,96,352,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,97,354,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,98,355,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,99,357,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,100,358,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,101,360,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,102,361,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,103,362,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,104,363,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,105,364,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,106,365,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,107,366,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,108,367,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,109,368,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,110,378,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,111,379,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,112,381,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,113,382,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,114,384,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[1]
CXXC,115,385,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,116,387,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,117,388,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,118,389,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,119,390,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,120,391,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,121,392,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,122,393,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,123,394,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,124,395,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,125,729,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,126,730,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,127,731,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,128,732,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,129,733,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,130,734,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,131,738,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,132,739,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,133,740,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,134,741,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,135,742,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,136,743,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,137,747,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,138,748,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,139,749,54,4,Z2xZ2,True,"{""1"": 1, ""2"": 3}","[6, 36]"
CXXC,140,750,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,141,751,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,142,752,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,143,756,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,144,757,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,145,758,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,146,759,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,147,760,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,148,761,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,149,765,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,150,766,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,151,767,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,152,768,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,153,769,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,154,770,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,155,774,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,156,775,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,157,776,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,158,777,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,159,778,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,160,779,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,161,810,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,162,811,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,163,812,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,164,813,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,165,814,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,166,815,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,167,819,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,168,820,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,169,821,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,170,822,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,171,823,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,172,824,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,173,828,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,174,829,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,175,830,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,176,831,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,177,832,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,178,833,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,179,837,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,180,838,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,181,839,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,182,840,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,183,841,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,184,842,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,185,846,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,186,847,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,187,848,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,188,849,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,189,850,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,190,851,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,191,855,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,192,856,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,193,857,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,194,858,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,195,859,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,196,860,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,197,864,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,198,865,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,199,866,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,200,867,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,201,868,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,202,869,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,203,873,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,204,874,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,205,875,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,206,876,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,207,877,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,208,878,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,209,882,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,210,883,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,211,884,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[36]
CXXC,212,885,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,213,886,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,214,887,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,215,972,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,216,973,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,217,974,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,218,975,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,219,976,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,220,977,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,221,978,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,222,979,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,223,980,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,224,981,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,225,982,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,226,983,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,227,984,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,228,985,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,229,986,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,230,987,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,231,988,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,232,989,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,233,990,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,234,991,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,235,992,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,236,993,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,237,994,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,238,995,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,239,996,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,240,997,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,241,998,108,2,Z2,True,"{""1"": 1, ""2"": 1}",[6]
CXXC,242,999,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,243,1000,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,244,1001,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,245,1002,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,246,1003,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,247,1004,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,248,1005,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,249,1006,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,250,1007,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,251,1008,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,252,1009,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,253,1010,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,254,1011,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,255,1012,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,256,1013,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,257,1014,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,258,1015,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,259,1016,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,260,1017,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,261,1018,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,262,1019,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,263,1020,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,264,1021,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,265,1022,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,266,1023,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,267,1024,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,268,1025,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,269,1053,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,270,1054,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,271,1055,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,272,1056,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,273,1057,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,274,1058,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,275,1059,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,276,1060,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,277,1061,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,278,1062,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,279,1063,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,280,1064,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,281,1065,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,282,1066,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,283,1067,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,284,1068,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,285,1069,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,286,1070,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,287,1071,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,288,1072,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,289,1073,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,290,1074,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,291,1075,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,292,1076,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,293,1077,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,294,1078,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,295,1079,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,296,1080,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,297,1081,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,298,1082,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,299,1083,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,300,1084,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,301,1085,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,302,1086,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,303,1087,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,304,1088,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,305,1089,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,306,1090,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,307,1091,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,308,1092,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,309,1093,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,310,1094,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,311,1095,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,312,1096,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,313,1097,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,314,1098,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,315,1099,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,316,1100,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,317,1101,216,1,Trivial,True,"{""1"": 1}",[]
CXXC,318,1102,216,1,Trivial,True,"{""1"": 1}",[]
