action_id,pi_rA,pi_shared,pi_cB,alpha_cycle_lengths,beta_cycle_lengths,fixed_projective_alpha_lines,fixed_projective_beta_lines,fixed_profile_classes,provenance
86,"(1, 0, 2)","(1, 0, 2)","(1, 0, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
87,"(1, 0, 2)","(1, 0, 2)","(1, 2, 0)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
88,"(1, 0, 2)","(1, 0, 2)","(2, 0, 1)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
89,"(1, 0, 2)","(1, 0, 2)","(2, 1, 0)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
90,"(1, 0, 2)","(1, 2, 0)","(0, 1, 2)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
91,"(1, 0, 2)","(1, 2, 0)","(0, 2, 1)","[6, 3]","[3, 6]",5,5,25,EXACT_DERIVED
92,"(1, 0, 2)","(1, 2, 0)","(1, 0, 2)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
93,"(1, 0, 2)","(1, 2, 0)","(1, 2, 0)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
94,"(1, 0, 2)","(1, 2, 0)","(2, 0, 1)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
95,"(1, 0, 2)","(1, 2, 0)","(2, 1, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
96,"(1, 0, 2)","(2, 0, 1)","(0, 1, 2)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
97,"(1, 0, 2)","(2, 0, 1)","(0, 2, 1)","[6, 3]","[3, 6]",5,5,25,EXACT_DERIVED
98,"(1, 0, 2)","(2, 0, 1)","(1, 0, 2)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
99,"(1, 0, 2)","(2, 0, 1)","(1, 2, 0)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
100,"(1, 0, 2)","(2, 0, 1)","(2, 0, 1)","[6, 3]","[3, 3, 3]",5,13,65,EXACT_DERIVED
101,"(1, 0, 2)","(2, 0, 1)","(2, 1, 0)","[6, 3]","[6, 3]",5,5,25,EXACT_DERIVED
102,"(1, 0, 2)","(2, 1, 0)","(0, 1, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 1, 1]",161,377,60697,EXACT_DERIVED
103,"(1, 0, 2)","(2, 1, 0)","(0, 2, 1)","[2, 2, 2, 2, 1]","[2, 2, 2, 1, 2]",161,161,25921,EXACT_DERIVED
104,"(1, 0, 2)","(2, 1, 0)","(1, 0, 2)","[2, 2, 2, 2, 1]","[2, 2, 2, 2, 1]",161,161,25921,EXACT_DERIVED
105,"(1, 0, 2)","(2, 1, 0)","(1, 2, 0)","[2, 2, 2, 2, 1]","[6, 3]",161,5,805,EXACT_DERIVED
