family,sample_id,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,provenance
ternary_sample,214,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,215,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,216,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,217,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,218,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,219,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,220,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,221,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,222,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,223,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,224,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,225,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,226,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,227,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,228,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,229,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,230,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,231,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,232,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,233,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,234,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,235,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,236,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,237,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,238,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,239,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,240,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,241,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,242,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,243,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,244,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,245,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,246,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,247,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,248,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,249,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,250,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,251,9,14,15,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,252,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,253,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,254,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,255,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,256,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,257,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,258,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,259,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,260,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,261,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,262,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,263,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,264,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,265,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,266,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,267,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,268,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,269,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,270,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,271,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,272,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,273,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,274,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,275,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,276,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,277,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,278,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,279,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,280,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,281,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,282,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,283,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,284,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,285,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,286,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,287,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,288,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,289,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,290,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,291,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,292,9,14,15,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,293,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,294,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,295,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,296,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,297,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,298,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,299,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,300,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,301,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,302,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,303,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,304,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,305,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,306,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,307,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,308,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,309,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,310,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,311,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,312,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,313,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,314,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,315,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,316,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,317,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,318,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,319,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,320,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,321,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,322,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,323,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,324,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,325,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,326,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,327,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,328,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,329,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,330,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,331,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,332,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,333,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,334,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,335,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,336,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,337,9,14,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,338,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,339,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,340,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,341,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,342,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,343,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,344,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,345,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,346,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,347,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,348,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,349,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,350,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,351,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,352,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,353,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,354,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,355,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,356,9,15,16,16,16,0,False,False,False,EXACT_DERIVED
ternary_sample,357,9,16,16,16,16,0,False,False,False,EXACT_DERIVED
