orbit_A,orbit_B,compatible,total_pairs,output_orbits,deterministic,stab_type_A,stab_type_B,stab_type_out,output_counts
5,4,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,5,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,6,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,10,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,20,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,30,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,34,False,0,[],False,Z2xZ2,Z2,[],{}
5,40,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,50,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,52,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,54,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,95,False,0,[],False,Z2xZ2,Z2,[],{}
5,125,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,126,True,54,[1],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{1: 54}
5,127,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,131,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,132,True,54,[5],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{5: 54}
5,133,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,137,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,138,True,54,[6],True,Z2xZ2,Z2xZ2,['Z2xZ2'],{6: 54}
5,139,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,143,False,0,[],False,Z2xZ2,Z2,[],{}
5,161,False,0,[],False,Z2xZ2,Z2,[],{}
5,179,False,0,[],False,Z2xZ2,Z2,[],{}
5,185,False,0,[],False,Z2xZ2,Z2,[],{}
5,191,False,0,[],False,Z2xZ2,Z2,[],{}
5,197,False,0,[],False,Z2xZ2,Z2,[],{}
5,215,False,0,[],False,Z2xZ2,Z2,[],{}
5,296,False,0,[],False,Z2xZ2,Trivial,[],{}
5,350,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,354,False,0,[],False,Z2xZ2,Z2,[],{}
5,360,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,370,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,380,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,390,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,394,False,0,[],False,Z2xZ2,Z2,[],{}
5,400,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,410,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,420,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,430,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,434,False,0,[],False,Z2xZ2,Z2,[],{}
5,440,False,0,[],False,Z2xZ2,Z2,[],{}
5,500,False,0,[],False,Z2xZ2,Z2,[],{}
5,560,False,0,[],False,Z2xZ2,Z2,[],{}
5,980,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,982,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,984,False,0,[],False,Z2xZ2,Z2xZ2,[],{}
5,986,False,0,[],False,Z2xZ2,Z2,[],{}
5,995,False,0,[],False,Z2xZ2,Z2,[],{}
