variable_index,term_index,term_id,factor_name,flat_index,row_index,col_index,witness_value,start_value,endpoint_value,provenance
19,3,t04,gamma,7,2,1,1.0000000000000000e+00,1.0318492784449698e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
20,4,t05,alpha,2,0,2,1.0000000000000000e+00,9.1158229070248786e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
21,4,t05,alpha,8,2,2,1.0000000000000000e+00,8.7787834445659207e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
22,4,t05,beta,2,0,2,1.0000000000000000e+00,1.0668511202923545e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
23,4,t05,beta,4,1,1,-1.0000000000000000e+00,-9.9878303828048509e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
24,4,t05,beta,5,1,2,1.0000000000000000e+00,9.8263011863748573e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
25,4,t05,beta,7,2,1,-1.0000000000000000e+00,-1.0121568289418454e+00,-9.9999999999999989e-01,MEASURED_FROM_CODE
26,4,t05,gamma,2,0,2,-1.0000000000000000e+00,-9.6086510926170721e-01,-1.0000000000000002e+00,MEASURED_FROM_CODE
27,4,t05,gamma,7,2,1,-1.0000000000000000e+00,-9.8326038423252604e-01,-1.0000000000000002e+00,MEASURED_FROM_CODE
28,5,t06,alpha,1,0,1,-1.0000000000000000e+00,-1.0231770545802064e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
29,5,t06,alpha,3,1,0,1.0000000000000000e+00,9.0823647832077414e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
30,5,t06,gamma,4,1,1,-1.0000000000000000e+00,-9.6691736531826455e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
31,6,t07,alpha,2,0,2,1.0000000000000000e+00,1.0636593770083478e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
32,6,t07,alpha,6,2,0,-1.0000000000000000e+00,-9.9638547805088873e-01,-9.9999999999999989e-01,MEASURED_FROM_CODE
33,6,t07,alpha,8,2,2,1.0000000000000000e+00,1.0590004933873809e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
34,6,t07,beta,2,0,2,1.0000000000000000e+00,9.3914650969425950e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
35,6,t07,beta,3,1,0,1.0000000000000000e+00,1.0425864552925532e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
36,6,t07,gamma,0,0,0,-1.0000000000000000e+00,-1.0177274426409395e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
37,6,t07,gamma,7,2,1,1.0000000000000000e+00,9.3017579305105114e-01,1.0000000000000002e+00,MEASURED_FROM_CODE
38,7,t08,alpha,1,0,1,-1.0000000000000000e+00,-9.8482932912825205e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
39,7,t08,beta,2,0,2,1.0000000000000000e+00,1.0348620619656357e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
40,7,t08,gamma,0,0,0,1.0000000000000000e+00,1.0240885960345820e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
41,7,t08,gamma,1,0,1,-1.0000000000000000e+00,-1.0665864172723460e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
42,7,t08,gamma,4,1,1,1.0000000000000000e+00,1.0245237574056549e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
43,8,t09,alpha,6,2,0,1.0000000000000000e+00,9.6200873700475709e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
44,8,t09,beta,1,0,1,1.0000000000000000e+00,9.7425538929876920e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
45,8,t09,beta,2,0,2,-1.0000000000000000e+00,-1.0155611938565345e+00,-9.9999999999999978e-01,MEASURED_FROM_CODE
46,8,t09,gamma,0,0,0,1.0000000000000000e+00,9.6292967699662102e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
47,9,t10,alpha,8,2,2,-1.0000000000000000e+00,-9.9834805197787302e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
48,9,t10,beta,2,0,2,1.0000000000000000e+00,9.8708993219640340e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
49,9,t10,beta,4,1,1,-1.0000000000000000e+00,-1.0302869281364284e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
50,9,t10,beta,5,1,2,1.0000000000000000e+00,9.6023802646977918e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
51,9,t10,beta,7,2,1,-1.0000000000000000e+00,-1.0310313224031160e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
52,9,t10,beta,8,2,2,1.0000000000000000e+00,1.0173830836845617e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
53,9,t10,gamma,2,0,2,-1.0000000000000000e+00,-9.7458155446146022e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
54,10,t11,alpha,2,0,2,1.0000000000000000e+00,9.9087020812408677e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
55,10,t11,alpha,7,2,1,-1.0000000000000000e+00,-1.0662189520751153e+00,-9.9999999999999989e-01,MEASURED_FROM_CODE
56,10,t11,alpha,8,2,2,1.0000000000000000e+00,9.6021696942631474e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
57,10,t11,beta,4,1,1,1.0000000000000000e+00,1.0201653024827286e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
58,10,t11,beta,5,1,2,-1.0000000000000000e+00,-9.3975521539126372e-01,-9.9999999999999989e-01,MEASURED_FROM_CODE
59,10,t11,gamma,7,2,1,-1.0000000000000000e+00,-1.0116551367311479e+00,-1.0000000000000002e+00,MEASURED_FROM_CODE
60,11,t12,alpha,8,2,2,-1.0000000000000000e+00,-9.5965451858244910e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
61,11,t12,beta,2,0,2,1.0000000000000000e+00,1.0103446240985794e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
62,11,t12,beta,3,1,0,1.0000000000000000e+00,1.0261851714756094e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
63,11,t12,gamma,0,0,0,-1.0000000000000000e+00,-1.0470076419494219e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
64,12,t13,beta,3,1,0,1.0000000000000000e+00,9.9655106067169308e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
65,12,t13,beta,6,2,0,-1.0000000000000000e+00,-9.6439036418714807e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
66,12,t13,gamma,0,0,0,-1.0000000000000000e+00,-9.5719928314481528e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
67,12,t13,gamma,6,2,0,1.0000000000000000e+00,1.0488917699972793e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
68,12,t13,gamma,7,2,1,-1.0000000000000000e+00,-1.0246448036232945e+00,-9.9999999999999989e-01,MEASURED_FROM_CODE
69,12,t13,gamma,8,2,2,-1.0000000000000000e+00,-9.6702471406195756e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
70,13,t14,alpha,6,2,0,1.0000000000000000e+00,9.4667254224079644e-01,9.9999999999999978e-01,MEASURED_FROM_CODE
71,13,t14,alpha,7,2,1,-1.0000000000000000e+00,-1.0266735212455713e+00,-9.9999999999999989e-01,MEASURED_FROM_CODE
72,13,t14,beta,2,0,2,1.0000000000000000e+00,1.0147148624044313e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
73,13,t14,beta,3,1,0,1.0000000000000000e+00,9.6865554743718929e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
74,13,t14,beta,6,2,0,-1.0000000000000000e+00,-1.0876252831925859e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
75,13,t14,gamma,3,1,0,-1.0000000000000000e+00,-1.0602223347540252e+00,-1.0000000000000002e+00,MEASURED_FROM_CODE
76,13,t14,gamma,7,2,1,1.0000000000000000e+00,1.0067194342285892e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
77,13,t14,gamma,8,2,2,1.0000000000000000e+00,1.0747834084016961e+00,1.0000000000000002e+00,MEASURED_FROM_CODE
78,14,t15,alpha,4,1,1,-1.0000000000000000e+00,-1.0482700285672995e+00,-1.0000000000000002e+00,MEASURED_FROM_CODE
79,14,t15,alpha,6,2,0,1.0000000000000000e+00,1.1158738071829604e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
80,14,t15,beta,2,0,2,1.0000000000000000e+00,1.0438966924723316e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
81,14,t15,beta,6,2,0,-1.0000000000000000e+00,-9.8330417430658457e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
82,14,t15,gamma,3,1,0,1.0000000000000000e+00,1.0188370086653735e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
83,15,t16,gamma,8,2,2,1.0000000000000000e+00,8.9890490478988538e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
84,16,t17,gamma,3,1,0,1.0000000000000000e+00,9.4067877938660682e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
85,17,t18,gamma,5,1,2,1.0000000000000000e+00,9.7750846868836805e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
86,17,t18,gamma,8,2,2,-1.0000000000000000e+00,-1.0156797406734870e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
87,18,t19,alpha,8,2,2,1.0000000000000000e+00,1.0384234131491286e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
88,18,t19,gamma,0,0,0,-1.0000000000000000e+00,-9.0271656732963179e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
89,18,t19,gamma,6,2,0,1.0000000000000000e+00,1.0952323706978320e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
90,19,t20,gamma,2,0,2,1.0000000000000000e+00,9.5037193691060262e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
91,19,t20,gamma,4,1,1,-1.0000000000000000e+00,-1.0243306555843381e+00,-9.9999999999999989e-01,MEASURED_FROM_CODE
92,19,t20,gamma,5,1,2,-1.0000000000000000e+00,-9.8815133632413443e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
93,20,t21,alpha,7,2,1,-1.0000000000000000e+00,-1.0114644685341831e+00,-9.9999999999999989e-01,MEASURED_FROM_CODE
94,20,t21,beta,2,0,2,1.0000000000000000e+00,9.9747978340362164e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
95,20,t21,beta,3,1,0,1.0000000000000000e+00,9.2363798067871627e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
96,20,t21,beta,5,1,2,1.0000000000000000e+00,9.4000255814491362e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
97,20,t21,beta,6,2,0,-1.0000000000000000e+00,-9.7462070541067647e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
98,20,t21,gamma,7,2,1,-1.0000000000000000e+00,-1.0234114291951311e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
99,20,t21,gamma,8,2,2,-1.0000000000000000e+00,-8.6206877956599792e-01,-1.0000000000000002e+00,MEASURED_FROM_CODE
100,21,t22,gamma,5,1,2,1.0000000000000000e+00,1.0126014636175580e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
101,22,t23,alpha,7,2,1,-1.0000000000000000e+00,-1.0029760466641280e+00,-1.0000000000000002e+00,MEASURED_FROM_CODE
102,22,t23,gamma,3,1,0,1.0000000000000000e+00,1.0216136273844891e+00,9.9999999999999978e-01,MEASURED_FROM_CODE
103,22,t23,gamma,6,2,0,-1.0000000000000000e+00,-9.8661588010116208e-01,-9.9999999999999989e-01,MEASURED_FROM_CODE
104,22,t23,gamma,7,2,1,1.0000000000000000e+00,1.0286180713046993e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
