label,term,alpha,beta,gamma
combined_hamilton,h_29,"[[-0.450195,-0.139341,-0.544562],[0.600606,0.652311,-0.106267],[-0.740892,-0.618054,-0.202117]]","[[-0.231031,0.408041,-1.135675],[-0.552877,-0.228986,-0.565455],[-0.117067,-0.373191,0.460017]]","[[0.12602,-0.143567,-0.046406],[-0.10213,-0.25915,-0.120366],[0.404428,0.209703,0.13313]]"
combined_hamilton,h_30,"[[0.192363,-0.339748,0.945598],[0.460342,0.190661,0.470815],[0.097474,0.31073,-0.383025]]","[[-0.521867,-0.161525,-0.631258],[0.696224,0.756162,-0.123186],[-0.858843,-0.716449,-0.234295]]","[[-0.045585,0.202666,-0.373547],[-0.225163,0.062947,-0.358964],[0.321687,0.244755,-0.017362]]"
combined_hamilton,h_31,"[[0.054477,-0.116019,-0.063506],[0.26608,-0.484431,0.225911],[0.604234,-1.112824,0.429954]]","[[0.281876,-0.444023,0.690235],[-0.326586,0.550066,-0.567545],[0.082761,-0.28907,-0.831942]]","[[-0.030802,0.104931,-0.150927],[0.105992,-0.268208,0.340305],[0.299237,-0.413985,0.29901]]"
combined_hamilton,h_32,"[[-0.037458,-0.024527,-0.636291],[0.110051,-0.091,0.806378],[0.430284,-0.81972,0.128458]]","[[-0.15935,0.330403,0.127344],[0.517906,-1.05349,-0.28116],[0.091104,0.008312,1.21284]]","[[-0.072597,0.054251,-0.219015],[0.151781,-0.133648,0.458904],[0.066204,-0.181308,0.206244]]"
combined_hamilton,h_33,"[[0.835021,-0.662374,0.119856],[0.08599,-0.965111,0.346406],[-0.374815,-0.196392,0.13009]]","[[0.31833,0.357478,-0.181507],[-0.946959,-0.027432,0.154078],[1.210184,0.287406,-0.290898]]","[[0.178826,-0.368659,0.118241],[0.393283,-0.194567,-0.090488],[-0.173651,0.128475,0.015741]]"
combined_hamilton,h_34,"[[-0.043623,-0.563193,0.216397],[-0.30654,0.482409,-0.133111],[1.33457,0.633726,-0.438786]]","[[-0.496017,1.128974,-0.345149],[-0.583091,0.589949,-0.131153],[0.495487,0.050097,-0.093933]]","[[0.579587,-0.353109,0.309933],[-0.202746,-0.526423,0.016322],[-0.012534,0.249718,-0.053164]]"
combined_hamilton,h_35,"[[0.132265,-0.276533,-0.120618],[-0.098842,0.243497,0.330329],[0.399028,-0.836087,-0.375762]]","[[-0.149224,0.139547,-0.988101],[-0.228096,0.602176,1.024765],[-0.209717,0.339648,-0.452952]]","[[0.017088,-0.050204,-0.196292],[0.011189,0.041513,0.373948],[0.29027,-0.367862,-0.058601]]"
combined_hamilton,h_36,"[[-0.110629,0.103454,-0.732536],[-0.169101,0.446428,0.759717],[-0.155475,0.251801,-0.335799]]","[[-0.141146,0.295101,0.128717],[0.105478,-0.259846,-0.352509],[-0.425821,0.892227,0.400993]]","[[0.064688,-0.210244,-0.036984],[-0.134127,0.427665,-0.003374],[-0.051696,0.114137,-0.492353]]"
combined_hamilton,h_37,"[[0.711801,-1.031498,-1.09331],[0.031938,-0.797588,-0.624524],[-0.246895,-0.025315,0.085786]]","[[0.071046,-0.424977,-0.35578],[0.794014,0.193803,-0.189803],[1.439346,0.454736,-0.264849]]","[[-0.158349,0.423181,0.170106],[-0.681168,0.084174,0.191447],[-0.454289,-0.1158,0.074175]]"
combined_hamilton,h_38,"[[0.65206,-0.796005,0.197423],[-0.073701,-0.552202,0.216872],[0.320513,0.137372,-0.099858]]","[[0.472581,1.039323,-0.458904],[-0.974249,-0.514179,0.339519],[0.312474,-0.239132,0.041597]]","[[-0.149589,0.444993,-0.568689],[-0.167985,0.012891,-0.135058],[0.085294,-0.072404,0.136698]]"
combined_hamilton,h_39,"[[-0.496078,0.493556,-1.755436],[0.226902,0.728313,-0.900521],[0.098894,0.227677,-0.232235]]","[[0.247967,0.548768,-0.542826],[-0.412944,-0.103271,-0.54332],[1.2569,1.321593,-0.144696]]","[[0.275858,-0.550319,0.509691],[0.186904,-0.519051,0.366854],[0.152418,-0.043048,0.243193]]"
