tiling_id,piece_count,tiling_signature,pieces,class_ids,total_rank_upper_bound,canonical_class,provenance
42,3,3x tromino_row,"(0,0); (0,1); (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",tromino_row_class_01;tromino_row_class_01;tromino_row_class_01,27,"(0,0); (0,1); (0,2) || (1,0); (1,1); (1,2) || (2,0); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
43,3,2x L_tromino + 1x tromino_row,"(0,0); (0,1); (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",tromino_row_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0); (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
44,3,2x L_tromino + 1x tromino_row,"(0,0); (0,1); (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",tromino_row_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0); (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
45,3,2x L_tromino + 1x tromino_row,"(0,0); (0,1); (1,0) | (0,2); (1,1); (1,2) | (2,0); (2,1); (2,2)",L_tromino_class_01;L_tromino_class_01;tromino_row_class_01,37,"(0,0); (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
46,3,2x L_tromino + 1x tromino_col,"(0,0); (0,1); (1,0) | (0,2); (1,2); (2,2) | (1,1); (2,0); (2,1)",L_tromino_class_01;tromino_col_class_01;L_tromino_class_01,37,"(0,0); (0,1); (1,0) || (0,2); (1,2); (2,2) || (1,1); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
47,3,2x L_tromino + 1x tromino_col,"(0,0); (0,1); (1,1) | (0,2); (1,2); (2,2) | (1,0); (2,0); (2,1)",L_tromino_class_01;tromino_col_class_01;L_tromino_class_01,37,"(0,0); (0,1); (1,0) || (0,2); (1,2); (2,2) || (1,1); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
48,3,2x L_tromino + 1x tromino_row,"(0,0); (1,0); (1,1) | (0,1); (0,2); (1,2) | (2,0); (2,1); (2,2)",L_tromino_class_01;L_tromino_class_01;tromino_row_class_01,37,"(0,0); (0,1); (0,2) || (1,0); (1,1); (2,0) || (1,2); (2,1); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
49,3,2x L_tromino + 1x tromino_col,"(0,0); (1,0); (2,0) | (0,1); (0,2); (1,1) | (1,2); (2,1); (2,2)",tromino_col_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0); (0,1); (1,0) || (0,2); (1,2); (2,2) || (1,1); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
50,3,2x L_tromino + 1x tromino_col,"(0,0); (1,0); (2,0) | (0,1); (0,2); (1,2) | (1,1); (2,1); (2,2)",tromino_col_class_01;L_tromino_class_01;L_tromino_class_01,37,"(0,0); (0,1); (1,0) || (0,2); (1,2); (2,2) || (1,1); (2,0); (2,1)",EXACT_DERIVED + MEASURED_FROM_CODE
51,3,3x tromino_col,"(0,0); (1,0); (2,0) | (0,1); (1,1); (2,1) | (0,2); (1,2); (2,2)",tromino_col_class_01;tromino_col_class_01;tromino_col_class_01,27,"(0,0); (1,0); (2,0) || (0,1); (1,1); (2,1) || (0,2); (1,2); (2,2)",EXACT_DERIVED + MEASURED_FROM_CODE
