search_family,removed_term,covered_output_columns,exact,provenance,field,rank_tested,restart
,,0,False,MEASURED_FROM_CODE,GF(3),22,9
,,0,False,MEASURED_FROM_CODE,GF(3),22,10
,,0,False,MEASURED_FROM_CODE,GF(3),22,11
,,0,False,MEASURED_FROM_CODE,GF(3),22,12
,,0,False,MEASURED_FROM_CODE,GF(3),22,13
,,0,False,MEASURED_FROM_CODE,GF(3),22,14
,,0,False,MEASURED_FROM_CODE,GF(3),22,15
,,0,False,MEASURED_FROM_CODE,GF(3),22,16
,,0,False,MEASURED_FROM_CODE,GF(3),22,17
,,0,False,MEASURED_FROM_CODE,GF(3),22,18
,,0,False,MEASURED_FROM_CODE,GF(3),22,19
,,0,False,MEASURED_FROM_CODE,GF(3),22,20
,,0,False,MEASURED_FROM_CODE,GF(3),22,21
,,0,False,MEASURED_FROM_CODE,GF(3),22,22
,,0,False,MEASURED_FROM_CODE,GF(3),22,23
,,0,False,MEASURED_FROM_CODE,GF(3),22,24
,,0,False,MEASURED_FROM_CODE,GF(3),22,25
,,0,False,MEASURED_FROM_CODE,GF(3),22,26
,,0,False,MEASURED_FROM_CODE,GF(3),22,27
,,0,False,MEASURED_FROM_CODE,GF(3),22,28
,,0,False,MEASURED_FROM_CODE,GF(3),22,29
,,0,False,MEASURED_FROM_CODE,GF(3),22,30
,,0,False,MEASURED_FROM_CODE,GF(3),22,31
,,0,False,MEASURED_FROM_CODE,GF(3),22,32
,,0,False,MEASURED_FROM_CODE,GF(3),22,33
,,0,False,MEASURED_FROM_CODE,GF(3),22,34
,,0,False,MEASURED_FROM_CODE,GF(3),22,35
,,0,False,MEASURED_FROM_CODE,GF(3),22,36
,,0,False,MEASURED_FROM_CODE,GF(3),22,37
,,0,False,MEASURED_FROM_CODE,GF(3),22,38
,,0,False,MEASURED_FROM_CODE,GF(3),22,39
,,0,False,MEASURED_FROM_CODE,GF(3),22,40
,,0,False,MEASURED_FROM_CODE,GF(3),22,41
,,0,False,MEASURED_FROM_CODE,GF(3),22,42
,,0,False,MEASURED_FROM_CODE,GF(3),22,43
,,0,False,MEASURED_FROM_CODE,GF(3),22,44
,,0,False,MEASURED_FROM_CODE,GF(3),22,45
,,0,False,MEASURED_FROM_CODE,GF(3),22,46
,,0,False,MEASURED_FROM_CODE,GF(3),22,47
,,0,False,MEASURED_FROM_CODE,GF(3),22,48
,,0,False,MEASURED_FROM_CODE,GF(3),22,49
,,0,False,MEASURED_FROM_CODE,GF(3),22,50
,,0,False,MEASURED_FROM_CODE,GF(3),22,51
,,0,False,MEASURED_FROM_CODE,GF(3),22,52
,,0,False,MEASURED_FROM_CODE,GF(3),22,53
,,0,False,MEASURED_FROM_CODE,GF(3),22,54
,,0,False,MEASURED_FROM_CODE,GF(3),22,55
,,0,False,MEASURED_FROM_CODE,GF(3),22,56
,,0,False,MEASURED_FROM_CODE,GF(3),22,57
,,0,False,MEASURED_FROM_CODE,GF(3),22,58
,,0,False,MEASURED_FROM_CODE,GF(3),22,59
,,0,False,MEASURED_FROM_CODE,GF(3),22,60
,,0,False,MEASURED_FROM_CODE,GF(3),22,61
,,0,False,MEASURED_FROM_CODE,GF(3),22,62
,,0,False,MEASURED_FROM_CODE,GF(3),22,63
,,0,False,MEASURED_FROM_CODE,GF(3),22,64
,,0,False,MEASURED_FROM_CODE,GF(3),22,65
,,0,False,MEASURED_FROM_CODE,GF(3),22,66
,,0,False,MEASURED_FROM_CODE,GF(3),22,67
,,0,False,MEASURED_FROM_CODE,GF(3),22,68
,,0,False,MEASURED_FROM_CODE,GF(3),22,69
,,0,False,MEASURED_FROM_CODE,GF(3),22,70
,,0,False,MEASURED_FROM_CODE,GF(3),22,71
,,0,False,MEASURED_FROM_CODE,GF(3),22,72
,,0,False,MEASURED_FROM_CODE,GF(3),22,73
,,0,False,MEASURED_FROM_CODE,GF(3),22,74
,,0,False,MEASURED_FROM_CODE,GF(3),22,75
,,0,False,MEASURED_FROM_CODE,GF(3),22,76
,,0,False,MEASURED_FROM_CODE,GF(3),22,77
,,0,False,MEASURED_FROM_CODE,GF(3),22,78
,,0,False,MEASURED_FROM_CODE,GF(3),22,79
,,0,False,MEASURED_FROM_CODE,GF(3),22,80
,,0,False,MEASURED_FROM_CODE,GF(3),22,81
,,0,False,MEASURED_FROM_CODE,GF(3),22,82
,,0,False,MEASURED_FROM_CODE,GF(3),22,83
,,0,False,MEASURED_FROM_CODE,GF(3),22,84
,,0,False,MEASURED_FROM_CODE,GF(3),22,85
,,0,False,MEASURED_FROM_CODE,GF(3),22,86
,,0,False,MEASURED_FROM_CODE,GF(3),22,87
,,0,False,MEASURED_FROM_CODE,GF(3),22,88
,,0,False,MEASURED_FROM_CODE,GF(3),22,89
,,0,False,MEASURED_FROM_CODE,GF(3),22,90
,,0,False,MEASURED_FROM_CODE,GF(3),22,91
,,0,False,MEASURED_FROM_CODE,GF(3),22,92
,,0,False,MEASURED_FROM_CODE,GF(3),22,93
,,0,False,MEASURED_FROM_CODE,GF(3),22,94
,,0,False,MEASURED_FROM_CODE,GF(3),22,95
,,0,False,MEASURED_FROM_CODE,GF(3),22,96
,,0,False,MEASURED_FROM_CODE,GF(3),22,97
,,0,False,MEASURED_FROM_CODE,GF(3),22,98
,,0,False,MEASURED_FROM_CODE,GF(3),22,99
,,0,False,MEASURED_FROM_CODE,GF(3),22,100
,,0,False,MEASURED_FROM_CODE,GF(3),22,101
,,0,False,MEASURED_FROM_CODE,GF(3),22,102
,,0,False,MEASURED_FROM_CODE,GF(3),22,103
,,0,False,MEASURED_FROM_CODE,GF(3),22,104
