cxc_interface_orbit,stab_type_A,stab_type_B,stab_type_output,pair_count,fraction
37,Z2,Z2,Z2xZ2,2916,0.037037037037037035
37,Z2,Z2,Z2,75816,0.9629629629629629
38,Trivial,Trivial,Z2,52488,0.037037037037037035
38,Trivial,Trivial,Trivial,1364688,0.9629629629629629
39,Trivial,Trivial,Z2,11664,0.037037037037037035
39,Trivial,Trivial,Trivial,303264,0.9629629629629629
39,Trivial,Z2,Z2,5832,0.037037037037037035
39,Trivial,Z2,Trivial,151632,0.9629629629629629
39,Z2,Trivial,Z2,5832,0.037037037037037035
39,Z2,Trivial,Trivial,151632,0.9629629629629629
39,Z2,Z2,Z2xZ2,2916,0.037037037037037035
39,Z2,Z2,Z2,75816,0.9629629629629629
40,Trivial,Trivial,Z2,52488,0.037037037037037035
40,Trivial,Trivial,Trivial,1364688,0.9629629629629629
41,Trivial,Trivial,(Z2)^3,648,0.0004572473708276177
41,Trivial,Trivial,Z2xZ2,27216,0.019204389574759947
41,Trivial,Trivial,Z2,311040,0.2194787379972565
41,Trivial,Trivial,Trivial,1078272,0.7608596250571559
42,Trivial,Trivial,Z2xZ2,5832,0.00411522633744856
42,Trivial,Trivial,Z2,198288,0.13991769547325103
42,Trivial,Trivial,Trivial,1213056,0.8559670781893004
43,Trivial,Trivial,Z2xZ2,5832,0.00411522633744856
43,Trivial,Trivial,Z2,198288,0.13991769547325103
43,Trivial,Trivial,Trivial,1213056,0.8559670781893004
44,Trivial,Trivial,Z2xZ2,5832,0.00411522633744856
44,Trivial,Trivial,Z2,198288,0.13991769547325103
44,Trivial,Trivial,Trivial,1213056,0.8559670781893004
45,Trivial,Trivial,Z2,52488,0.037037037037037035
45,Trivial,Trivial,Trivial,1364688,0.9629629629629629
46,Trivial,Trivial,Z2,52488,0.037037037037037035
46,Trivial,Trivial,Trivial,1364688,0.9629629629629629
47,Trivial,Trivial,Z2xZ2,5832,0.00411522633744856
47,Trivial,Trivial,Z2,198288,0.13991769547325103
47,Trivial,Trivial,Trivial,1213056,0.8559670781893004
48,Trivial,Trivial,Z2,52488,0.037037037037037035
48,Trivial,Trivial,Trivial,1364688,0.9629629629629629
49,Trivial,Trivial,Z2,52488,0.037037037037037035
49,Trivial,Trivial,Trivial,1364688,0.9629629629629629
