A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_in_floor,output_outside_floor,output_orbit_ids,output_counts
10,410,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
10,420,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
10,430,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
20,350,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
20,360,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
20,370,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
20,380,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
20,390,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
20,400,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
20,410,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
20,420,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
20,430,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
30,0,Z2xZ2,(Z2)^3,54,54,0,[30],{30: 54}
30,4,Z2xZ2,Z2xZ2,108,0,108,[34],{34: 108}
30,10,Z2xZ2,Z2xZ2,108,108,0,"[20, 40]","{20: 54, 40: 54}"
30,20,Z2xZ2,Z2xZ2,108,108,0,"[10, 40]","{10: 54, 40: 54}"
30,30,Z2xZ2,Z2xZ2,108,108,0,"[0, 30]","{0: 54, 30: 54}"
30,40,Z2xZ2,Z2xZ2,108,108,0,"[10, 20]","{10: 54, 20: 54}"
30,50,Z2xZ2,Z2xZ2,108,0,108,[95],{95: 108}
40,350,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
40,360,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
40,370,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
40,380,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
40,390,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
40,400,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
40,410,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
40,420,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
40,430,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
50,980,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
50,1055,Z2xZ2,Z2xZ2,54,54,0,[50],{50: 54}
50,1130,Z2xZ2,Z2xZ2,54,54,0,[50],{50: 54}
52,982,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
52,1057,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
52,1132,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
54,984,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
54,1059,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
54,1134,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
125,0,Z2xZ2,(Z2)^3,54,54,0,[125],{125: 54}
125,4,Z2xZ2,Z2xZ2,108,108,0,"[131, 137]","{131: 54, 137: 54}"
125,10,Z2xZ2,Z2xZ2,108,0,108,[143],{143: 108}
125,20,Z2xZ2,Z2xZ2,108,0,108,[161],{161: 108}
125,30,Z2xZ2,Z2xZ2,108,0,108,[179],{179: 108}
125,40,Z2xZ2,Z2xZ2,108,0,108,[197],{197: 108}
125,50,Z2xZ2,Z2xZ2,108,0,108,[215],{215: 108}
126,1,Z2xZ2,Z2xZ2,54,54,0,[126],{126: 54}
126,5,Z2xZ2,Z2xZ2,54,54,0,[132],{132: 54}
126,6,Z2xZ2,Z2xZ2,54,54,0,[138],{138: 54}
127,1,Z2xZ2,Z2xZ2,54,54,0,[127],{127: 54}
127,5,Z2xZ2,Z2xZ2,54,54,0,[139],{139: 54}
127,6,Z2xZ2,Z2xZ2,54,54,0,[133],{133: 54}
131,125,Z2xZ2,Z2xZ2,54,54,0,[125],{125: 54}
131,131,Z2xZ2,Z2xZ2,54,54,0,[131],{131: 54}
131,137,Z2xZ2,Z2xZ2,54,54,0,[137],{137: 54}
132,126,Z2xZ2,Z2xZ2,54,54,0,[126],{126: 54}
132,132,Z2xZ2,Z2xZ2,54,54,0,[132],{132: 54}
132,138,Z2xZ2,Z2xZ2,54,54,0,[138],{138: 54}
133,127,Z2xZ2,Z2xZ2,54,54,0,[127],{127: 54}
133,133,Z2xZ2,Z2xZ2,54,54,0,[133],{133: 54}
133,139,Z2xZ2,Z2xZ2,54,54,0,[139],{139: 54}
137,125,Z2xZ2,Z2xZ2,54,54,0,[125],{125: 54}
137,131,Z2xZ2,Z2xZ2,54,54,0,[137],{137: 54}
137,137,Z2xZ2,Z2xZ2,54,54,0,[131],{131: 54}
138,127,Z2xZ2,Z2xZ2,54,54,0,[126],{126: 54}
138,133,Z2xZ2,Z2xZ2,54,54,0,[138],{138: 54}
138,139,Z2xZ2,Z2xZ2,54,54,0,[132],{132: 54}
139,126,Z2xZ2,Z2xZ2,54,54,0,[127],{127: 54}
139,132,Z2xZ2,Z2xZ2,54,54,0,[139],{139: 54}
139,138,Z2xZ2,Z2xZ2,54,54,0,[133],{133: 54}
350,0,Z2xZ2,(Z2)^3,54,54,0,[350],{350: 54}
350,4,Z2xZ2,Z2xZ2,108,0,108,[354],{354: 108}
350,10,Z2xZ2,Z2xZ2,108,108,0,"[360, 370]","{360: 54, 370: 54}"
350,20,Z2xZ2,Z2xZ2,108,108,0,"[380, 410]","{380: 54, 410: 54}"
350,30,Z2xZ2,Z2xZ2,108,108,0,"[390, 430]","{390: 54, 430: 54}"
350,40,Z2xZ2,Z2xZ2,108,108,0,"[400, 420]","{400: 54, 420: 54}"
350,50,Z2xZ2,Z2xZ2,108,0,108,[440],{440: 108}
360,350,Z2xZ2,Z2xZ2,54,54,0,[350],{350: 54}
360,360,Z2xZ2,Z2xZ2,54,54,0,[360],{360: 54}
360,370,Z2xZ2,Z2xZ2,54,54,0,[370],{370: 54}
360,380,Z2xZ2,Z2xZ2,54,54,0,[380],{380: 54}
360,390,Z2xZ2,Z2xZ2,54,54,0,[390],{390: 54}
360,400,Z2xZ2,Z2xZ2,54,54,0,[400],{400: 54}
360,410,Z2xZ2,Z2xZ2,54,54,0,[410],{410: 54}
360,420,Z2xZ2,Z2xZ2,54,54,0,[420],{420: 54}
360,430,Z2xZ2,Z2xZ2,54,54,0,[430],{430: 54}
370,350,Z2xZ2,Z2xZ2,54,54,0,[350],{350: 54}
370,360,Z2xZ2,Z2xZ2,54,54,0,[370],{370: 54}
370,370,Z2xZ2,Z2xZ2,54,54,0,[360],{360: 54}
370,380,Z2xZ2,Z2xZ2,54,54,0,[410],{410: 54}
370,390,Z2xZ2,Z2xZ2,54,54,0,[430],{430: 54}
370,400,Z2xZ2,Z2xZ2,54,54,0,[420],{420: 54}
370,410,Z2xZ2,Z2xZ2,54,54,0,[380],{380: 54}
370,420,Z2xZ2,Z2xZ2,54,54,0,[400],{400: 54}
370,430,Z2xZ2,Z2xZ2,54,54,0,[390],{390: 54}
380,350,Z2xZ2,Z2xZ2,54,54,0,[390],{390: 54}
380,360,Z2xZ2,Z2xZ2,54,54,0,[380],{380: 54}
380,370,Z2xZ2,Z2xZ2,54,54,0,[400],{400: 54}
380,380,Z2xZ2,Z2xZ2,54,54,0,[360],{360: 54}
380,390,Z2xZ2,Z2xZ2,54,54,0,[350],{350: 54}
380,400,Z2xZ2,Z2xZ2,54,54,0,[370],{370: 54}
380,410,Z2xZ2,Z2xZ2,54,54,0,[420],{420: 54}
380,420,Z2xZ2,Z2xZ2,54,54,0,[410],{410: 54}
380,430,Z2xZ2,Z2xZ2,54,54,0,[430],{430: 54}
390,0,Z2xZ2,(Z2)^3,54,54,0,[390],{390: 54}
390,4,Z2xZ2,Z2xZ2,108,0,108,[394],{394: 108}
390,10,Z2xZ2,Z2xZ2,108,108,0,"[380, 400]","{380: 54, 400: 54}"
390,20,Z2xZ2,Z2xZ2,108,108,0,"[360, 420]","{360: 54, 420: 54}"
390,30,Z2xZ2,Z2xZ2,108,108,0,"[350, 430]","{350: 54, 430: 54}"
390,40,Z2xZ2,Z2xZ2,108,108,0,"[370, 410]","{370: 54, 410: 54}"
390,50,Z2xZ2,Z2xZ2,108,0,108,[500],{500: 108}
400,350,Z2xZ2,Z2xZ2,54,54,0,[390],{390: 54}
400,360,Z2xZ2,Z2xZ2,54,54,0,[400],{400: 54}
400,370,Z2xZ2,Z2xZ2,54,54,0,[380],{380: 54}
400,380,Z2xZ2,Z2xZ2,54,54,0,[420],{420: 54}
400,390,Z2xZ2,Z2xZ2,54,54,0,[430],{430: 54}
400,400,Z2xZ2,Z2xZ2,54,54,0,[410],{410: 54}
400,410,Z2xZ2,Z2xZ2,54,54,0,[360],{360: 54}
400,420,Z2xZ2,Z2xZ2,54,54,0,[370],{370: 54}
400,430,Z2xZ2,Z2xZ2,54,54,0,[350],{350: 54}
410,350,Z2xZ2,Z2xZ2,54,54,0,[430],{430: 54}
410,360,Z2xZ2,Z2xZ2,54,54,0,[410],{410: 54}
410,370,Z2xZ2,Z2xZ2,54,54,0,[420],{420: 54}
410,380,Z2xZ2,Z2xZ2,54,54,0,[370],{370: 54}
410,390,Z2xZ2,Z2xZ2,54,54,0,[350],{350: 54}
410,400,Z2xZ2,Z2xZ2,54,54,0,[360],{360: 54}
410,410,Z2xZ2,Z2xZ2,54,54,0,[400],{400: 54}
410,420,Z2xZ2,Z2xZ2,54,54,0,[380],{380: 54}
410,430,Z2xZ2,Z2xZ2,54,54,0,[390],{390: 54}
420,350,Z2xZ2,Z2xZ2,54,54,0,[430],{430: 54}
420,360,Z2xZ2,Z2xZ2,54,54,0,[420],{420: 54}
420,370,Z2xZ2,Z2xZ2,54,54,0,[410],{410: 54}
420,380,Z2xZ2,Z2xZ2,54,54,0,[400],{400: 54}
420,390,Z2xZ2,Z2xZ2,54,54,0,[390],{390: 54}
420,400,Z2xZ2,Z2xZ2,54,54,0,[380],{380: 54}
420,410,Z2xZ2,Z2xZ2,54,54,0,[370],{370: 54}
420,420,Z2xZ2,Z2xZ2,54,54,0,[360],{360: 54}
420,430,Z2xZ2,Z2xZ2,54,54,0,[350],{350: 54}
430,0,Z2xZ2,(Z2)^3,54,54,0,[430],{430: 54}
430,4,Z2xZ2,Z2xZ2,108,0,108,[434],{434: 108}
430,10,Z2xZ2,Z2xZ2,108,108,0,"[410, 420]","{410: 54, 420: 54}"
430,20,Z2xZ2,Z2xZ2,108,108,0,"[370, 400]","{370: 54, 400: 54}"
430,30,Z2xZ2,Z2xZ2,108,108,0,"[350, 390]","{350: 54, 390: 54}"
430,40,Z2xZ2,Z2xZ2,108,108,0,"[360, 380]","{360: 54, 380: 54}"
430,50,Z2xZ2,Z2xZ2,108,0,108,[560],{560: 108}
980,0,Z2xZ2,(Z2)^3,54,54,0,[980],{980: 54}
980,4,Z2xZ2,Z2xZ2,108,0,108,[986],{986: 108}
980,10,Z2xZ2,Z2xZ2,108,0,108,[995],{995: 108}
980,20,Z2xZ2,Z2xZ2,108,0,108,[1010],{1010: 108}
980,30,Z2xZ2,Z2xZ2,108,0,108,[1025],{1025: 108}
980,40,Z2xZ2,Z2xZ2,108,0,108,[1040],{1040: 108}
980,50,Z2xZ2,Z2xZ2,108,108,0,"[1055, 1130]","{1055: 54, 1130: 54}"
982,2,Z2xZ2,Z2xZ2,54,54,0,[982],{982: 54}
982,52,Z2xZ2,Z2xZ2,54,54,0,[1057],{1057: 54}
982,54,Z2xZ2,Z2xZ2,54,54,0,[1132],{1132: 54}
984,2,Z2xZ2,Z2xZ2,54,54,0,[984],{984: 54}
984,52,Z2xZ2,Z2xZ2,54,54,0,[1134],{1134: 54}
984,54,Z2xZ2,Z2xZ2,54,54,0,[1059],{1059: 54}
1055,980,Z2xZ2,Z2xZ2,54,54,0,[980],{980: 54}
1055,1055,Z2xZ2,Z2xZ2,54,54,0,[1055],{1055: 54}
1055,1130,Z2xZ2,Z2xZ2,54,54,0,[1130],{1130: 54}
1057,982,Z2xZ2,Z2xZ2,54,54,0,[982],{982: 54}
1057,1057,Z2xZ2,Z2xZ2,54,54,0,[1057],{1057: 54}
1057,1132,Z2xZ2,Z2xZ2,54,54,0,[1132],{1132: 54}
1059,984,Z2xZ2,Z2xZ2,54,54,0,[984],{984: 54}
1059,1059,Z2xZ2,Z2xZ2,54,54,0,[1059],{1059: 54}
1059,1134,Z2xZ2,Z2xZ2,54,54,0,[1134],{1134: 54}
1130,980,Z2xZ2,Z2xZ2,54,54,0,[980],{980: 54}
1130,1055,Z2xZ2,Z2xZ2,54,54,0,[1130],{1130: 54}
1130,1130,Z2xZ2,Z2xZ2,54,54,0,[1055],{1055: 54}
1132,984,Z2xZ2,Z2xZ2,54,54,0,[982],{982: 54}
1132,1059,Z2xZ2,Z2xZ2,54,54,0,[1132],{1132: 54}
1132,1134,Z2xZ2,Z2xZ2,54,54,0,[1057],{1057: 54}
1134,982,Z2xZ2,Z2xZ2,54,54,0,[984],{984: 54}
1134,1057,Z2xZ2,Z2xZ2,54,54,0,[1134],{1134: 54}
1134,1132,Z2xZ2,Z2xZ2,54,54,0,[1059],{1059: 54}
