R,partition_type,ordered_assignments,symmetry_assignment_orbits,within_fiber_pairs,spreading_deficit_to_27,zero_fibers,max_group_size,no_spreading_filter_pass,exact3_tiling_candidate,exact3_tiling_surviving_assignment_orbits,example_surviving_assignment,example_shape_witness,provenance
10,"(4,1,1,1,1,1,1,0,0)",252,10,6,21,2,4,False,False,0,,,EXACT_DERIVED
10,"(4,2,1,1,1,1,0,0,0)",2520,73,7,20,3,4,False,False,0,,,EXACT_DERIVED
10,"(4,2,2,1,1,0,0,0,0)",3780,114,8,19,4,4,False,False,0,,,EXACT_DERIVED
10,"(4,2,2,2,0,0,0,0,0)",504,17,9,18,5,4,False,False,0,,,EXACT_DERIVED
10,"(4,3,1,1,1,0,0,0,0)",2520,73,9,18,4,4,False,False,0,,,EXACT_DERIVED
10,"(4,3,2,1,0,0,0,0,0)",3024,84,10,17,5,4,False,False,0,,,EXACT_DERIVED
10,"(4,3,3,0,0,0,0,0,0)",252,10,12,15,6,4,False,False,0,,,EXACT_DERIVED
10,"(4,4,1,1,0,0,0,0,0)",756,28,12,15,5,4,False,False,0,,,EXACT_DERIVED
10,"(4,4,2,0,0,0,0,0,0)",252,10,13,14,6,4,False,False,0,,,EXACT_DERIVED
10,"(5,1,1,1,1,1,0,0,0)",504,17,10,17,3,5,False,False,0,,,EXACT_DERIVED
10,"(5,2,1,1,1,0,0,0,0)",2520,73,11,16,4,5,False,False,0,,,EXACT_DERIVED
10,"(5,2,2,1,0,0,0,0,0)",1512,45,12,15,5,5,False,False,0,,,EXACT_DERIVED
10,"(5,3,1,1,0,0,0,0,0)",1512,45,13,14,5,5,False,False,0,,,EXACT_DERIVED
10,"(5,3,2,0,0,0,0,0,0)",504,15,14,13,6,5,False,False,0,,,EXACT_DERIVED
10,"(5,4,1,0,0,0,0,0,0)",504,15,16,11,6,5,False,False,0,,,EXACT_DERIVED
10,"(5,5,0,0,0,0,0,0,0)",36,3,20,7,7,5,False,False,0,,,EXACT_DERIVED
10,"(6,1,1,1,1,0,0,0,0)",630,22,15,12,4,6,False,False,0,,,EXACT_DERIVED
10,"(6,2,1,1,0,0,0,0,0)",1512,45,16,11,5,6,False,False,0,,,EXACT_DERIVED
10,"(6,2,2,0,0,0,0,0,0)",252,10,17,10,6,6,False,False,0,,,EXACT_DERIVED
10,"(6,3,1,0,0,0,0,0,0)",504,15,18,9,6,6,False,False,0,,,EXACT_DERIVED
10,"(6,4,0,0,0,0,0,0,0)",72,3,21,6,7,6,False,False,0,,,EXACT_DERIVED
10,"(7,1,1,1,0,0,0,0,0)",504,17,21,6,5,7,False,False,0,,,EXACT_DERIVED
10,"(7,2,1,0,0,0,0,0,0)",504,15,22,5,6,7,False,False,0,,,EXACT_DERIVED
10,"(7,3,0,0,0,0,0,0,0)",72,3,24,3,7,7,False,False,0,,,EXACT_DERIVED
10,"(8,1,1,0,0,0,0,0,0)",252,10,28,0,6,8,True,False,0,,,EXACT_DERIVED
10,"(8,2,0,0,0,0,0,0,0)",72,3,29,0,7,8,True,False,0,,,EXACT_DERIVED
10,"(9,1,0,0,0,0,0,0,0)",72,3,36,0,7,9,True,False,0,,,EXACT_DERIVED
11,"(10,1,0,0,0,0,0,0,0)",72,3,45,0,7,10,True,False,0,,,EXACT_DERIVED
11,"(11,0,0,0,0,0,0,0,0)",9,1,55,0,8,11,True,False,0,,,EXACT_DERIVED
11,"(2,2,1,1,1,1,1,1,1)",36,3,2,25,0,2,False,True,3,"(2,2,1,1,1,1,1,1,1)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/1: 1x1:1 | f[1,0]/1: 1x1:1 | f[1,1]/1: 1x1:1 | f[1,2]/1: 2x1:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 2x3:1 | f[2,2]/1: 3x3:1",EXACT_DERIVED
11,"(2,2,2,1,1,1,1,1,0)",504,17,3,24,1,2,False,True,17,"(2,2,2,1,1,1,1,1,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/1: 1x1:1 | f[1,1]/1: 1x2:1 | f[1,2]/1: 2x3:1 | f[2,0]/1: 1x3:1 | f[2,1]/1: 3x3:1",EXACT_DERIVED
11,"(2,2,2,2,1,1,1,0,0)",1260,43,4,23,2,2,False,True,43,"(2,2,2,2,1,1,1,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:2 | f[1,1]/1: 2x2:1 | f[1,2]/1: 2x2:1 | f[2,0]/1: 3x3:1",EXACT_DERIVED
11,"(2,2,2,2,2,1,0,0,0)",504,17,5,22,3,2,False,True,17,"(2,2,2,2,2,1,0,0,0)","f[0,0]/2: 1x1:2 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:2 | f[1,1]/2: 2x2:2 | f[1,2]/1: 3x3:1",EXACT_DERIVED
11,"(3,1,1,1,1,1,1,1,1)",9,1,3,24,0,3,False,True,1,"(3,1,1,1,1,1,1,1,1)","f[0,0]/3: 1x1:3 | f[0,1]/1: 1x1:1 | f[0,2]/1: 1x1:1 | f[1,0]/1: 1x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 2x2:1 | f[2,0]/1: 1x1:1 | f[2,1]/1: 3x2:1 | f[2,2]/1: 3x2:1",EXACT_DERIVED
11,"(3,2,1,1,1,1,1,1,0)",504,15,4,23,1,3,False,True,15,"(3,2,1,1,1,1,1,1,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:2 | f[0,2]/1: 1x1:1 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x2:1 | f[1,2]/1: 3x1:1 | f[2,0]/1: 2x3:1 | f[2,1]/1: 3x2:1",EXACT_DERIVED
11,"(3,2,2,1,1,1,1,0,0)",3780,114,5,22,2,3,False,True,114,"(3,2,2,1,1,1,1,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/1: 2x1:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x2:1 | f[2,0]/1: 2x3:1",EXACT_DERIVED
11,"(3,2,2,2,1,1,0,0,0)",5040,146,6,21,3,3,False,True,146,"(3,2,2,2,1,1,0,0,0)","f[0,0]/3: 1x1:3 | f[0,1]/2: 1x1:2 | f[0,2]/2: 1x1:2 | f[1,0]/2: 2x1:1; 2x3:1 | f[1,1]/1: 2x3:1 | f[1,2]/1: 3x2:1",EXACT_DERIVED
