comm_term,anti_term,max_abs_difference_after_normalization,normalized_dot_product,abs_normalized_dot_product,comm_scale,anti_scale,matched_rank1_term,cancels_in_half_sum_if_matched,provenance
c06,s10,4.8149160683780595e-01,-1.0620279876052397e-02,1.0620279876052397e-02,9.7193075978288217e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c06,s11,3.8439169079990393e-01,-1.4997270481850091e-02,1.4997270481850091e-02,9.7193075978288217e+00,2.3108509513644933e+00,False,False,EXACT_DERIVED
c06,s12,3.3153471909791832e-01,6.7772086560242986e-02,6.7772086560242986e-02,9.7193075978288217e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c06,s13,3.2319684890630912e-01,1.4334239112430822e-03,1.4334239112430822e-03,9.7193075978288217e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c06,s14,2.1561043269171054e-01,4.7192861588381402e-02,4.7192861588381402e-02,9.7193075978288217e+00,2.1743933446146309e+00,False,False,EXACT_DERIVED
c06,s15,3.1517794393245857e-01,-2.7442157865448392e-02,2.7442157865448392e-02,9.7193075978288217e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c06,s16,4.9856990920056482e-01,4.0478792074534475e-06,4.0478792074534475e-06,9.7193075978288217e+00,-2.4555552594339427e+00,False,False,EXACT_DERIVED
c06,s17,3.3619911392348262e-01,1.1614479653617131e-02,1.1614479653617131e-02,9.7193075978288217e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c06,s18,3.2086650192860799e-01,-4.7774400650992319e-04,4.7774400650992319e-04,9.7193075978288217e+00,-3.8689415030055607e+00,False,False,EXACT_DERIVED
c06,s19,3.3080151605285690e-01,2.5334579094889870e-03,2.5334579094889870e-03,9.7193075978288217e+00,-3.1397060552277192e+00,False,False,EXACT_DERIVED
c07,s01,2.4829618211458940e-01,-2.5777917389067165e-03,2.5777917389067165e-03,-3.0124022576124108e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
c07,s02,2.7509319727534415e-01,-3.4934639376877263e-04,3.4934639376877263e-04,-3.0124022576124108e+00,2.1113969268093742e+00,False,False,EXACT_DERIVED
c07,s03,2.7587755746177461e-01,7.5791815370897868e-05,7.5791815370897868e-05,-3.0124022576124108e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c07,s04,4.2741143441253054e-01,1.2154317386736771e-02,1.2154317386736771e-02,-3.0124022576124108e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
