case_id,track,seed,support_signature,nnz_alpha,nnz_beta,nnz_gamma,status,viable,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,independent_variable_rank,dropped_variable_count,fixed_gauge_count,gamma_union_size,alpha_union_size,beta_union_size,full_gamma_coverage,unique_gamma_support_count,error
step83b_track2_screen_0754,track2_screen,8302754,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,100.4499710453642,8.294024268198175,59.94677857267083,152,0,38,9,9,9,True,18,
step83b_track2_screen_0755,track2_screen,8302755,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,151.56183150647223,13.389377432008072,79.4266343295909,190,0,38,9,9,9,True,19,
step83b_track2_screen_0756,track2_screen,8302756,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,157.5043330051692,11.955703645641124,57.30776351518774,152,0,38,8,9,9,False,16,
step83b_track2_screen_0757,track2_screen,8302757,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,90.23446215070821,11.59280219969542,52.06635197823668,133,0,38,9,9,9,True,16,
step83b_track2_screen_0758,track2_screen,8302758,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,128.40225710695034,13.21851848693316,76.8759682680329,171,0,38,9,9,9,True,19,
step83b_track2_screen_0759,track2_screen,8302759,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,113.40731195010103,9.753425188635955,55.68105424714447,152,0,38,9,9,9,True,18,
step83b_track2_screen_0760,track2_screen,8302760,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,104.39340623707761,11.366461016520802,64.81277074977261,152,0,38,9,9,9,True,16,
step83b_track2_screen_0761,track2_screen,8302761,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,174.28312255941785,12.654349616303275,81.58780342807712,190,0,38,9,9,9,True,17,
step83b_track2_screen_0762,track2_screen,8302762,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,73.18251108434622,13.967383728282911,64.03535282720226,152,0,38,9,9,9,True,13,
step83b_track2_screen_0763,track2_screen,8302763,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,48.900327622616125,8.58300234240435,54.307521863804226,133,0,38,9,9,9,True,17,
step83b_track2_screen_0764,track2_screen,8302764,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,78.84434753240268,10.057252647772094,71.19585751195271,171,0,38,9,9,9,True,17,
step83b_track2_screen_0765,track2_screen,8302765,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,117.67375593879578,6.854905287119134,50.93398809940305,152,0,38,9,9,9,True,19,
step83b_track2_screen_0766,track2_screen,8302766,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,66.6439304032613,12.600601130285552,66.9525097949545,152,0,38,9,9,9,True,17,
step83b_track2_screen_0767,track2_screen,8302767,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,131.0233763293884,12.321979568443666,85.96872219220546,190,0,38,9,9,9,True,17,
step83b_track2_screen_0768,track2_screen,8302768,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,80.38430045919657,12.956600795523709,51.275455448535936,152,0,38,9,9,9,True,15,
step83b_track2_screen_0769,track2_screen,8302769,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,59.323087536827245,8.063867594131283,49.9093910956598,133,0,38,9,9,9,True,15,
step83b_track2_screen_0770,track2_screen,8302770,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,109.68764790785481,12.169874757969264,68.01490539043581,171,0,38,9,9,9,True,18,
step83b_track2_screen_0771,track2_screen,8302771,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,76.82028796635085,9.79750558883871,61.4117705130691,152,0,38,9,9,9,True,17,
