tiling_id,piece_count,tiling_signature,pieces,class_ids,total_verified_cost,beats_23,provenance
1,9,9x monomino,"(0,0) | (0,1) | (0,2) | (1,0) | (1,1) | (1,2) | (2,0) | (2,1) | (2,2)",monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01;monomino_class_01,27,False,EXACT_DERIVED
24,4,1x domino_row + 1x monomino + 2x tromino_row,"(0,0) | (0,1); (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",monomino_class_01;domino_row_class_01;tromino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
25,4,2x L_tromino + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",monomino_class_01;domino_row_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
26,4,2x L_tromino + 1x domino_row + 1x monomino,"(0,0) | (0,1); (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",monomino_class_01;domino_row_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
27,5,3x domino_col + 1x domino_row + 1x monomino,"(0,0) | (0,1); (1,1) | (0,2); (1,2) | (1,0); (2,0) | (2,1); (2,2)",monomino_class_01;domino_col_class_01;domino_col_class_01;domino_col_class_01;domino_row_class_01,27,False,EXACT_DERIVED
28,4,1x L_tetromino + 2x domino_col + 1x monomino,"(0,0) | (0,1); (1,1) | (0,2); (1,2) | (1,0); (2,0); (2,1); (2,2)",monomino_class_01;domino_col_class_01;domino_col_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
29,4,1x L_tromino + 1x domino_col + 1x monomino + 1x tromino_col,"(0,0) | (0,1); (1,1) | (0,2); (1,2); (2,2) | (1,0); (2,0); (2,1)",monomino_class_01;domino_col_class_01;tromino_col_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
30,3,1x L_tetromino + 1x S_Z_tetromino + 1x monomino,"(0,0) | (0,1); (0,2); (1,0); (1,1) | (1,2); (2,0); (2,1); (2,2)",monomino_class_01;S_Z_tetromino_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
31,3,1x L_tetromino + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2); (1,1); (1,2) | (1,0); (2,0); (2,1); (2,2)",monomino_class_01;square_tetromino_class_01;L_tetromino_class_01,26,False,EXACT_DERIVED
32,3,1x L_tetromino + 1x monomino + 1x square_tetromino,"(0,0) | (0,1); (0,2); (1,2); (2,2) | (1,0); (1,1); (2,0); (2,1)",monomino_class_01;L_tetromino_class_02;square_tetromino_class_01,26,False,EXACT_DERIVED
33,3,1x L_tetromino + 1x S_Z_tetromino + 1x monomino,"(0,0) | (0,1); (1,0); (1,1); (2,0) | (0,2); (1,2); (2,1); (2,2)",monomino_class_01;S_Z_tetromino_class_02;L_tetromino_class_02,27,False,EXACT_DERIVED
34,4,1x domino_col + 2x domino_row + 1x tromino_row,"(0,0); (0,1) | (0,2); (1,2) | (1,0); (1,1) | (2,0); (2,1); (2,2)",domino_row_class_01;domino_col_class_01;domino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
35,4,1x L_tromino + 2x domino_col + 1x domino_row,"(0,0); (0,1) | (0,2); (1,2) | (1,0); (2,0) | (1,1); (2,1); (2,2)",domino_row_class_01;domino_col_class_01;domino_col_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
36,3,1x L_tetromino + 1x L_tromino + 1x domino_row,"(0,0); (0,1) | (0,2); (1,1); (1,2) | (1,0); (2,0); (2,1); (2,2)",domino_row_class_01;L_tromino_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
37,3,1x domino_row + 1x square_tetromino + 1x tromino_col,"(0,0); (0,1) | (0,2); (1,2); (2,2) | (1,0); (1,1); (2,0); (2,1)",domino_row_class_01;tromino_col_class_01;square_tetromino_class_01,26,False,EXACT_DERIVED
38,4,1x domino_col + 2x domino_row + 1x tromino_row,"(0,0); (1,0) | (0,1); (0,2) | (1,1); (1,2) | (2,0); (2,1); (2,2)",domino_col_class_01;domino_row_class_01;domino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
39,4,3x domino_col + 1x tromino_row,"(0,0); (1,0) | (0,1); (1,1) | (0,2); (1,2) | (2,0); (2,1); (2,2)",domino_col_class_01;domino_col_class_01;domino_col_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
40,3,1x L_tetromino + 1x L_tromino + 1x domino_col,"(0,0); (1,0) | (0,1); (0,2); (1,1) | (1,2); (2,0); (2,1); (2,2)",domino_col_class_01;L_tromino_class_01;L_tetromino_class_01,27,False,EXACT_DERIVED
41,3,1x L_tromino + 1x T_tetromino + 1x domino_col,"(0,0); (1,0) | (0,1); (0,2); (1,2) | (1,1); (2,0); (2,1); (2,2)",domino_col_class_01;L_tromino_class_01;T_tetromino_class_01,27,False,EXACT_DERIVED
42,3,3x tromino_row,"(0,0); (0,1); (0,2) | (1,0); (1,1); (1,2) | (2,0); (2,1); (2,2)",tromino_row_class_01;tromino_row_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
43,3,2x L_tromino + 1x tromino_row,"(0,0); (0,1); (0,2) | (1,0); (1,1); (2,0) | (1,2); (2,1); (2,2)",tromino_row_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
44,3,2x L_tromino + 1x tromino_row,"(0,0); (0,1); (0,2) | (1,0); (2,0); (2,1) | (1,1); (1,2); (2,2)",tromino_row_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
45,3,2x L_tromino + 1x tromino_row,"(0,0); (0,1); (1,0) | (0,2); (1,1); (1,2) | (2,0); (2,1); (2,2)",L_tromino_class_01;L_tromino_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
46,3,2x L_tromino + 1x tromino_col,"(0,0); (0,1); (1,0) | (0,2); (1,2); (2,2) | (1,1); (2,0); (2,1)",L_tromino_class_01;tromino_col_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
47,3,2x L_tromino + 1x tromino_col,"(0,0); (0,1); (1,1) | (0,2); (1,2); (2,2) | (1,0); (2,0); (2,1)",L_tromino_class_01;tromino_col_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
48,3,2x L_tromino + 1x tromino_row,"(0,0); (1,0); (1,1) | (0,1); (0,2); (1,2) | (2,0); (2,1); (2,2)",L_tromino_class_01;L_tromino_class_01;tromino_row_class_01,27,False,EXACT_DERIVED
49,3,2x L_tromino + 1x tromino_col,"(0,0); (1,0); (2,0) | (0,1); (0,2); (1,1) | (1,2); (2,1); (2,2)",tromino_col_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
50,3,2x L_tromino + 1x tromino_col,"(0,0); (1,0); (2,0) | (0,1); (0,2); (1,2) | (1,1); (2,1); (2,2)",tromino_col_class_01;L_tromino_class_01;L_tromino_class_01,27,False,EXACT_DERIVED
51,3,3x tromino_col,"(0,0); (1,0); (2,0) | (0,1); (1,1); (2,1) | (0,2); (1,2); (2,2)",tromino_col_class_01;tromino_col_class_01;tromino_col_class_01,27,False,EXACT_DERIVED
