piece_id,rank_tested,seed,verified_loss,best_max_abs_residual,provenance
L_tromino_class_01,8,1099693,2.1782419896422354e-03,1.4917797436104354e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1098992,2.5654944822130219e-03,1.4796162084647202e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1100394,9.2374405013415130e-03,2.5885527868145741e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1108105,1.0000000000000004e+00,4.3548012606177422e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1101095,3.6142609052660446e-03,2.6069849872318723e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1101796,6.6979842978129207e-03,3.1132635100565905e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1103198,9.0493963917394112e-03,3.0830039650022872e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1102497,3.0330114022683475e-03,2.1919300525370111e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1103899,3.2690027478156870e-03,1.7223496511094429e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1105301,3.6721333453547489e-03,2.2317583094162402e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1106002,4.2795083279476079e-03,2.0944247557063048e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1106703,3.3662583349989197e-03,1.9255569818948728e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1107404,7.4596580497146101e-03,2.9849308575741640e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1109507,4.0294959948432036e-03,2.0558269335403234e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1108806,5.7000032624888973e-03,2.0222255261412608e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1110208,4.7947452957333176e-03,2.4890867687709206e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1110909,4.1650717507552316e-03,2.3544482793837074e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1111610,4.2820886146164635e-03,2.1177532604235202e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1113012,2.2919152726731916e-03,1.6752077093270111e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1112311,4.5210723520313911e-03,2.5494252977057520e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1117919,1.0000000000000016e+00,6.3202289994714689e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1113713,3.7986601300539677e-03,2.0163205028707810e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1114414,5.1622133871701194e-03,2.6425222041499587e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1115115,4.2442374197717327e-03,1.8745001983862985e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1115816,3.2538865826866486e-03,3.2387829249272415e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1116517,4.5215653707439286e-03,3.0191845044910973e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1117218,2.1156051194604515e-03,1.9092265434208232e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1124929,1.0000000000000009e+00,7.5520774154102344e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1118620,4.3183810384764022e-03,2.1981972031370849e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1119321,7.0904934792087254e-03,3.2265880315123847e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1120022,6.3108930370853588e-03,2.2897721826085057e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1120723,1.0000000000000209e+00,7.5144878317008457e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1121424,4.0033432392566019e-03,2.0201083690812333e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1131238,1.0000000000000004e+00,7.5860818910662497e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1122125,4.2936813846621274e-03,2.7277404479001181e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1130537,1.0000000000000011e+00,8.2297107356946642e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1123527,1.8552096921326526e-03,1.9718614485140371e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1122826,4.3099862663070164e-03,2.8839358027503745e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1124228,4.4059472037779567e-03,2.3771616608538049e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1125630,3.7359386039121415e-03,2.1086149639473570e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1126331,5.0614315056747737e-03,2.1448031592967313e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1127733,1.3659634387342804e-02,4.7338056688418978e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1127032,4.1103997743850368e-03,2.2296866799510633e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1128434,3.2378357258144321e-03,2.4227115848966297e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1129135,5.7861459437518019e-03,2.9028128016934784e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1129836,3.4657260310499162e-03,2.3215960190729194e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1141753,1.0000000000000000e+00,7.0175991754671019e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1131939,4.4542441874896666e-03,2.3340185418417151e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1143155,1.0000000000000002e+00,6.7341701354564942e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1132640,3.4481165396560718e-03,1.7349040847771342e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1134042,5.5232152154410944e-03,2.6818438184481246e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1133341,3.9267611554127894e-03,1.7435654471556202e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1134743,2.9262309451888939e-03,2.2295530210906966e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1135444,4.9056835084618708e-03,2.5053630203370023e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1136145,2.2556561112378184e-03,1.5329834341014896e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1136846,2.7883579050250839e-03,1.7465023297606182e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1148763,1.0000000000000002e+00,3.5579350136261034e-01,MEASURED_FROM_CODE
L_tromino_class_01,8,1137547,3.4441142664243959e-03,2.2420544519825322e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1138248,8.8345510230542091e-03,4.0050926034151002e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1138949,3.7401514556285893e-03,1.7397290041587170e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1139650,2.5973468551704322e-03,1.9085986997146340e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1140351,3.4093510475417519e-03,1.7525170634783080e-02,MEASURED_FROM_CODE
L_tromino_class_01,8,1141052,4.0365310421825321e-03,3.0524427444332619e-02,MEASURED_FROM_CODE
