closure_step,A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_inside_set,output_outside_set,output_orbit_ids,output_counts
1,4,40,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,50,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,52,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,54,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,95,Z2xZ2,Z2,0,0,0,[],{}
1,4,125,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
1,4,126,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,127,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,131,Z2xZ2,Z2xZ2,54,54,0,[4],{4: 54}
1,4,132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,133,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,137,Z2xZ2,Z2xZ2,54,54,0,[4],{4: 54}
1,4,138,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,139,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,143,Z2xZ2,Z2,108,108,0,[10],{10: 108}
1,4,161,Z2xZ2,Z2,108,108,0,[20],{20: 108}
1,4,179,Z2xZ2,Z2,108,108,0,[30],{30: 108}
1,4,197,Z2xZ2,Z2,108,108,0,[40],{40: 108}
1,4,215,Z2xZ2,Z2,108,108,0,[50],{50: 108}
1,4,350,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,354,Z2xZ2,Z2,0,0,0,[],{}
1,4,360,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,370,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,380,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,390,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,394,Z2xZ2,Z2,0,0,0,[],{}
1,4,400,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,410,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,420,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,430,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,434,Z2xZ2,Z2,0,0,0,[],{}
1,4,440,Z2xZ2,Z2,0,0,0,[],{}
1,4,500,Z2xZ2,Z2,0,0,0,[],{}
1,4,560,Z2xZ2,Z2,0,0,0,[],{}
1,4,980,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,982,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,984,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,986,Z2xZ2,Z2,0,0,0,[],{}
1,4,995,Z2xZ2,Z2,0,0,0,[],{}
1,4,1010,Z2xZ2,Z2,0,0,0,[],{}
1,4,1025,Z2xZ2,Z2,0,0,0,[],{}
1,4,1040,Z2xZ2,Z2,0,0,0,[],{}
1,4,1055,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,1057,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,1059,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,1130,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,1132,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,4,1134,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,0,Z2xZ2,(Z2)^3,0,0,0,[],{}
1,5,1,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,2,Z2xZ2,Z2xZ2,0,0,0,[],{}
1,5,4,Z2xZ2,Z2xZ2,0,0,0,[],{}
