raw_tuple_id,raw_tuple,in_CX,cx_config_id,cx_readable,in_XC,xc_config_id,xc_readable,in_AX,ax_config_id,ax_readable,in_BX,bx_config_id,bx_readable
54,"(0,6,0)",1,54,"CX[C[0,0],X[2,0|0,0]]",1,54,"XC[X[0,0|2,0],C[0,0]]",1,54,"AX[A[0,0],X[2,0|0,0]]",1,54,"BX[B[0,0],X[2,0|0,0]]"
55,"(0,6,1)",1,55,"CX[C[0,0],X[2,0|0,1]]",1,55,"XC[X[0,0|2,0],C[0,1]]",1,55,"AX[A[0,0],X[2,0|0,1]]",1,55,"BX[B[0,0],X[2,0|0,1]]"
56,"(0,6,2)",1,56,"CX[C[0,0],X[2,0|0,2]]",1,56,"XC[X[0,0|2,0],C[0,2]]",1,56,"AX[A[0,0],X[2,0|0,2]]",1,56,"BX[B[0,0],X[2,0|0,2]]"
57,"(0,6,3)",1,57,"CX[C[0,0],X[2,0|1,0]]",1,57,"XC[X[0,0|2,0],C[1,0]]",1,57,"AX[A[0,0],X[2,0|1,0]]",1,57,"BX[B[0,0],X[2,0|1,0]]"
58,"(0,6,4)",1,58,"CX[C[0,0],X[2,0|1,1]]",1,58,"XC[X[0,0|2,0],C[1,1]]",1,58,"AX[A[0,0],X[2,0|1,1]]",1,58,"BX[B[0,0],X[2,0|1,1]]"
59,"(0,6,5)",1,59,"CX[C[0,0],X[2,0|1,2]]",1,59,"XC[X[0,0|2,0],C[1,2]]",1,59,"AX[A[0,0],X[2,0|1,2]]",1,59,"BX[B[0,0],X[2,0|1,2]]"
60,"(0,6,6)",1,60,"CX[C[0,0],X[2,0|2,0]]",1,60,"XC[X[0,0|2,0],C[2,0]]",1,60,"AX[A[0,0],X[2,0|2,0]]",1,60,"BX[B[0,0],X[2,0|2,0]]"
61,"(0,6,7)",1,61,"CX[C[0,0],X[2,0|2,1]]",1,61,"XC[X[0,0|2,0],C[2,1]]",1,61,"AX[A[0,0],X[2,0|2,1]]",1,61,"BX[B[0,0],X[2,0|2,1]]"
62,"(0,6,8)",1,62,"CX[C[0,0],X[2,0|2,2]]",1,62,"XC[X[0,0|2,0],C[2,2]]",1,62,"AX[A[0,0],X[2,0|2,2]]",1,62,"BX[B[0,0],X[2,0|2,2]]"
63,"(0,7,0)",1,63,"CX[C[0,0],X[2,1|0,0]]",1,63,"XC[X[0,0|2,1],C[0,0]]",1,63,"AX[A[0,0],X[2,1|0,0]]",1,63,"BX[B[0,0],X[2,1|0,0]]"
