profile_orbit_id,canonical_profile,profile_matrix,cxxc_orbit0_support,cxxc_orbit30_support,support_pair_count,max_fiber_activation,nonzero_fibers,fibers_with_0,fibers_with_1,fibers_with_2,fibers_with_3,sample_a_support,sample_b_support,is_generic_full_support_profile
211,"(0, 0, 1, 0, 2, 1, 0, 2, 2)","[[0, 0, 1], [0, 2, 1], [0, 2, 2]]",8,3,216,2,5,4,2,3,0,111/011/100,010/110/100,False
212,"(0, 0, 1, 0, 2, 2, 0, 2, 2)","[[0, 0, 1], [0, 2, 2], [0, 2, 2]]",9,4,162,2,5,4,1,4,0,011/011/100,100/110/110,False
213,"(0, 0, 1, 0, 2, 2, 0, 2, 3)","[[0, 0, 1], [0, 2, 2], [0, 2, 3]]",10,6,108,3,5,4,1,3,1,111/011/100,100/110/110,False
214,"(0, 0, 1, 0, 2, 3, 0, 2, 3)","[[0, 0, 1], [0, 2, 3], [0, 2, 3]]",11,8,54,3,5,4,1,2,2,111/111/100,100/110/110,False
215,"(0, 0, 1, 1, 1, 0, 1, 1, 0)","[[0, 0, 1], [1, 1, 0], [1, 1, 0]]",5,0,918,1,5,4,5,0,0,010/100/100,011/100/000,False
216,"(0, 0, 1, 1, 1, 0, 1, 1, 1)","[[0, 0, 1], [1, 1, 0], [1, 1, 1]]",6,0,2052,1,6,3,6,0,0,110/010/100,011/100/000,False
217,"(0, 0, 1, 1, 1, 0, 1, 1, 2)","[[0, 0, 1], [1, 1, 0], [1, 1, 2]]",7,1,216,2,6,3,5,1,0,101/010/100,001/110/111,False
218,"(0, 0, 1, 1, 1, 0, 1, 2, 0)","[[0, 0, 1], [1, 1, 0], [1, 2, 0]]",6,1,216,2,5,4,4,1,0,101/010/100,101/010/100,False
219,"(0, 0, 1, 1, 1, 0, 1, 2, 1)","[[0, 0, 1], [1, 1, 0], [1, 2, 1]]",7,1,432,2,6,3,5,1,0,101/010/100,011/100/110,False
220,"(0, 0, 1, 1, 1, 0, 1, 2, 2)","[[0, 0, 1], [1, 1, 0], [1, 2, 2]]",8,2,216,2,6,3,4,2,0,111/010/100,011/100/110,False
221,"(0, 0, 1, 1, 1, 0, 2, 2, 0)","[[0, 0, 1], [1, 1, 0], [2, 2, 0]]",7,2,108,2,5,4,3,2,0,101/010/100,110/001/110,False
222,"(0, 0, 1, 1, 1, 0, 2, 2, 1)","[[0, 0, 1], [1, 1, 0], [2, 2, 1]]",8,2,216,2,6,3,4,2,0,101/010/100,011/100/111,False
223,"(0, 0, 1, 1, 1, 0, 2, 2, 2)","[[0, 0, 1], [1, 1, 0], [2, 2, 2]]",9,3,108,2,6,3,3,3,0,111/010/100,011/100/111,False
224,"(0, 0, 1, 1, 1, 1, 1, 1, 1)","[[0, 0, 1], [1, 1, 1], [1, 1, 1]]",7,0,2160,1,7,2,7,0,0,010/100/100,111/100/000,False
225,"(0, 0, 1, 1, 1, 1, 1, 1, 2)","[[0, 0, 1], [1, 1, 1], [1, 1, 2]]",8,1,2376,2,7,2,6,1,0,110/010/100,111/100/000,False
226,"(0, 0, 1, 1, 1, 1, 1, 1, 3)","[[0, 0, 1], [1, 1, 1], [1, 1, 3]]",9,3,108,3,7,2,6,0,1,111/010/100,111/100/100,False
227,"(0, 0, 1, 1, 1, 1, 1, 2, 0)","[[0, 0, 1], [1, 1, 1], [1, 2, 0]]",7,1,216,2,6,3,5,1,0,011/110/100,001/110/100,False
228,"(0, 0, 1, 1, 1, 1, 1, 2, 1)","[[0, 0, 1], [1, 1, 1], [1, 2, 1]]",8,1,648,2,7,2,6,1,0,101/010/100,111/010/100,False
229,"(0, 0, 1, 1, 1, 1, 1, 2, 2)","[[0, 0, 1], [1, 1, 1], [1, 2, 2]]",9,2,648,2,7,2,5,2,0,101/010/100,111/100/110,False
230,"(0, 0, 1, 1, 1, 1, 1, 2, 3)","[[0, 0, 1], [1, 1, 1], [1, 2, 3]]",10,4,216,3,7,2,5,1,1,111/010/100,111/100/110,False
231,"(0, 0, 1, 1, 1, 1, 2, 2, 0)","[[0, 0, 1], [1, 1, 1], [2, 2, 0]]",8,2,108,2,6,3,4,2,0,011/110/100,001/110/110,False
