profile_orbit_id,canonical_profile,profile_matrix,cxxc_orbit0_support,cxxc_orbit30_support,support_pair_count,max_fiber_activation,nonzero_fibers,fibers_with_0,fibers_with_1,fibers_with_2,fibers_with_3,sample_a_support,sample_b_support,is_generic_full_support_profile
43,"(0, 0, 0, 0, 0, 1, 2, 2, 3)","[[0, 0, 0], [0, 0, 1], [2, 2, 3]]",8,5,54,3,4,5,1,2,1,111/100/000,100/111/111,False
44,"(0, 0, 0, 0, 0, 2, 0, 0, 2)","[[0, 0, 0], [0, 0, 2], [0, 0, 2]]",4,2,459,2,2,7,0,2,0,110/110/000,100/100/000,False
45,"(0, 0, 0, 0, 0, 2, 0, 0, 3)","[[0, 0, 0], [0, 0, 2], [0, 0, 3]]",5,4,54,3,2,7,0,1,1,111/110/000,100/100/100,False
46,"(0, 0, 0, 0, 0, 2, 0, 1, 1)","[[0, 0, 0], [0, 0, 2], [0, 1, 1]]",4,1,324,2,3,6,2,1,0,011/100/000,110/100/100,False
47,"(0, 0, 0, 0, 0, 2, 0, 1, 2)","[[0, 0, 0], [0, 0, 2], [0, 1, 2]]",5,2,324,2,3,6,1,2,0,101/110/000,100/110/100,False
48,"(0, 0, 0, 0, 0, 2, 0, 1, 3)","[[0, 0, 0], [0, 0, 2], [0, 1, 3]]",6,4,108,3,3,6,1,1,1,111/110/000,100/100/110,False
49,"(0, 0, 0, 0, 0, 2, 1, 1, 0)","[[0, 0, 0], [0, 0, 2], [1, 1, 0]]",4,1,54,2,3,6,2,1,0,011/100/000,011/100/100,False
50,"(0, 0, 0, 0, 0, 2, 1, 1, 1)","[[0, 0, 0], [0, 0, 2], [1, 1, 1]]",5,1,162,2,4,5,3,1,0,011/100/000,111/100/100,False
51,"(0, 0, 0, 0, 0, 2, 1, 1, 2)","[[0, 0, 0], [0, 0, 2], [1, 1, 2]]",6,2,162,2,4,5,2,2,0,101/110/000,100/111/100,False
52,"(0, 0, 0, 0, 0, 2, 1, 1, 3)","[[0, 0, 0], [0, 0, 2], [1, 1, 3]]",7,4,54,3,4,5,2,1,1,111/110/000,100/100/111,False
53,"(0, 0, 0, 0, 0, 3, 0, 0, 3)","[[0, 0, 0], [0, 0, 3], [0, 0, 3]]",6,6,9,3,2,7,0,0,2,111/111/000,100/100/100,False
54,"(0, 0, 0, 0, 1, 1, 0, 1, 1)","[[0, 0, 0], [0, 1, 1], [0, 1, 1]]",4,0,7911,1,4,5,4,0,0,100/100/000,110/000/000,False
55,"(0, 0, 0, 0, 1, 1, 0, 1, 2)","[[0, 0, 0], [0, 1, 1], [0, 1, 2]]",5,1,3888,2,4,5,3,1,0,110/100/000,110/100/000,False
56,"(0, 0, 0, 0, 1, 1, 0, 1, 3)","[[0, 0, 0], [0, 1, 1], [0, 1, 3]]",6,3,108,3,4,5,3,0,1,111/100/000,110/100/100,False
57,"(0, 0, 0, 0, 1, 1, 0, 2, 2)","[[0, 0, 0], [0, 1, 1], [0, 2, 2]]",6,2,1890,2,4,5,2,2,0,110/100/000,110/110/000,False
58,"(0, 0, 0, 0, 1, 1, 0, 2, 3)","[[0, 0, 0], [0, 1, 1], [0, 2, 3]]",7,4,216,3,4,5,2,1,1,111/100/000,110/110/100,False
59,"(0, 0, 0, 0, 1, 1, 0, 3, 3)","[[0, 0, 0], [0, 1, 1], [0, 3, 3]]",8,6,54,3,4,5,2,0,2,111/100/000,110/110/110,False
60,"(0, 0, 0, 0, 1, 1, 1, 0, 1)","[[0, 0, 0], [0, 1, 1], [1, 0, 1]]",4,0,1944,1,4,5,4,0,0,010/100/000,101/110/000,False
61,"(0, 0, 0, 0, 1, 1, 1, 0, 2)","[[0, 0, 0], [0, 1, 1], [1, 0, 2]]",5,1,432,2,4,5,3,1,0,011/100/000,101/110/100,False
62,"(0, 0, 0, 0, 1, 1, 1, 1, 1)","[[0, 0, 0], [0, 1, 1], [1, 1, 1]]",5,0,3996,1,5,4,5,0,0,010/100/000,111/110/000,False
63,"(0, 0, 0, 0, 1, 1, 1, 1, 2)","[[0, 0, 0], [0, 1, 1], [1, 1, 2]]",6,1,4320,2,5,4,4,1,0,110/100/000,101/110/000,False
64,"(0, 0, 0, 0, 1, 1, 1, 1, 3)","[[0, 0, 0], [0, 1, 1], [1, 1, 3]]",7,3,216,3,5,4,4,0,1,111/100/000,101/110/100,False
65,"(0, 0, 0, 0, 1, 1, 1, 2, 2)","[[0, 0, 0], [0, 1, 1], [1, 2, 2]]",7,2,2160,2,5,4,3,2,0,110/100/000,110/111/000,False
66,"(0, 0, 0, 0, 1, 1, 1, 2, 3)","[[0, 0, 0], [0, 1, 1], [1, 2, 3]]",8,4,432,3,5,4,3,1,1,111/100/000,110/111/100,False
67,"(0, 0, 0, 0, 1, 1, 1, 3, 3)","[[0, 0, 0], [0, 1, 1], [1, 3, 3]]",9,6,108,3,5,4,3,0,2,111/100/000,110/111/110,False
68,"(0, 0, 0, 0, 1, 1, 2, 0, 1)","[[0, 0, 0], [0, 1, 1], [2, 0, 1]]",5,1,216,2,4,5,3,1,0,011/100/000,011/110/100,False
69,"(0, 0, 0, 0, 1, 1, 2, 0, 2)","[[0, 0, 0], [0, 1, 1], [2, 0, 2]]",6,2,108,2,4,5,2,2,0,011/100/000,101/110/110,False
70,"(0, 0, 0, 0, 1, 1, 2, 1, 1)","[[0, 0, 0], [0, 1, 1], [2, 1, 1]]",6,1,270,2,5,4,4,1,0,011/100/000,011/111/100,False
71,"(0, 0, 0, 0, 1, 1, 2, 1, 2)","[[0, 0, 0], [0, 1, 1], [2, 1, 2]]",7,2,432,2,5,4,3,2,0,011/100/000,101/111/110,False
72,"(0, 0, 0, 0, 1, 1, 2, 1, 3)","[[0, 0, 0], [0, 1, 1], [2, 1, 3]]",8,4,108,3,5,4,3,1,1,111/100/000,101/110/110,False
73,"(0, 0, 0, 0, 1, 1, 2, 2, 2)","[[0, 0, 0], [0, 1, 1], [2, 2, 2]]",8,3,270,2,5,4,2,3,0,011/100/000,110/111/111,False
74,"(0, 0, 0, 0, 1, 1, 2, 2, 3)","[[0, 0, 0], [0, 1, 1], [2, 2, 3]]",9,5,216,3,5,4,2,2,1,111/100/000,101/111/110,False
75,"(0, 0, 0, 0, 1, 1, 2, 3, 3)","[[0, 0, 0], [0, 1, 1], [2, 3, 3]]",10,7,54,3,5,4,2,1,2,111/100/000,110/111/111,False
76,"(0, 0, 0, 0, 1, 2, 0, 1, 2)","[[0, 0, 0], [0, 1, 2], [0, 1, 2]]",6,2,1890,2,4,5,2,2,0,110/110/000,110/100/000,False
77,"(0, 0, 0, 0, 1, 2, 0, 1, 3)","[[0, 0, 0], [0, 1, 2], [0, 1, 3]]",7,4,216,3,4,5,2,1,1,111/110/000,110/100/100,False
78,"(0, 0, 0, 0, 1, 2, 0, 2, 1)","[[0, 0, 0], [0, 1, 2], [0, 2, 1]]",6,2,108,2,4,5,2,2,0,101/110/000,110/010/100,False
79,"(0, 0, 0, 0, 1, 2, 0, 2, 2)","[[0, 0, 0], [0, 1, 2], [0, 2, 2]]",7,3,432,2,4,5,1,3,0,101/110/000,110/110/100,False
80,"(0, 0, 0, 0, 1, 2, 0, 2, 3)","[[0, 0, 0], [0, 1, 2], [0, 2, 3]]",8,5,216,3,4,5,1,2,1,111/110/000,110/100/110,False
81,"(0, 0, 0, 0, 1, 2, 1, 0, 2)","[[0, 0, 0], [0, 1, 2], [1, 0, 2]]",6,2,108,2,4,5,2,2,0,101/110/000,100/101/110,False
82,"(0, 0, 0, 0, 1, 2, 1, 1, 1)","[[0, 0, 0], [0, 1, 2], [1, 1, 1]]",6,1,648,2,5,4,4,1,0,011/100/000,111/110/100,False
83,"(0, 0, 0, 0, 1, 2, 1, 1, 2)","[[0, 0, 0], [0, 1, 2], [1, 1, 2]]",7,2,648,2,5,4,3,2,0,101/110/000,101/110/100,False
84,"(0, 0, 0, 0, 1, 2, 1, 1, 3)","[[0, 0, 0], [0, 1, 2], [1, 1, 3]]",8,4,216,3,5,4,3,1,1,111/110/000,101/100/110,False
85,"(0, 0, 0, 0, 1, 2, 1, 2, 1)","[[0, 0, 0], [0, 1, 2], [1, 2, 1]]",7,2,216,2,5,4,3,2,0,101/110/000,110/011/100,False
86,"(0, 0, 0, 0, 1, 2, 1, 2, 2)","[[0, 0, 0], [0, 1, 2], [1, 2, 2]]",8,3,432,2,5,4,2,3,0,101/110/000,110/111/100,False
87,"(0, 0, 0, 0, 1, 2, 1, 2, 3)","[[0, 0, 0], [0, 1, 2], [1, 2, 3]]",9,5,216,3,5,4,2,2,1,111/110/000,110/100/111,False
88,"(0, 0, 0, 0, 1, 3, 0, 1, 3)","[[0, 0, 0], [0, 1, 3], [0, 1, 3]]",8,6,54,3,4,5,2,0,2,111/111/000,110/100/100,False
89,"(0, 0, 0, 0, 2, 2, 0, 2, 2)","[[0, 0, 0], [0, 2, 2], [0, 2, 2]]",8,4,513,2,4,5,0,4,0,110/110/000,110/110/000,False
90,"(0, 0, 0, 0, 2, 2, 0, 2, 3)","[[0, 0, 0], [0, 2, 2], [0, 2, 3]]",9,6,108,3,4,5,0,3,1,111/110/000,110/110/100,False
91,"(0, 0, 0, 0, 2, 2, 0, 3, 3)","[[0, 0, 0], [0, 2, 2], [0, 3, 3]]",10,8,54,3,4,5,0,2,2,111/110/000,110/110/110,False
92,"(0, 0, 0, 0, 2, 2, 1, 1, 1)","[[0, 0, 0], [0, 2, 2], [1, 1, 1]]",7,2,162,2,5,4,3,2,0,011/100/000,111/110/110,False
93,"(0, 0, 0, 0, 2, 2, 1, 1, 2)","[[0, 0, 0], [0, 2, 2], [1, 1, 2]]",8,3,216,2,5,4,2,3,0,101/110/000,110/101/110,False
94,"(0, 0, 0, 0, 2, 2, 1, 2, 2)","[[0, 0, 0], [0, 2, 2], [1, 2, 2]]",9,4,162,2,5,4,1,4,0,101/110/000,110/111/110,False
95,"(0, 0, 0, 0, 2, 2, 1, 2, 3)","[[0, 0, 0], [0, 2, 2], [1, 2, 3]]",10,6,108,3,5,4,1,3,1,111/110/000,101/101/110,False
96,"(0, 0, 0, 0, 2, 2, 1, 3, 3)","[[0, 0, 0], [0, 2, 2], [1, 3, 3]]",11,8,54,3,5,4,1,2,2,111/110/000,110/110/111,False
97,"(0, 0, 0, 0, 2, 3, 0, 2, 3)","[[0, 0, 0], [0, 2, 3], [0, 2, 3]]",10,8,54,3,4,5,0,2,2,111/111/000,110/110/100,False
98,"(0, 0, 0, 0, 3, 3, 0, 3, 3)","[[0, 0, 0], [0, 3, 3], [0, 3, 3]]",12,12,9,3,4,5,0,0,4,111/111/000,110/110/110,False
99,"(0, 0, 0, 1, 1, 1, 1, 1, 1)","[[0, 0, 0], [1, 1, 1], [1, 1, 1]]",6,0,3339,1,6,3,6,0,0,100/100/000,111/000/000,False
100,"(0, 0, 0, 1, 1, 1, 1, 1, 2)","[[0, 0, 0], [1, 1, 1], [1, 1, 2]]",7,1,2484,2,6,3,5,1,0,110/100/000,111/100/000,False
101,"(0, 0, 0, 1, 1, 1, 1, 1, 3)","[[0, 0, 0], [1, 1, 1], [1, 1, 3]]",8,3,54,3,6,3,5,0,1,111/100/000,111/100/100,False
102,"(0, 0, 0, 1, 1, 1, 1, 2, 2)","[[0, 0, 0], [1, 1, 1], [1, 2, 2]]",8,2,2268,2,6,3,4,2,0,110/100/000,111/110/000,False
103,"(0, 0, 0, 1, 1, 1, 1, 2, 3)","[[0, 0, 0], [1, 1, 1], [1, 2, 3]]",9,4,216,3,6,3,4,1,1,111/100/000,111/110/100,False
104,"(0, 0, 0, 1, 1, 1, 1, 3, 3)","[[0, 0, 0], [1, 1, 1], [1, 3, 3]]",10,6,54,3,6,3,4,0,2,111/100/000,111/110/110,False
105,"(0, 0, 0, 1, 1, 1, 2, 2, 2)","[[0, 0, 0], [1, 1, 1], [2, 2, 2]]",9,3,774,2,6,3,3,3,0,110/100/000,111/111/000,False
106,"(0, 0, 0, 1, 1, 1, 2, 2, 3)","[[0, 0, 0], [1, 1, 1], [2, 2, 3]]",10,5,216,3,6,3,3,2,1,111/100/000,111/111/100,False
107,"(0, 0, 0, 1, 1, 1, 2, 3, 3)","[[0, 0, 0], [1, 1, 1], [2, 3, 3]]",11,7,108,3,6,3,3,1,2,111/100/000,111/111/110,False
108,"(0, 0, 0, 1, 1, 1, 3, 3, 3)","[[0, 0, 0], [1, 1, 1], [3, 3, 3]]",12,9,18,3,6,3,3,0,3,111/100/000,111/111/111,False
109,"(0, 0, 0, 1, 1, 2, 1, 1, 2)","[[0, 0, 0], [1, 1, 2], [1, 1, 2]]",8,2,1971,2,6,3,4,2,0,110/110/000,111/100/000,False
110,"(0, 0, 0, 1, 1, 2, 1, 1, 3)","[[0, 0, 0], [1, 1, 2], [1, 1, 3]]",9,4,216,3,6,3,4,1,1,111/110/000,111/100/100,False
111,"(0, 0, 0, 1, 1, 2, 1, 2, 1)","[[0, 0, 0], [1, 1, 2], [1, 2, 1]]",8,2,216,2,6,3,4,2,0,101/110/000,111/010/100,False
112,"(0, 0, 0, 1, 1, 2, 1, 2, 2)","[[0, 0, 0], [1, 1, 2], [1, 2, 2]]",9,3,864,2,6,3,3,3,0,101/110/000,111/110/100,False
113,"(0, 0, 0, 1, 1, 2, 1, 2, 3)","[[0, 0, 0], [1, 1, 2], [1, 2, 3]]",10,5,432,3,6,3,3,2,1,111/110/000,111/100/110,False
114,"(0, 0, 0, 1, 1, 2, 2, 2, 1)","[[0, 0, 0], [1, 1, 2], [2, 2, 1]]",9,3,108,2,6,3,3,3,0,101/110/000,111/011/100,False
115,"(0, 0, 0, 1, 1, 2, 2, 2, 2)","[[0, 0, 0], [1, 1, 2], [2, 2, 2]]",10,4,324,2,6,3,2,4,0,101/110/000,111/111/100,False
116,"(0, 0, 0, 1, 1, 2, 2, 2, 3)","[[0, 0, 0], [1, 1, 2], [2, 2, 3]]",11,6,216,3,6,3,2,3,1,111/110/000,111/100/111,False
117,"(0, 0, 0, 1, 1, 3, 1, 1, 3)","[[0, 0, 0], [1, 1, 3], [1, 1, 3]]",10,6,81,3,6,3,4,0,2,111/111/000,111/100/100,False
118,"(0, 0, 0, 1, 2, 2, 1, 2, 2)","[[0, 0, 0], [1, 2, 2], [1, 2, 2]]",10,4,1107,2,6,3,2,4,0,110/110/000,111/110/000,False
119,"(0, 0, 0, 1, 2, 2, 1, 2, 3)","[[0, 0, 0], [1, 2, 2], [1, 2, 3]]",11,6,216,3,6,3,2,3,1,111/110/000,111/110/100,False
120,"(0, 0, 0, 1, 2, 2, 1, 3, 3)","[[0, 0, 0], [1, 2, 2], [1, 3, 3]]",12,8,108,3,6,3,2,2,2,111/110/000,111/110/110,False
121,"(0, 0, 0, 1, 2, 2, 2, 1, 2)","[[0, 0, 0], [1, 2, 2], [2, 1, 2]]",10,4,108,2,6,3,2,4,0,101/110/000,111/101/110,False
122,"(0, 0, 0, 1, 2, 2, 2, 2, 2)","[[0, 0, 0], [1, 2, 2], [2, 2, 2]]",11,5,216,2,6,3,1,5,0,101/110/000,111/111/110,False
123,"(0, 0, 0, 1, 2, 2, 2, 2, 3)","[[0, 0, 0], [1, 2, 2], [2, 2, 3]]",12,7,216,3,6,3,1,4,1,111/110/000,111/101/110,False
124,"(0, 0, 0, 1, 2, 2, 2, 3, 3)","[[0, 0, 0], [1, 2, 2], [2, 3, 3]]",13,9,108,3,6,3,1,3,2,111/110/000,111/110/111,False
125,"(0, 0, 0, 1, 2, 3, 1, 2, 3)","[[0, 0, 0], [1, 2, 3], [1, 2, 3]]",12,8,162,3,6,3,2,2,2,111/111/000,111/110/100,False
126,"(0, 0, 0, 1, 3, 3, 1, 3, 3)","[[0, 0, 0], [1, 3, 3], [1, 3, 3]]",14,12,27,3,6,3,2,0,4,111/111/000,111/110/110,False
127,"(0, 0, 0, 2, 2, 2, 2, 2, 2)","[[0, 0, 0], [2, 2, 2], [2, 2, 2]]",12,6,225,2,6,3,0,6,0,110/110/000,111/111/000,False
128,"(0, 0, 0, 2, 2, 2, 2, 2, 3)","[[0, 0, 0], [2, 2, 2], [2, 2, 3]]",13,8,54,3,6,3,0,5,1,111/110/000,111/111/100,False
129,"(0, 0, 0, 2, 2, 2, 2, 3, 3)","[[0, 0, 0], [2, 2, 2], [2, 3, 3]]",14,10,54,3,6,3,0,4,2,111/110/000,111/111/110,False
130,"(0, 0, 0, 2, 2, 2, 3, 3, 3)","[[0, 0, 0], [2, 2, 2], [3, 3, 3]]",15,12,18,3,6,3,0,3,3,111/110/000,111/111/111,False
131,"(0, 0, 0, 2, 2, 3, 2, 2, 3)","[[0, 0, 0], [2, 2, 3], [2, 2, 3]]",14,10,81,3,6,3,0,4,2,111/111/000,111/111/100,False
132,"(0, 0, 0, 2, 3, 3, 2, 3, 3)","[[0, 0, 0], [2, 3, 3], [2, 3, 3]]",16,14,27,3,6,3,0,2,4,111/111/000,111/111/110,False
133,"(0, 0, 0, 3, 3, 3, 3, 3, 3)","[[0, 0, 0], [3, 3, 3], [3, 3, 3]]",18,18,3,3,6,3,0,0,6,111/111/000,111/111/111,False
134,"(0, 0, 1, 0, 0, 1, 0, 0, 1)","[[0, 0, 1], [0, 0, 1], [0, 0, 1]]",3,0,2853,1,3,6,3,0,0,100/100/100,100/000/000,False
135,"(0, 0, 1, 0, 0, 1, 0, 0, 2)","[[0, 0, 1], [0, 0, 1], [0, 0, 2]]",4,1,1755,2,3,6,2,1,0,110/100/100,100/100/000,False
136,"(0, 0, 1, 0, 0, 1, 0, 0, 3)","[[0, 0, 1], [0, 0, 1], [0, 0, 3]]",5,3,81,3,3,6,2,0,1,111/100/100,100/100/100,False
137,"(0, 0, 1, 0, 0, 1, 0, 1, 0)","[[0, 0, 1], [0, 0, 1], [0, 1, 0]]",3,0,1728,1,3,6,3,0,0,010/100/100,010/100/000,False
138,"(0, 0, 1, 0, 0, 1, 0, 1, 1)","[[0, 0, 1], [0, 0, 1], [0, 1, 1]]",4,0,3672,1,4,5,4,0,0,010/100/100,100/110/000,False
139,"(0, 0, 1, 0, 0, 1, 0, 1, 2)","[[0, 0, 1], [0, 0, 1], [0, 1, 2]]",5,1,2160,2,4,5,3,1,0,110/100/100,100/110/000,False
140,"(0, 0, 1, 0, 0, 1, 0, 1, 3)","[[0, 0, 1], [0, 0, 1], [0, 1, 3]]",6,3,216,3,4,5,3,0,1,111/100/100,100/110/100,False
141,"(0, 0, 1, 0, 0, 1, 0, 2, 0)","[[0, 0, 1], [0, 0, 1], [0, 2, 0]]",4,1,54,2,3,6,2,1,0,011/100/100,010/100/100,False
142,"(0, 0, 1, 0, 0, 1, 0, 2, 1)","[[0, 0, 1], [0, 0, 1], [0, 2, 1]]",5,1,162,2,4,5,3,1,0,011/100/100,010/110/100,False
143,"(0, 0, 1, 0, 0, 1, 0, 2, 2)","[[0, 0, 1], [0, 0, 1], [0, 2, 2]]",6,2,162,2,4,5,2,2,0,011/100/100,100/110/110,False
144,"(0, 0, 1, 0, 0, 1, 0, 2, 3)","[[0, 0, 1], [0, 0, 1], [0, 2, 3]]",7,4,54,3,4,5,2,1,1,111/100/100,100/110/110,False
145,"(0, 0, 1, 0, 0, 1, 1, 1, 0)","[[0, 0, 1], [0, 0, 1], [1, 1, 0]]",4,0,918,1,4,5,4,0,0,010/100/100,001/110/000,False
146,"(0, 0, 1, 0, 0, 1, 1, 1, 1)","[[0, 0, 1], [0, 0, 1], [1, 1, 1]]",5,0,1998,1,5,4,5,0,0,010/100/100,100/111/000,False
147,"(0, 0, 1, 0, 0, 1, 1, 1, 2)","[[0, 0, 1], [0, 0, 1], [1, 1, 2]]",6,1,1242,2,5,4,4,1,0,110/100/100,100/111/000,False
148,"(0, 0, 1, 0, 0, 1, 1, 1, 3)","[[0, 0, 1], [0, 0, 1], [1, 1, 3]]",7,3,162,3,5,4,4,0,1,111/100/100,100/111/100,False
149,"(0, 0, 1, 0, 0, 1, 1, 2, 0)","[[0, 0, 1], [0, 0, 1], [1, 2, 0]]",5,1,108,2,4,5,3,1,0,011/100/100,001/110/100,False
150,"(0, 0, 1, 0, 0, 1, 1, 2, 1)","[[0, 0, 1], [0, 0, 1], [1, 2, 1]]",6,1,324,2,5,4,4,1,0,011/100/100,010/111/100,False
151,"(0, 0, 1, 0, 0, 1, 1, 2, 2)","[[0, 0, 1], [0, 0, 1], [1, 2, 2]]",7,2,324,2,5,4,3,2,0,011/100/100,100/111/110,False
152,"(0, 0, 1, 0, 0, 1, 1, 2, 3)","[[0, 0, 1], [0, 0, 1], [1, 2, 3]]",8,4,108,3,5,4,3,1,1,111/100/100,100/111/110,False
153,"(0, 0, 1, 0, 0, 1, 2, 2, 0)","[[0, 0, 1], [0, 0, 1], [2, 2, 0]]",6,2,27,2,4,5,2,2,0,011/100/100,001/110/110,False
154,"(0, 0, 1, 0, 0, 1, 2, 2, 1)","[[0, 0, 1], [0, 0, 1], [2, 2, 1]]",7,2,81,2,5,4,3,2,0,011/100/100,001/111/110,False
155,"(0, 0, 1, 0, 0, 1, 2, 2, 2)","[[0, 0, 1], [0, 0, 1], [2, 2, 2]]",8,3,81,2,5,4,2,3,0,011/100/100,100/111/111,False
156,"(0, 0, 1, 0, 0, 1, 2, 2, 3)","[[0, 0, 1], [0, 0, 1], [2, 2, 3]]",9,5,27,3,5,4,2,2,1,111/100/100,100/111/111,False
157,"(0, 0, 1, 0, 0, 2, 0, 0, 2)","[[0, 0, 1], [0, 0, 2], [0, 0, 2]]",5,2,999,2,3,6,1,2,0,110/110/100,100/100/000,False
158,"(0, 0, 1, 0, 0, 2, 0, 0, 3)","[[0, 0, 1], [0, 0, 2], [0, 0, 3]]",6,4,162,3,3,6,1,1,1,111/110/100,100/100/100,False
159,"(0, 0, 1, 0, 0, 2, 0, 1, 0)","[[0, 0, 1], [0, 0, 2], [0, 1, 0]]",4,1,216,2,3,6,2,1,0,101/010/100,100/010/100,False
160,"(0, 0, 1, 0, 0, 2, 0, 1, 1)","[[0, 0, 1], [0, 0, 2], [0, 1, 1]]",5,1,648,2,4,5,3,1,0,101/010/100,100/110/100,False
161,"(0, 0, 1, 0, 0, 2, 0, 1, 2)","[[0, 0, 1], [0, 0, 2], [0, 1, 2]]",6,2,648,2,4,5,2,2,0,101/110/100,100/110/100,False
162,"(0, 0, 1, 0, 0, 2, 0, 1, 3)","[[0, 0, 1], [0, 0, 2], [0, 1, 3]]",7,4,216,3,4,5,2,1,1,111/110/100,100/100/110,False
163,"(0, 0, 1, 0, 0, 2, 1, 1, 0)","[[0, 0, 1], [0, 0, 2], [1, 1, 0]]",5,1,108,2,4,5,3,1,0,101/010/100,100/011/100,False
164,"(0, 0, 1, 0, 0, 2, 1, 1, 1)","[[0, 0, 1], [0, 0, 2], [1, 1, 1]]",6,1,324,2,5,4,4,1,0,101/010/100,100/111/100,False
165,"(0, 0, 1, 0, 0, 2, 1, 1, 2)","[[0, 0, 1], [0, 0, 2], [1, 1, 2]]",7,2,324,2,5,4,3,2,0,101/110/100,100/111/100,False
166,"(0, 0, 1, 0, 0, 2, 1, 1, 3)","[[0, 0, 1], [0, 0, 2], [1, 1, 3]]",8,4,108,3,5,4,3,1,1,111/110/100,100/100/111,False
167,"(0, 0, 1, 0, 0, 3, 0, 0, 3)","[[0, 0, 1], [0, 0, 3], [0, 0, 3]]",7,6,27,3,3,6,1,0,2,111/111/100,100/100/100,False
168,"(0, 0, 1, 0, 1, 0, 0, 1, 1)","[[0, 0, 1], [0, 1, 0], [0, 1, 1]]",4,0,1944,1,4,5,4,0,0,110/010/100,010/100/000,False
169,"(0, 0, 1, 0, 1, 0, 0, 1, 2)","[[0, 0, 1], [0, 1, 0], [0, 1, 2]]",5,1,432,2,4,5,3,1,0,101/010/100,010/100/110,False
170,"(0, 0, 1, 0, 1, 0, 0, 2, 2)","[[0, 0, 1], [0, 1, 0], [0, 2, 2]]",6,2,108,2,4,5,2,2,0,111/010/100,010/100/110,False
171,"(0, 0, 1, 0, 1, 0, 1, 0, 0)","[[0, 0, 1], [0, 1, 0], [1, 0, 0]]",3,0,36,1,3,6,3,0,0,001/010/100,001/010/100,False
172,"(0, 0, 1, 0, 1, 0, 1, 0, 1)","[[0, 0, 1], [0, 1, 0], [1, 0, 1]]",4,0,432,1,4,5,4,0,0,001/010/100,101/010/100,False
173,"(0, 0, 1, 0, 1, 0, 1, 0, 2)","[[0, 0, 1], [0, 1, 0], [1, 0, 2]]",5,1,216,2,4,5,3,1,0,101/010/100,100/001/110,False
174,"(0, 0, 1, 0, 1, 0, 1, 1, 1)","[[0, 0, 1], [0, 1, 0], [1, 1, 1]]",5,0,432,1,5,4,5,0,0,001/010/100,111/010/100,False
175,"(0, 0, 1, 0, 1, 0, 1, 1, 2)","[[0, 0, 1], [0, 1, 0], [1, 1, 2]]",6,1,432,2,5,4,4,1,0,101/010/100,010/100/111,False
176,"(0, 0, 1, 0, 1, 0, 1, 2, 2)","[[0, 0, 1], [0, 1, 0], [1, 2, 2]]",7,2,108,2,5,4,3,2,0,111/010/100,010/100/111,False
177,"(0, 0, 1, 0, 1, 1, 0, 1, 1)","[[0, 0, 1], [0, 1, 1], [0, 1, 1]]",5,0,3996,1,5,4,5,0,0,010/100/100,110/100/000,False
178,"(0, 0, 1, 0, 1, 1, 0, 1, 2)","[[0, 0, 1], [0, 1, 1], [0, 1, 2]]",6,1,4320,2,5,4,4,1,0,110/010/100,110/100/000,False
179,"(0, 0, 1, 0, 1, 1, 0, 1, 3)","[[0, 0, 1], [0, 1, 1], [0, 1, 3]]",7,3,216,3,5,4,4,0,1,111/010/100,110/100/100,False
180,"(0, 0, 1, 0, 1, 1, 0, 2, 0)","[[0, 0, 1], [0, 1, 1], [0, 2, 0]]",5,1,216,2,4,5,3,1,0,011/110/100,010/100/100,False
181,"(0, 0, 1, 0, 1, 1, 0, 2, 1)","[[0, 0, 1], [0, 1, 1], [0, 2, 1]]",6,1,648,2,5,4,4,1,0,101/010/100,110/010/100,False
182,"(0, 0, 1, 0, 1, 1, 0, 2, 2)","[[0, 0, 1], [0, 1, 1], [0, 2, 2]]",7,2,648,2,5,4,3,2,0,101/010/100,110/100/110,False
183,"(0, 0, 1, 0, 1, 1, 0, 2, 3)","[[0, 0, 1], [0, 1, 1], [0, 2, 3]]",8,4,216,3,5,4,3,1,1,111/010/100,110/100/110,False
184,"(0, 0, 1, 0, 1, 1, 1, 0, 1)","[[0, 0, 1], [0, 1, 1], [1, 0, 1]]",5,0,432,1,5,4,5,0,0,001/010/100,101/110/100,False
185,"(0, 0, 1, 0, 1, 1, 1, 0, 2)","[[0, 0, 1], [0, 1, 1], [1, 0, 2]]",6,1,432,2,5,4,4,1,0,101/010/100,100/101/110,False
186,"(0, 0, 1, 0, 1, 1, 1, 1, 0)","[[0, 0, 1], [0, 1, 1], [1, 1, 0]]",5,0,648,1,5,4,5,0,0,001/010/100,011/110/100,False
187,"(0, 0, 1, 0, 1, 1, 1, 1, 1)","[[0, 0, 1], [0, 1, 1], [1, 1, 1]]",6,0,1512,1,6,3,6,0,0,001/010/100,111/110/100,False
188,"(0, 0, 1, 0, 1, 1, 1, 1, 2)","[[0, 0, 1], [0, 1, 1], [1, 1, 2]]",7,1,1080,2,6,3,5,1,0,101/010/100,101/100/110,False
189,"(0, 0, 1, 0, 1, 1, 1, 1, 3)","[[0, 0, 1], [0, 1, 1], [1, 1, 3]]",8,3,216,3,6,3,5,0,1,111/010/100,101/100/110,False
190,"(0, 0, 1, 0, 1, 1, 1, 2, 0)","[[0, 0, 1], [0, 1, 1], [1, 2, 0]]",6,1,216,2,5,4,4,1,0,011/110/100,001/100/110,False
