schema,orbit_id,rep_config_id,rep_readable,orbit_size,stabilizer_size,signature_key,row_pattern,channel_pattern,col_pattern
LLL,34,110,"LLL[L[0,0,0],L[0,1,1],L[0,0,2]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 0); cols=(0, 1, 2)","(0, 0, 0)","(0, 1, 0)","(0, 1, 2)"
LLL,35,111,"LLL[L[0,0,0],L[0,1,1],L[0,1,0]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 1); cols=(0, 1, 0)","(0, 0, 0)","(0, 1, 1)","(0, 1, 0)"
LLL,36,112,"LLL[L[0,0,0],L[0,1,1],L[0,1,1]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 1); cols=(0, 1, 1)","(0, 0, 0)","(0, 1, 1)","(0, 1, 1)"
LLL,37,113,"LLL[L[0,0,0],L[0,1,1],L[0,1,2]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 1); cols=(0, 1, 2)","(0, 0, 0)","(0, 1, 1)","(0, 1, 2)"
LLL,38,114,"LLL[L[0,0,0],L[0,1,1],L[0,2,0]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 2); cols=(0, 1, 0)","(0, 0, 0)","(0, 1, 2)","(0, 1, 0)"
LLL,39,115,"LLL[L[0,0,0],L[0,1,1],L[0,2,1]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 2); cols=(0, 1, 1)","(0, 0, 0)","(0, 1, 2)","(0, 1, 1)"
LLL,40,116,"LLL[L[0,0,0],L[0,1,1],L[0,2,2]]",108,2,"rows=(0, 0, 0); channels=(0, 1, 2); cols=(0, 1, 2)","(0, 0, 0)","(0, 1, 2)","(0, 1, 2)"
LLL,41,117,"LLL[L[0,0,0],L[0,1,1],L[1,0,0]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 0); cols=(0, 1, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 0)"
LLL,42,118,"LLL[L[0,0,0],L[0,1,1],L[1,0,1]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 0); cols=(0, 1, 1)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)"
LLL,43,119,"LLL[L[0,0,0],L[0,1,1],L[1,0,2]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 0); cols=(0, 1, 2)","(0, 0, 1)","(0, 1, 0)","(0, 1, 2)"
LLL,44,120,"LLL[L[0,0,0],L[0,1,1],L[1,1,0]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 1); cols=(0, 1, 0)","(0, 0, 1)","(0, 1, 1)","(0, 1, 0)"
LLL,45,121,"LLL[L[0,0,0],L[0,1,1],L[1,1,1]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 1); cols=(0, 1, 1)","(0, 0, 1)","(0, 1, 1)","(0, 1, 1)"
LLL,46,122,"LLL[L[0,0,0],L[0,1,1],L[1,1,2]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 1); cols=(0, 1, 2)","(0, 0, 1)","(0, 1, 1)","(0, 1, 2)"
LLL,47,123,"LLL[L[0,0,0],L[0,1,1],L[1,2,0]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 2); cols=(0, 1, 0)","(0, 0, 1)","(0, 1, 2)","(0, 1, 0)"
LLL,48,124,"LLL[L[0,0,0],L[0,1,1],L[1,2,1]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 2); cols=(0, 1, 1)","(0, 0, 1)","(0, 1, 2)","(0, 1, 1)"
LLL,49,125,"LLL[L[0,0,0],L[0,1,1],L[1,2,2]]",216,1,"rows=(0, 0, 1); channels=(0, 1, 2); cols=(0, 1, 2)","(0, 0, 1)","(0, 1, 2)","(0, 1, 2)"
LLL,50,243,"LLL[L[0,0,0],L[1,0,0],L[0,0,0]]",54,4,"rows=(0, 1, 0); channels=(0, 0, 0); cols=(0, 0, 0)","(0, 1, 0)","(0, 0, 0)","(0, 0, 0)"
