base_label,candidate,t_value,R,annihilator_projection_residual,lambda_H_max_abs,lambda_to_ker_angle_deg,rank_H_numeric,restricted_rank_numeric,functional_defect_dim_numeric,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,random_kernel_direction_1,0.5,23,7.98666688339722e-15,0.4579033158535645,14.08461294603611,14,14,0,0.6294803122214118,4.064298504759725
alphatensor_rank23_transpose,random_kernel_direction_1,0.6,23,7.98666688339722e-15,0.3663226526828524,18.597491293466053,14,14,0,0.8060188323936934,5.689838145493838
alphatensor_rank23_transpose,random_kernel_direction_1,0.7,23,7.98666688339722e-15,0.2747419895121403,23.1684740986634,14,14,0,0.9408122275313306,7.25911250310843
alphatensor_rank23_transpose,random_kernel_direction_1,0.8,23,7.98666688339722e-15,0.18316132634142815,27.2107694482601,14,14,0,1.0220328279264819,8.645547124305322
alphatensor_rank23_transpose,random_kernel_direction_1,0.9,23,7.98666688339722e-15,0.09158066317071609,30.315571662936836,14,14,0,1.0745116853432575,9.795044434907005
alphatensor_rank23_transpose,random_kernel_direction_1,1.0,23,7.98666688339722e-15,7.979727989493313e-15,33.0830029376433,14,14,0,1.092373364521635,10.7033094388731
alphatensor_rank23_transpose,random_kernel_direction_2,0.0,23,8.375244942016025e-15,1.5594244077622206,0.0,14,14,0,2.4933823149916585e-15,1.6201168903461137e-28
alphatensor_rank23_transpose,random_kernel_direction_2,0.1,23,8.375244942016025e-15,1.4034819669859986,1.9587880877558608,14,14,0,0.07195275009913527,0.08472662072380599
alphatensor_rank23_transpose,random_kernel_direction_2,0.2,23,8.375244942016025e-15,1.2475395262097766,4.387436634499882,14,14,0,0.16346258589676843,0.3879657069847683
alphatensor_rank23_transpose,random_kernel_direction_2,0.3,23,8.375244942016025e-15,1.0915970854335544,7.4516534418913265,14,14,0,0.2860576381467409,0.977799532603755
alphatensor_rank23_transpose,random_kernel_direction_2,0.4,23,8.375244942016025e-15,0.9356546446573323,11.36997202813433,14,14,0,0.43532094928812837,1.888167831843186
alphatensor_rank23_transpose,random_kernel_direction_2,0.5,23,8.375244942016025e-15,0.7797122038811103,16.394252083594882,14,14,0,0.6143161624764842,3.0842942808494023
alphatensor_rank23_transpose,random_kernel_direction_2,0.6,23,8.375244942016025e-15,0.6237697631048884,22.724923532591045,14,14,0,0.787307815725805,4.448543821339051
alphatensor_rank23_transpose,random_kernel_direction_2,0.7,23,8.375244942016025e-15,0.4678273223286665,30.299031593773826,14,14,0,0.9260555015855387,5.807983151573728
alphatensor_rank23_transpose,random_kernel_direction_2,0.8,23,8.375244942016025e-15,0.3118848815524442,38.209699675948535,14,14,0,1.012615671459521,6.999558440967494
alphatensor_rank23_transpose,random_kernel_direction_2,0.9,23,8.375244942016025e-15,0.15594244077622224,44.15862695560979,14,14,0,1.0807549896792286,7.9317616769455075
alphatensor_rank23_transpose,random_kernel_direction_2,1.0,23,8.375244942016025e-15,8.396061623727746e-15,47.35489450620521,14,14,0,1.0957936635438383,8.599267020909217
standard_rank27,softest_kernel_direction,0.0,27,4.833567337262451e-17,0.6924861328562251,0.0,18,18,0,0.0,0.0
standard_rank27,softest_kernel_direction,0.1,27,4.833567337262451e-17,0.6232375195706026,0.0,18,18,0,2.220446049250313e-16,4.930380657631324e-32
standard_rank27,softest_kernel_direction,0.2,27,4.833567337262451e-17,0.5539889062849801,8.537736462515939e-07,18,18,0,2.220446049250313e-16,1.6023737137301802e-31
standard_rank27,softest_kernel_direction,0.3,27,4.833567337262451e-17,0.4847402929993575,0.0,18,18,0,0.0,0.0
standard_rank27,softest_kernel_direction,0.4,27,4.833567337262451e-17,0.41549167971373496,0.0,18,18,0,0.0,0.0
