base_label,step_idx,branch,sample_index,eps,step_norm,delta_norm,dot_lambda_norm,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,tensor_loss,restricted_rank,kernel_dim,is_regular
alphatensor_rank23_transpose,0,wildcard,8,0.03,3.1104191982664604,3.018039547041857,0.7524259973153187,0.6245923009701738,0.6066013400043474,0.6081958667064672,2.242645856762896e-15,1.9196519272756868e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,8,0.05,3.1104191982664604,3.018039547041857,0.7524259973153187,0.6245923009701738,0.5942492601566151,0.5987079660113782,3.793216503440947e-15,2.9759520609298937e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,9,0.001,3.6688175193783428,3.4401824898468907,1.2748985948099187,0.6245923009701738,0.6240240082284431,0.6240289471219503,2.844771187944826e-15,3.910412080657575e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,9,0.003,3.6688175193783428,3.4401824898468907,1.2748985948099187,0.6245923009701738,0.6228844387437912,0.6229289604203242,2.53469055478815e-15,3.389522870608535e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,9,0.01,3.6688175193783428,3.4401824898468907,1.2748985948099187,0.6245923009701738,0.6188658661565675,0.6193633617984389,3.1075682276536126e-15,3.287556508658325e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,9,0.03,3.6688175193783428,3.4401824898468907,1.2748985948099187,0.6245923009701738,0.6071528696971609,0.6117032200240248,2.215834836734176e-15,1.5193282931370543e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,9,0.05,3.6688175193783428,3.4401824898468907,1.2748985948099187,0.6245923009701738,0.5951470809313859,0.607985398169095,2.0487559467219304e-15,1.0980032803908033e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,10,0.001,3.204081626318582,3.108570766068484,0.7764836511200548,0.6245923009701738,0.6240070049808375,0.6240096615294509,3.707965834880969e-15,3.208312233613575e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,10,0.003,3.204081626318582,3.108570766068484,0.7764836511200548,0.6245923009701738,0.6228330137858626,0.6228569116442512,2.4251466490030693e-15,2.3108522513972696e-28,14,14,1
alphatensor_rank23_transpose,0,wildcard,10,0.01,3.204081626318582,3.108570766068484,0.7764836511200548,0.6245923009701738,0.6186898509128651,0.618955027591728,2.442942286333645e-15,2.1823538267731475e-28,14,14,1
