base_label,family,trial_index,noise_scale,R,rank_H_numeric,rank_HDelta_numeric,channel0_identity_max_abs,channel1_identity_max_abs,channel2_identity_max_abs,pair01_live_gap_max_abs,pair12_live_gap_max_abs,pair02_live_gap_max_abs,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,all_equal,3,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,4,0.02,23,0,9,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,18.0
alphatensor_rank23_transpose,all_equal,5,0.02,23,0,9,0.6666666666666673,0.6666666666666673,0.6666666666666673,0.0,0.0,0.0,0.6666666666666673,18.0
alphatensor_rank23_transpose,all_equal,6,0.02,23,0,9,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.0,0.0,0.0,0.6666666666666672,18.0
alphatensor_rank23_transpose,all_equal,7,0.02,23,0,9,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,18.0
alphatensor_rank23_transpose,all_equal,8,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,9,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,10,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,11,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,12,0.02,23,0,9,0.666666666666667,0.666666666666667,0.666666666666667,0.0,0.0,0.0,0.666666666666667,18.0
alphatensor_rank23_transpose,all_equal,13,0.02,23,0,9,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.0,0.0,0.0,0.6666666666666669,18.0
