tag,projection_loss,projection_max_abs,sampled_points,rank_W,rank_sigma,theta,candidate
start_1,1.5447940352273199e-28,1.7763568394002505e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 0.0, 0.0, 0.000125, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012499999804687506, 0.0, 0.0, 0.00012499999804687506, 0.9999999843750005, 0.0, 0.0, 0.0]"
start_1,2.1959931238476973e-28,2.2620794126737565e-15,200,76,9,"[0.000125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 1.0, 0.0, 0.0, 0.0]","[1.8146281837548137e-05, 5.827029911087949e-05, 4.0537797176747494e-05, 9.073140918774065e-06, 9.880809628762695e-05, 0.0, 0.0, 1.8146281837548124e-05, -9.073140918774065e-06, 0.0, 0.0, 0.0, 0.0, 0.00012499999804687503, 0.9999999843750003, 0.0, 0.0, 0.0]"
start_1,2.4236184992921335e-28,1.9984014443252818e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001249999990234375, 0.9999999921875001, 0.0, 0.0, 0.0]"
start_1,1.7772027678428262e-28,2.345346139520643e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 1.025, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012195121860535976, 0.99999999256395, 0.0, 0.0, 0.0]"
start_1,1.375384725918637e-28,1.7763568394002505e-15,200,76,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 1.0, 0.000125, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012499999804687506, 0.9999999843750005, 0.00012499999804687506, 0.0, 0.0]"
start_1,1.3334626370047867e-28,1.5681900222830336e-15,200,76,9,"[0.0, 0.000125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000125, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00012499999804687506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012499999804687506, 0.9999999843750005, 0.0, 0.0, 0.0]"
start_1,1.6159556348911842e-28,1.734723475976807e-15,200,76,9,"[2.0408163265306123e-05, 2.0408163265306123e-05, -1.785714285714286e-05, 2.0408163265306123e-05, 2.0408163265306123e-05, 2.0408163265306123e-05, 2.0408163265306123e-05, 2.0408163265306123e-05, 2.0408163265306123e-05, 0.00014540816326530625, 1.0040816326530613, 2.0408163265306123e-05, 2.0408163265306123e-05, 2.0408163265306123e-05]","[-2.085089519692633e-06, -1.5660702970008944e-05, 3.6565124783078916e-05, -5.252032127966272e-06, 2.0904421813069975e-05, 2.0325202989506835e-05, -1.7784552615818483e-05, -2.0850895196926315e-06, -3.1669426082736303e-06, 2.0325202989506835e-05, 2.0325202989506835e-05, 3.374358851981803e-21, 2.0325202989506835e-05, 0.00014481707130023632, 0.9999999870837364, 2.0325202989506835e-05, 3.374358851981803e-21, 2.0325202989506835e-05]"
start_1,1.5570424650687297e-28,1.9984014443252818e-15,200,76,9,"[-0.00011953352769679301, 2.3323615160349855e-05, -2.0408163265306123e-05, 2.3323615160349855e-05, 2.3323615160349855e-05, 2.3323615160349855e-05, 2.3323615160349855e-05, 2.3323615160349855e-05, 2.3323615160349855e-05, 0.00014832361516034997, 1.0046647230320702, 2.3323615160349855e-05, 2.3323615160349855e-05, 2.3323615160349855e-05]","[-2.30238934166479e-05, -8.417298250557841e-05, -4.349342454375167e-06, -1.6319997244894303e-05, -8.852232495995351e-05, 2.3215321627926752e-05, -2.031340642443591e-05, -2.3023893416647886e-05, 6.703896171753608e-06, 2.3215321627926752e-05, 2.3215321627926752e-05, 6.744800808886039e-21, 2.3215321627926752e-05, 0.0001476349359775968, 0.999999979122945, 2.3215321627926752e-05, 6.744800808886039e-21, 2.3215321627926752e-05]"
start_1,1.8631868400921474e-28,1.6930901125533637e-15,200,76,9,"[-1.1609745939192002e-05, 2.6655560183256977e-05, -2.3323615160349855e-05, 2.6655560183256977e-05, 2.6655560183256977e-05, 2.6655560183256977e-05, 2.6655560183256977e-05, 2.6655560183256977e-05, -0.00011620158267388589, 0.0001516555601832571, 1.0053311120366515, 2.6655560183256977e-05, 2.6655560183256977e-05, 2.6655560183256977e-05]","[-8.245524440446402e-06, -3.8172628502059505e-05, 3.535544915647587e-05, -9.614034782241474e-06, -2.8171793455836195e-06, 2.65142093878235e-05, -2.3199933214345565e-05, -8.245524440446397e-06, -1.3685103417950603e-06, 2.65142093878235e-05, 2.65142093878235e-05, 6.740329977680969e-21, -0.00011558538155004308, 0.00015085135145845687, 0.9999999784426308, 2.65142093878235e-05, 6.740329977680969e-21, 2.65142093878235e-05]"
start_1,1.7754463708748961e-28,1.9359513991901167e-15,200,76,9,"[-8.707309454394001e-06, 1.9991670137442732e-05, -1.749271137026239e-05, 1.9991670137442732e-05, 1.9991670137442732e-05, 1.9991670137442732e-05, 1.9991670137442732e-05, 1.9991670137442732e-05, -5.5901187005414415e-05, 0.00014499167013744282, 1.0039983340274885, 1.9991670137442732e-05, 1.9991670137442732e-05, 1.9991670137442732e-05]","[-6.192352644278966e-06, -2.866747636867226e-05, 2.655178705187625e-05, -7.220097901108139e-06, -2.1156893167960044e-06, 1.991205481221838e-05, -1.7423047960691085e-05, -6.192352644278961e-06, -1.0277452568291641e-06, 1.991205481221838e-05, 1.991205481221838e-05, 3.374638808569292e-21, -5.567856472557159e-05, 0.00014441425169799019, 0.9999999860486173, 1.991205481221838e-05, 3.374638808569292e-21, 1.991205481221838e-05]"
