term_id,coordinate,value,expected,abs_error,matches
t10,"E2[2,0]",0.0,0.0,0.0,True
t10,"E2[2,1]",-1.0,-1.0,0.0,True
t10,"E2[2,2]",1.0,1.0,0.0,True
t11,"E1[0,0]",1.0,1.0,0.0,True
t11,"E1[0,1]",1.0,1.0,0.0,True
t11,"E1[0,2]",-1.0,-1.0,0.0,True
t11,"E1[1,0]",0.0,0.0,0.0,True
t11,"E1[1,1]",0.0,0.0,0.0,True
t11,"E1[1,2]",0.0,0.0,0.0,True
t11,"E1[2,0]",1.0,1.0,0.0,True
t11,"E1[2,1]",1.0,1.0,0.0,True
t11,"E1[2,2]",-1.0,-1.0,0.0,True
t11,"E2[0,0]",-1.0,-1.0,0.0,True
t11,"E2[0,1]",-1.0,-1.0,0.0,True
t11,"E2[0,2]",1.0,1.0,0.0,True
t11,"E2[1,0]",0.0,0.0,0.0,True
t11,"E2[1,1]",0.0,0.0,0.0,True
t11,"E2[1,2]",0.0,0.0,0.0,True
t11,"E2[2,0]",-1.0,-1.0,0.0,True
t11,"E2[2,1]",-1.0,-1.0,0.0,True
t11,"E2[2,2]",1.0,1.0,0.0,True
t12,"E1[0,0]",0.0,0.0,0.0,True
t12,"E1[0,1]",0.0,0.0,0.0,True
t12,"E1[0,2]",0.0,0.0,0.0,True
t12,"E1[1,0]",0.0,0.0,0.0,True
t12,"E1[1,1]",0.0,0.0,0.0,True
t12,"E1[1,2]",0.0,0.0,0.0,True
t12,"E1[2,0]",0.0,0.0,0.0,True
t12,"E1[2,1]",0.0,0.0,0.0,True
t12,"E1[2,2]",0.0,0.0,0.0,True
t12,"E2[0,0]",1.0,1.0,0.0,True
t12,"E2[0,1]",0.0,0.0,0.0,True
t12,"E2[0,2]",0.0,0.0,0.0,True
t12,"E2[1,0]",0.0,0.0,0.0,True
t12,"E2[1,1]",0.0,0.0,0.0,True
t12,"E2[1,2]",0.0,0.0,0.0,True
t12,"E2[2,0]",1.0,1.0,0.0,True
t12,"E2[2,1]",0.0,0.0,0.0,True
t12,"E2[2,2]",0.0,0.0,0.0,True
t13,"E1[0,0]",0.0,0.0,0.0,True
t13,"E1[0,1]",0.0,0.0,0.0,True
t13,"E1[0,2]",0.0,0.0,0.0,True
t13,"E1[1,0]",0.0,0.0,0.0,True
t13,"E1[1,1]",0.0,0.0,0.0,True
t13,"E1[1,2]",0.0,0.0,0.0,True
t13,"E1[2,0]",1.0,1.0,0.0,True
t13,"E1[2,1]",0.0,0.0,0.0,True
t13,"E1[2,2]",0.0,0.0,0.0,True
t13,"E2[0,0]",0.0,0.0,0.0,True
t13,"E2[0,1]",0.0,0.0,0.0,True
t13,"E2[0,2]",0.0,0.0,0.0,True
t13,"E2[1,0]",0.0,0.0,0.0,True
t13,"E2[1,1]",0.0,0.0,0.0,True
t13,"E2[1,2]",0.0,0.0,0.0,True
t13,"E2[2,0]",0.0,0.0,0.0,True
t13,"E2[2,1]",0.0,0.0,0.0,True
t13,"E2[2,2]",0.0,0.0,0.0,True
t14,"E1[0,0]",0.0,0.0,0.0,True
t14,"E1[0,1]",0.0,0.0,0.0,True
t14,"E1[0,2]",0.0,0.0,0.0,True
t14,"E1[1,0]",1.0,1.0,0.0,True
t14,"E1[1,1]",0.0,0.0,0.0,True
t14,"E1[1,2]",0.0,0.0,0.0,True
t14,"E1[2,0]",2.0,2.0,0.0,True
t14,"E1[2,1]",0.0,0.0,0.0,True
t14,"E1[2,2]",1.0,1.0,0.0,True
t14,"E2[0,0]",0.0,0.0,0.0,True
t14,"E2[0,1]",0.0,0.0,0.0,True
t14,"E2[0,2]",0.0,0.0,0.0,True
t14,"E2[1,0]",-1.0,-1.0,0.0,True
t14,"E2[1,1]",0.0,0.0,0.0,True
t14,"E2[1,2]",0.0,0.0,0.0,True
t14,"E2[2,0]",-1.0,-1.0,0.0,True
t14,"E2[2,1]",0.0,0.0,0.0,True
t14,"E2[2,2]",0.0,0.0,0.0,True
t15,"E1[0,0]",0.0,0.0,0.0,True
t15,"E1[0,1]",0.0,0.0,0.0,True
t15,"E1[0,2]",0.0,0.0,0.0,True
t15,"E1[1,0]",1.0,1.0,0.0,True
t15,"E1[1,1]",0.0,0.0,0.0,True
t15,"E1[1,2]",1.0,1.0,0.0,True
t15,"E1[2,0]",1.0,1.0,0.0,True
t15,"E1[2,1]",0.0,0.0,0.0,True
t15,"E1[2,2]",1.0,1.0,0.0,True
t15,"E2[0,0]",0.0,0.0,0.0,True
t15,"E2[0,1]",0.0,0.0,0.0,True
t15,"E2[0,2]",0.0,0.0,0.0,True
t15,"E2[1,0]",0.0,0.0,0.0,True
t15,"E2[1,1]",0.0,0.0,0.0,True
t15,"E2[1,2]",0.0,0.0,0.0,True
t15,"E2[2,0]",0.0,0.0,0.0,True
t15,"E2[2,1]",0.0,0.0,0.0,True
t15,"E2[2,2]",0.0,0.0,0.0,True
t16,"E1[0,0]",0.0,0.0,0.0,True
t16,"E1[0,1]",0.0,0.0,0.0,True
t16,"E1[0,2]",0.0,0.0,0.0,True
t16,"E1[1,0]",0.0,0.0,0.0,True
t16,"E1[1,1]",0.0,0.0,0.0,True
t16,"E1[1,2]",0.0,0.0,0.0,True
t16,"E1[2,0]",0.0,0.0,0.0,True
t16,"E1[2,1]",0.0,0.0,0.0,True
t16,"E1[2,2]",0.0,0.0,0.0,True
t16,"E2[0,0]",0.0,0.0,0.0,True
t16,"E2[0,1]",0.0,0.0,0.0,True
t16,"E2[0,2]",0.0,0.0,0.0,True
t16,"E2[1,0]",0.0,0.0,0.0,True
t16,"E2[1,1]",0.0,0.0,0.0,True
t16,"E2[1,2]",0.0,0.0,0.0,True
t16,"E2[2,0]",0.0,0.0,0.0,True
t16,"E2[2,1]",0.0,0.0,0.0,True
t16,"E2[2,2]",-1.0,-1.0,0.0,True
t17,"E1[0,0]",0.0,0.0,0.0,True
t17,"E1[0,1]",0.0,0.0,0.0,True
t17,"E1[0,2]",0.0,0.0,0.0,True
t17,"E1[1,0]",0.0,0.0,0.0,True
t17,"E1[1,1]",0.0,0.0,0.0,True
t17,"E1[1,2]",0.0,0.0,0.0,True
t17,"E1[2,0]",0.0,0.0,0.0,True
t17,"E1[2,1]",0.0,0.0,0.0,True
t17,"E1[2,2]",0.0,0.0,0.0,True
t17,"E2[0,0]",0.0,0.0,0.0,True
t17,"E2[0,1]",0.0,0.0,0.0,True
t17,"E2[0,2]",0.0,0.0,0.0,True
t17,"E2[1,0]",-1.0,-1.0,0.0,True
t17,"E2[1,1]",0.0,0.0,0.0,True
t17,"E2[1,2]",0.0,0.0,0.0,True
t17,"E2[2,0]",0.0,0.0,0.0,True
t17,"E2[2,1]",0.0,0.0,0.0,True
t17,"E2[2,2]",0.0,0.0,0.0,True
t18,"E1[0,0]",0.0,0.0,0.0,True
t18,"E1[0,1]",0.0,0.0,0.0,True
t18,"E1[0,2]",0.0,0.0,0.0,True
t18,"E1[1,0]",0.0,0.0,0.0,True
