base_label,candidate,t_value,R,tensor_max_abs_residual,tensor_loss,kernel_dim,restricted_rank,kappa_ker,kappa_full,soft_lambda_h_max_abs,soft_lambda_gamma_max_abs,base_candidate_angle_deg,soft_mode_rotation_deg
alphatensor_rank23_transpose,random_kernel_direction_2,0.7,23,4.551914400963142e-15,3.4044533397267785e-28,14,14,0.23967503685611133,0.23967503685611086,0.13809177320898655,1.0130254464750727e-15,28.67136238798679,56.65124059251087
alphatensor_rank23_transpose,random_kernel_direction_2,0.8,23,3.6193270602780103e-14,2.1254247000740338e-26,14,14,0.09259008521871609,0.09259008521871627,0.058148229367942415,8.042381715007891e-15,39.66665373860821,87.75819434235265
alphatensor_rank23_transpose,random_kernel_direction_2,0.9,23,1.3017533476296065e-14,1.5398228375357245e-27,14,14,0.11126712993355145,0.11126712993355149,0.07523485855452117,1.9984014443252818e-15,56.33771935167585,73.67303841292744
alphatensor_rank23_transpose,random_kernel_direction_2,1.0,23,2.653433028854124e-13,1.2479723233668608e-24,14,14,0.06486190587044158,0.0648619058704416,0.049897264830909054,1.5543122344752192e-15,89.99999999999874,87.93201246610127
standard_rank27,softest_kernel_direction,0.0,27,0.0,0.0,18,18,0.9999999999999996,0.9999999999999996,0.6924861328562251,1.1102230246251565e-16,0.0,0.0
standard_rank27,softest_kernel_direction,0.1,27,2.220446049250313e-16,4.930380657631324e-32,18,18,0.8999999999999996,0.8999999999999998,0.3900097052547775,1.734723475976807e-16,0.0,76.99406580165613
standard_rank27,softest_kernel_direction,0.2,27,2.220446049250313e-16,7.395570986446986e-32,18,18,0.7999999999999996,0.7999999999999996,0.5121333864861307,4.579669976578771e-16,8.537736462515939e-07,78.6028113886513
standard_rank27,softest_kernel_direction,0.3,27,2.220446049250313e-16,4.930380657631324e-32,18,18,0.6999999999999996,0.6999999999999995,0.3213024854603231,1.1102230246251565e-16,0.0,48.44661498180017
standard_rank27,softest_kernel_direction,0.4,27,0.0,0.0,18,18,0.5999999999999998,0.5999999999999995,0.31136867398604606,1.942890293094024e-16,0.0,89.5031916989699
standard_rank27,softest_kernel_direction,0.5,27,0.0,0.0,18,18,0.49999999999999956,0.4999999999999998,0.26466060320709517,4.440892098500626e-16,0.0,54.298220330820754
standard_rank27,softest_kernel_direction,0.6,27,0.0,0.0,18,18,0.3999999999999999,0.3999999999999998,0.2396581473248555,2.220446049250313e-16,0.0,88.26125338179521
standard_rank27,softest_kernel_direction,0.7,27,0.0,0.0,18,18,0.29999999999999954,0.29999999999999966,0.12430394296136149,6.661338147750939e-16,0.0,66.13023592575492
standard_rank27,softest_kernel_direction,0.8,27,0.0,0.0,18,18,0.1999999999999999,0.19999999999999943,0.1029066294395441,2.220446049250313e-16,0.0,89.22755365543163
standard_rank27,softest_kernel_direction,0.9,27,0.0,0.0,18,18,0.09999999999999981,0.09999999999999919,0.04091159341004826,8.881784197001252e-16,0.0,67.04326348791582
standard_rank27,softest_kernel_direction,1.0,27,1.0,14.0,18,4,2.217730252320637e-16,1.4302133334275153e-16,2.0933901756153536e-16,9.62964972193618e-35,0.0,84.11967870449378
standard_rank27,random_kernel_direction_1,0.0,27,0.0,0.0,18,18,0.9999999999999996,0.9999999999999996,0.6924861328562251,1.1102230246251565e-16,0.0,0.0
standard_rank27,random_kernel_direction_1,0.1,27,3.3306690738754696e-16,5.669937756276022e-31,18,18,0.9008197285625978,0.9008197285625982,0.6445195413404068,1.1102230246251565e-16,2.5736997548357405,85.19868321597075
standard_rank27,random_kernel_direction_1,0.2,27,2.220446049250313e-16,3.0814879110195774e-31,18,18,0.8016332071352334,0.8016332071352329,0.5787696417743273,1.1102230246251565e-16,5.768231621439366,85.20151725600338
