term_id,fiber,eta1,eta2,xi_plus,xi_minus,xi_plus_formula_holds,xi_minus_formula_holds,conjugacy_holds
t15,"(0,2)",0,0,0,0,True,True,True
t15,"(1,0)",1,0,1,1,True,True,True
t15,"(1,1)",0,0,0,0,True,True,True
t15,"(1,2)",1,0,1,1,True,True,True
t15,"(2,0)",1,0,1,1,True,True,True
t15,"(2,1)",0,0,0,0,True,True,True
t15,"(2,2)",1,0,1,1,True,True,True
t16,"(0,0)",0,0,0,0,True,True,True
t16,"(0,1)",0,0,0,0,True,True,True
t16,"(0,2)",0,0,0,0,True,True,True
t16,"(1,0)",0,0,0,0,True,True,True
t16,"(1,1)",0,0,0,0,True,True,True
t16,"(1,2)",0,0,0,0,True,True,True
t16,"(2,0)",0,0,0,0,True,True,True
t16,"(2,1)",0,0,0,0,True,True,True
t16,"(2,2)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t17,"(0,0)",0,0,0,0,True,True,True
t17,"(0,1)",0,0,0,0,True,True,True
t17,"(0,2)",0,0,0,0,True,True,True
t17,"(1,0)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t17,"(1,1)",0,0,0,0,True,True,True
t17,"(1,2)",0,0,0,0,True,True,True
t17,"(2,0)",0,0,0,0,True,True,True
t17,"(2,1)",0,0,0,0,True,True,True
t17,"(2,2)",0,0,0,0,True,True,True
t18,"(0,0)",0,0,0,0,True,True,True
t18,"(0,1)",0,0,0,0,True,True,True
t18,"(0,2)",0,0,0,0,True,True,True
t18,"(1,0)",0,0,0,0,True,True,True
t18,"(1,1)",0,0,0,0,True,True,True
t18,"(1,2)",-1,1,-1/2 + sqrt(3)*I/2,-1/2 - sqrt(3)*I/2,True,True,True
t18,"(2,0)",0,0,0,0,True,True,True
t18,"(2,1)",0,0,0,0,True,True,True
t18,"(2,2)",0,0,0,0,True,True,True
t19,"(0,0)",0,0,0,0,True,True,True
t19,"(0,1)",0,0,0,0,True,True,True
t19,"(0,2)",0,0,0,0,True,True,True
t19,"(1,0)",0,0,0,0,True,True,True
t19,"(1,1)",0,0,0,0,True,True,True
t19,"(1,2)",0,0,0,0,True,True,True
t19,"(2,0)",0,-1,-1/2 - sqrt(3)*I/2,-1/2 + sqrt(3)*I/2,True,True,True
t19,"(2,1)",0,0,0,0,True,True,True
t19,"(2,2)",0,0,0,0,True,True,True
