decomposition_id,source,source_detail,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric,projection_nonzero_count_numeric,projection_unique_nonzero_coefficients_numeric,projection_allclose_to_integer_numeric,rank_Nuisance_numeric,rank_Sigma_numeric,quotient_gain_numeric,max_abs_residual,loss_value,rank_H_exact,rank_Delta_exact,rank_HDelta_exact,rank_Nuisance_exact,rank_Sigma_exact,quotient_gain_exact,eta_nullity_exact,delta_in_eta_exact,projection_nonzero_count,projection_unique_nonzero_coefficients,projection_integral,projection_support_min,projection_support_max
sym_160,symmetry_orbit,"action_id=160;((2, 0, 1), (1, 0, 2), (2, 0, 1))",14,10,14,True,1.2490009027033011e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,48,"['-1', '1']",True,0,6
sym_161,symmetry_orbit,"action_id=161;((2, 0, 1), (1, 0, 2), (2, 1, 0))",14,10,14,True,1.4432899320127035e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,54,"['-1', '1', '2']",True,0,6
sym_162,symmetry_orbit,"action_id=162;((2, 0, 1), (1, 2, 0), (0, 1, 2))",14,10,14,True,1.7763568394002505e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,43,"['-1', '1']",True,0,3
sym_163,symmetry_orbit,"action_id=163;((2, 0, 1), (1, 2, 0), (0, 2, 1))",14,10,14,True,1.7763568394002505e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_164,symmetry_orbit,"action_id=164;((2, 0, 1), (1, 2, 0), (1, 0, 2))",14,10,14,True,1.3322676295501878e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,43,"['-1', '1']",True,0,3
sym_165,symmetry_orbit,"action_id=165;((2, 0, 1), (1, 2, 0), (1, 2, 0))",14,10,14,True,1.5543122344752192e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_166,symmetry_orbit,"action_id=166;((2, 0, 1), (1, 2, 0), (2, 0, 1))",14,10,14,True,1.5543122344752192e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,43,"['-1', '1']",True,0,3
sym_167,symmetry_orbit,"action_id=167;((2, 0, 1), (1, 2, 0), (2, 1, 0))",14,10,14,True,1.5543122344752192e-15,212,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,49,"['-1', '-2', '1']",True,0,3
sym_168,symmetry_orbit,"action_id=168;((2, 0, 1), (2, 0, 1), (0, 1, 2))",14,10,14,True,2.3175905639050143e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,58,"['-1', '1']",True,0,6
sym_169,symmetry_orbit,"action_id=169;((2, 0, 1), (2, 0, 1), (0, 2, 1))",14,10,14,True,2.130240428499519e-15,367,-0;-1;0;1,False,14,9,9,0.0,0.0,14,10,14,14,9,9,4,True,60,"['-1', '1', '2']",True,0,6
