base_label,trial_index,R,annihilator_projection_residual,rank_H_numeric,restricted_rank_numeric,functional_defect_dim_numeric,lambda_kernel_distance,tensor_max_abs_residual,tensor_loss
alphatensor_rank23_transpose,70,23,4.3799686100243207e-13,14,14,0,1.3007071383081752,0.9569659798571962,5.955725420742439
alphatensor_rank23_transpose,71,23,1.1206313654810174e-15,14,14,0,1.2112724972696196,1.004767967842269,9.816636642439402
alphatensor_rank23_transpose,72,23,8.47585890362268e-15,14,14,0,1.2187382587804683,1.097744863782734,9.945602638443104
alphatensor_rank23_transpose,73,23,2.4841240175987878e-15,14,14,0,1.3354337531814862,1.0351286929726982,7.1327808403513355
alphatensor_rank23_transpose,74,23,8.066464163292153e-15,14,14,0,1.153019898082196,0.9034845707332667,8.433946260439075
alphatensor_rank23_transpose,75,23,9.56179579958416e-15,14,14,0,1.368827277776161,0.8541106435823385,4.585271782959119
alphatensor_rank23_transpose,76,23,1.021405182655144e-14,14,14,0,1.2348886888439983,1.024909608304949,7.229618956307299
alphatensor_rank23_transpose,77,23,4.586608870482678e-15,14,14,0,1.2898508364723975,1.010108414012615,6.207841170539193
alphatensor_rank23_transpose,78,23,6.1855902344643e-15,14,14,0,1.1927905953557112,0.6680211384226139,3.878045707158768
alphatensor_rank23_transpose,79,23,7.93809462606987e-15,14,14,0,1.030824439112971,1.079027867339569,7.869995753785662
alphatensor_rank23_transpose,80,23,1.9817480989559044e-14,14,14,0,0.9937534808749585,0.9842777958675178,9.24563622120111
standard_rank27,1,27,2.147587663259287e-15,18,18,0,1.4142135623730867,3.3306690738754696e-16,6.409494854920721e-31
standard_rank27,2,27,3.86843335142828e-16,18,18,0,1.414213562373091,3.3306690738754696e-16,4.683861624749758e-31
standard_rank27,3,27,2.0816681711721685e-16,18,18,0,1.4142135623730843,2.220446049250313e-16,2.465190328815662e-31
standard_rank27,4,27,1.726049858596923e-16,18,18,0,1.4142135623730934,3.3306690738754696e-16,3.821045009664276e-31
standard_rank27,5,27,4.3298697960381105e-15,18,18,0,1.4142135623730896,2.220446049250313e-16,3.4512664603419266e-31
standard_rank27,6,27,3.885780586188048e-16,18,18,0,1.4142135623730943,2.220446049250313e-16,3.2047474274603605e-31
standard_rank27,7,27,1.0581813203458523e-15,18,18,0,1.4142135623730938,2.220446049250313e-16,1.9721522630525295e-31
standard_rank27,8,27,1.9394208461420703e-15,18,18,0,1.4142135623729946,3.3306690738754696e-16,2.834968878138011e-31
standard_rank27,9,27,1.0781306403195856e-15,18,18,0,1.4142135623730852,2.220446049250313e-16,3.3280069439011436e-31
standard_rank27,10,27,4.466217957953986e-15,18,18,0,1.4142135623730812,2.220446049250313e-16,2.0954117794933126e-31
standard_rank27,11,27,5.741934705483231e-16,18,18,0,1.4142135623730931,2.220446049250313e-16,3.4512664603419266e-31
standard_rank27,12,27,1.9914625504213745e-15,18,18,0,1.4142135623730923,2.220446049250313e-16,2.2186712959340957e-31
standard_rank27,13,27,3.191891195797325e-16,18,18,0,1.4142135623730943,2.220446049250313e-16,2.9582283945787943e-31
standard_rank27,14,27,1.5380058338010372e-14,18,18,0,1.4142135623729757,2.220446049250313e-16,2.341930812374879e-31
standard_rank27,15,27,9.540979117872439e-15,18,18,0,1.4142135623730614,2.220446049250313e-16,1.8488927466117464e-31
standard_rank27,16,27,1.457167719820518e-16,18,18,0,1.4142135623730925,3.3306690738754696e-16,4.683861624749758e-31
standard_rank27,17,27,2.3950025990204793e-16,18,18,0,1.4142135623730923,3.3306690738754696e-16,3.944304526105059e-31
standard_rank27,18,27,5.542441505745899e-16,18,18,0,1.4142135623730945,2.220446049250313e-16,4.314083075427408e-31
standard_rank27,19,27,3.86843335142828e-16,18,18,0,1.4142135623730865,3.3306690738754696e-16,4.190823558986625e-31
standard_rank27,20,27,6.099287741534454e-15,18,18,0,1.4142135623730705,2.220446049250313e-16,1.355854680848614e-31
standard_rank27,21,27,6.522560269672795e-16,18,18,0,1.4142135623730931,3.3306690738754696e-16,4.067564042545842e-31
standard_rank27,22,27,1.870031907102998e-15,18,18,0,1.4142135623730898,2.220446049250313e-16,9.860761315262648e-32
standard_rank27,23,27,9.43689570931383e-16,18,18,0,1.4142135623730914,2.220446049250313e-16,2.711709361697228e-31
standard_rank27,24,27,3.7470027081099033e-16,18,18,0,1.4142135623730951,2.220446049250313e-16,3.2047474274603605e-31
standard_rank27,25,27,2.55351295663786e-15,18,18,0,1.4142135623730911,2.220446049250313e-16,1.232595164407831e-31
standard_rank27,26,27,3.896188927043909e-15,18,18,0,1.4142135623730827,2.220446049250313e-16,3.2047474274603605e-31
standard_rank27,27,27,1.3877787807814457e-15,18,18,0,1.4142135623730918,3.3306690738754696e-16,4.190823558986625e-31
standard_rank27,28,27,8.597289546941056e-15,18,18,0,1.4142135623730756,2.220446049250313e-16,2.711709361697228e-31
standard_rank27,29,27,5.738465258531278e-15,18,18,0,1.4142135623730947,2.220446049250313e-16,1.1093356479670479e-31
standard_rank27,30,27,5.065392549852277e-16,18,18,0,1.4142135623730927,2.220446049250313e-16,2.834968878138011e-31
standard_rank27,31,27,1.1761425167122752e-15,18,18,0,1.414213562373093,2.220446049250313e-16,2.588449845256445e-31
standard_rank27,32,27,5.52292586664116e-16,18,18,0,1.4142135623730872,2.220446049250313e-16,3.5745259767827097e-31
standard_rank27,33,27,3.1433189384699745e-15,18,18,0,1.4142135623730927,2.220446049250313e-16,3.0814879110195774e-31
standard_rank27,34,27,1.3262828335580679e-14,18,18,0,1.414213562373075,2.220446049250313e-16,1.9721522630525295e-31
standard_rank27,35,27,5.672545766444159e-16,18,18,0,1.414213562373094,2.220446049250313e-16,1.7256332301709633e-31
standard_rank27,36,27,3.642919299551295e-16,18,18,0,1.4142135623730434,3.3306690738754696e-16,5.300159206953673e-31
standard_rank27,37,27,2.1510571102112408e-15,18,18,0,1.414213562373091,2.220446049250313e-16,2.834968878138011e-31
standard_rank27,38,27,4.85722573273506e-16,18,18,0,1.414213562373094,3.3306690738754696e-16,4.067564042545842e-31
standard_rank27,39,27,1.4619382093794542e-15,18,18,0,1.4142135623730843,2.220446049250313e-16,2.588449845256445e-31
standard_rank27,40,27,1.8041124150158794e-16,18,18,0,1.4142135623730947,2.220446049250313e-16,3.4512664603419266e-31
standard_rank27,41,27,6.522560269672795e-16,18,18,0,1.414213562373094,3.3306690738754696e-16,3.3280069439011436e-31
standard_rank27,42,27,4.440892098500626e-16,18,18,0,1.4142135623730934,2.220446049250313e-16,1.9721522630525295e-31
standard_rank27,43,27,3.639449852599341e-15,18,18,0,1.414213562373088,3.3306690738754696e-16,2.711709361697228e-31
