policy_name,base_label,step_idx,branch,sample_index,eps,base_kappa_ker,kappa_ker_state,honest_defect_l2,tensor_max_abs_residual,restricted_rank,rotation_deg,step_cost,used_budget_before,used_budget_after,score,is_regular,within_rotation,within_budget,accepted_by_policy
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,5,0.001,0.6245923009701738,0.6240799829752326,0.6240893328068958,1.9335180660906517e-15,14,0.14549894039017436,0.004285250477950067,0.0,0.004285250477950067,0.6240799829752326,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,5,0.003,0.6245923009701738,0.6230525474745018,0.6231367900568411,1.4585450876419428e-15,14,0.4338708044656732,0.012855751433850201,0.0,0.012855751433850201,0.6230525474745018,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,5,0.01,0.6245923009701738,0.6194276267511722,0.6203668488485065,4.672791373432248e-15,14,1.4160848135175097,0.042852504779500665,0.0,0.042852504779500665,0.6194276267511722,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,5,0.03,0.6245923009701738,0.6088351619622385,0.617333146493468,1.9885486202049806e-15,14,4.003638204008527,0.128557514338502,0.0,0.128557514338502,0.6088351619622385,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,5,0.05,0.6245923009701738,0.5979216628823332,0.6214967060294126,2.445418610109009e-15,14,6.302062969443806,0.21426252389750333,0.0,0.21426252389750333,0.5979216628823332,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,6,0.001,0.6245923009701738,0.6239891531844546,0.6239916451197344,2.170072737685261e-15,14,0.16736016900727374,0.003807628050908443,0.0,0.003807628050908443,0.6239891531844546,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,6,0.003,0.6245923009701738,0.6227796996372885,0.622802110783833,1.8115141267424022e-15,14,0.4966074774180343,0.011422884152725328,0.0,0.011422884152725328,0.6227796996372885,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,6,0.01,0.6245923009701738,0.6185148319764964,0.6187632638623549,1.6805784267392983e-15,14,1.5942200704166278,0.038076280509084424,0.0,0.038076280509084424,0.6185148319764964,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,6,0.03,0.6245923009701738,0.6060877700163082,0.6083124814169041,3.7350692674453066e-15,14,4.3231725969451125,0.11422884152725327,0.0,0.11422884152725327,0.6060877700163082,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,6,0.05,0.6245923009701738,0.5933645119040123,0.5995274077520304,3.935567854093524e-15,14,6.576608188887339,0.19038140254542213,0.0,0.19038140254542213,0.5933645119040123,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,7,0.001,0.6245923009701738,0.6240860921882156,0.6240900992645213,2.7201554088377342e-15,14,0.17831367576785612,0.003466630419953369,0.0,0.003466630419953369,0.6240860921882156,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,7,0.003,0.6245923009701738,0.6230701021832232,0.6231061744534088,2.7075285198647714e-15,14,0.5291562992571469,0.010399891259860107,0.0,0.010399891259860107,0.6230701021832232,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,7,0.01,0.6245923009701738,0.6194780400326337,0.6198791891340122,2.3389871048052065e-15,14,1.6989322807647242,0.03466630419953369,0.0,0.03466630419953369,0.6194780400326337,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,7,0.03,0.6245923009701738,0.6089368918287497,0.6125568379727351,2.886579864025407e-15,14,4.603577022188019,0.10399891259860106,0.0,0.10399891259860106,0.6089368918287497,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,7,0.05,0.6245923009701738,0.5980458560301868,0.6081294402111889,2.3162898732608966e-15,14,6.990449240666924,0.17333152099766846,0.0,0.17333152099766846,0.5980458560301868,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,8,0.001,0.6245923009701738,0.6238285446029063,0.6238343748340942,1.8315011174744213e-15,14,0.14000903767364378,0.0049896055254166445,0.0,0.0049896055254166445,0.6238285446029063,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,8,0.003,0.6245923009701738,0.6222980227216176,0.6223505776235246,2.35203088256999e-15,14,0.4159304558154455,0.014968816576249934,0.0,0.014968816576249934,0.6222980227216176,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,8,0.01,0.6245923009701738,0.6169105702738336,0.6174977422496799,2.650764479852759e-15,14,1.3413237336907584,0.049896055254166446,0.0,0.049896055254166446,0.6169105702738336,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,8,0.03,0.6245923009701738,0.6012775188964926,0.6066465687445259,1.887379141862766e-15,14,3.697224084540296,0.14968816576249933,0.0,0.14968816576249933,0.6012775188964926,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,8,0.05,0.6245923009701738,0.5853361880158882,0.600500512207465,3.658348669658128e-15,14,5.735597886733636,0.24948027627083225,0.0,0.24948027627083225,0.5853361880158882,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,9,0.001,0.6245923009701738,0.6238961121423016,0.6239000820636204,3.2727033650916707e-15,14,0.19923209241328219,0.00414042882758921,0.0,0.00414042882758921,0.6238961121423016,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,9,0.003,0.6245923009701738,0.6224993823453915,0.6225351110066156,2.872716404519923e-15,14,0.5904172807981418,0.01242128648276763,0.0,0.01242128648276763,0.6224993823453915,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,9,0.01,0.6245923009701738,0.6175671830444145,0.6179642387979264,3.4416913763379853e-15,14,1.8869983730600342,0.0414042882758921,0.0,0.0414042882758921,0.6175671830444145,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,9,0.03,0.6245923009701738,0.6031458807716578,0.6067282965172248,3.566050387418486e-15,14,5.059095247602099,0.12421286482767628,0.0,0.12421286482767628,0.6031458807716578,1,1,1,1
smooth_greedy,alphatensor_rank23_transpose,0,wildcard,9,0.05,0.6245923009701738,0.5883241424350469,0.5983283787034236,1.7763568394002505e-15,14,7.626376496411987,0.2070214413794605,0.0,0.2070214413794605,0.5883241424350469,1,1,1,1
