policy_name,base_label,step_idx,accepted,branch,sample_index,eps,base_kappa_ker,next_kappa_ker,rotation_deg,step_cost,used_budget_after,score,tensor_max_abs_residual,restricted_rank
smooth_budgeted_long,alphatensor_rank23_transpose,2,1,structured,0,0.001,0.6233424714689694,0.6227185000842123,0.18305444603001425,0.003228641978925588,0.009699581811664481,0.6249607760149509,2.751916733414263e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,3,1,structured,0,0.001,0.6227185000842123,0.6220951569854097,0.1817917056107644,0.003224133703218166,0.012923715514882647,0.6243326233833586,2.666593144946091e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,4,1,structured,0,0.001,0.6220951569854097,0.6214724417037027,0.18050637320890198,0.003219654429440715,0.016143369944323364,0.6237050783167153,3.299912103671704e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,5,1,wildcard,33,0.001,0.6214724417037027,0.6209194594693858,0.1829003663927156,0.0030581932574288667,0.01920156320175223,0.6230592093678309,3.2740460240193713e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,6,1,structured,0,0.001,0.6209194594693858,0.6202979286288565,0.17801546804185892,0.00321075210209122,0.022412315303843452,0.6225210723368476,2.4999018057891014e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,7,1,structured,0,0.001,0.6202979286288565,0.6196770241830587,0.17667706068638106,0.0032063840369310525,0.025618699340774504,0.621895316373028,3.155213533291988e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,8,1,structured,0,0.001,0.6196770241830587,0.6190567456297263,0.1753223442081319,0.003202047261696213,0.028820746602470717,0.6212701778937576,2.6645352591003757e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,9,1,structured,0,0.001,0.6190567456297263,0.6184371022747941,0.1722247324000306,0.0031944928840813413,0.032015239486552056,0.6206408392259096,2.55351295663786e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,10,1,structured,0,0.001,0.6184371022747941,0.6178180738850464,0.17258443113218877,0.0031935482411402562,0.035208787727692314,0.6200218435482843,2.6990207836341225e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,11,1,structured,0,0.001,0.6178180738850464,0.6171996792051488,0.16953607440452986,0.003186199307025222,0.03839498703471754,0.6193939589133715,3.254368126532478e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,12,1,wildcard,38,0.001,0.6171996792051488,0.6166562842281741,0.09836527373929191,0.003074913718574022,0.041469900753291565,0.6186651745822174,2.7281908086848416e-15,14
smooth_budgeted_long,alphatensor_rank23_transpose,13,1,structured,0,0.001,0.6166562842281741,0.6160390601965784,0.16723257309245604,0.0031796359195126788,0.044649536672804246,0.6182255627034401,2.886579864025407e-15,14
