base_label,policy_name,rotation_cap_deg,total_budget,accepted_steps,wildcard_wins,budget_used,initial_kappa_ker,final_kappa_ker,total_gain,feasible_descent
alphatensor_rank23_transpose,sharpen_rot4p5_budget0p2,4.5,0.2,3,3,0.19886455631709635,0.6245923009701738,0.5935791321447446,0.03101316882542926,1
standard_rank27,sharpen_rot4p5_budget0p2,4.5,0.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget0p4,4.5,0.4,3,2,0.3997627078217907,0.6245923009701738,0.567064344777005,0.05752795619316886,1
standard_rank27,sharpen_rot4p5_budget0p4,4.5,0.4,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget0p8,4.5,0.8,5,5,0.7997478161194073,0.6245923009701738,0.5110788418526863,0.11351345911748756,1
standard_rank27,sharpen_rot4p5_budget0p8,4.5,0.8,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget1p2,4.5,1.2,7,7,1.1996072149456238,0.6245923009701738,0.4597918551042345,0.16480044586593934,1
standard_rank27,sharpen_rot4p5_budget1p2,4.5,1.2,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget2p0,4.5,2.0,10,10,1.9989763973733332,0.6245923009701738,0.3667918557831747,0.2578004451869991,1
standard_rank27,sharpen_rot4p5_budget2p0,4.5,2.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot4p5_budget3p0,4.5,3.0,14,13,2.9985154628526476,0.6245923009701738,0.281212015099463,0.34338028587071084,1
standard_rank27,sharpen_rot4p5_budget3p0,4.5,3.0,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget0p02,5.0,0.02,2,1,0.01983275831649331,0.6245923009701738,0.6215840658769685,0.003008235093205358,1
standard_rank27,sharpen_rot5p0_budget0p02,5.0,0.02,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
alphatensor_rank23_transpose,sharpen_rot5p0_budget0p05,5.0,0.05,1,1,0.0475152281032405,0.6245923009701738,0.6170354583151804,0.007556842654993456,1
standard_rank27,sharpen_rot5p0_budget0p05,5.0,0.05,0,0,0.0,0.9999999999999996,0.9999999999999996,0.0,0
