search_id,rank,strategy,init_detail,seed,final_loss,final_max_abs,exact_hit,rank_H_numeric,rank_Delta_numeric,rank_Nuisance_numeric,quotient_gain_numeric,delta_in_eta_numeric,projection_max_residual_numeric,border_tail_norm
cold22_0144,22,cold_random,cold22,623144,1.0319411986985023,0.08921633668984208,False,18,22,22,0,False,0.03671062793288549,
cold22_0116,22,cold_random,cold22,623116,1.0162882075081943,0.09549056448206983,False,18,22,22,0,False,0.03404576564217153,
cold22_0168,22,cold_random,cold22,623168,1.0104092840720356,0.10030980836390013,False,18,22,22,0,False,0.02019100822449141,
cold22_0080,22,cold_random,cold22,623080,1.0002731993886183,0.10111993339935899,False,18,22,22,0,False,0.0056396409267173205,
cold22_0212,22,cold_random,cold22,623212,1.0155253556711115,0.1027472488647112,False,18,22,22,0,False,0.01322310136653965,
cold22_0110,22,cold_random,cold22,623110,1.005721294054867,0.10889834057602743,False,18,22,22,0,False,0.009248639116200857,
cold22_0177,22,cold_random,cold22,623177,1.008042751302334,0.11124838649163976,False,18,22,22,0,False,0.008276079484343501,
cold22_0145,22,cold_random,cold22,623145,1.0175020477104477,0.1146606968311279,False,18,22,22,0,False,0.007112765740198271,
cold22_0218,22,cold_random,cold22,623218,1.0166058126245738,0.11492325954703869,False,18,22,22,0,False,0.011860840586186527,
cold22_0201,22,cold_random,cold22,623201,1.0026432914012886,0.11545016507430184,False,18,22,22,0,False,0.03319414455761428,
cold22_0086,22,cold_random,cold22,623086,1.0224021304671458,0.11705933577417926,False,18,22,22,0,False,0.29233899434763266,
cold22_0075,22,cold_random,cold22,623075,1.0181579700136958,0.11909555932475269,False,18,22,22,0,False,0.026193982253755653,
cold22_0040,22,cold_random,cold22,623040,1.0140984108874367,0.12073421367286818,False,18,22,22,0,False,0.02514854825991118,
cold22_0178,22,cold_random,cold22,623178,1.0197114271776646,0.1248072165539118,False,18,22,22,0,False,0.08401853864456388,
cold22_0011,22,cold_random,cold22,623011,1.0146842660367636,0.12865433969554374,False,18,22,22,0,False,0.04489229713127682,
cold22_0117,22,cold_random,cold22,623117,1.0179873123771492,0.12959521445693872,False,18,22,22,0,False,0.0387934200368473,
cold22_0172,22,cold_random,cold22,623172,1.015994954110484,0.13081729848776263,False,18,22,22,0,False,0.1100606711268611,
cold22_0065,22,cold_random,cold22,623065,1.0156333060309373,0.13096380464742396,False,18,22,22,0,False,0.01691549303728057,
cold22_0113,22,cold_random,cold22,623113,1.008922955547786,0.1319504872314382,False,18,22,22,0,False,0.026795404745117442,
border23_0018,22,border_vanishing_tail,rank23_with_penalized_last_term,777018,1.0097902180203286,0.13558256703783308,False,18,22,22,0,False,0.05213941659845847,0.31828663930767914
cold22_0165,22,cold_random,cold22,623165,1.00644736288975,0.13574147289622873,False,18,22,22,0,False,0.004437124217566943,
cold22_0194,22,cold_random,cold22,623194,1.0211466040556023,0.13652047940794554,False,18,22,22,0,False,0.05189265945370575,
cold22_0253,22,cold_random,cold22,623253,1.0106353638607768,0.13733547631033605,False,18,22,22,0,False,0.028768524307329308,
cold22_0118,22,cold_random,cold22,623118,1.042306857464789,0.13777816240643703,False,18,22,22,0,False,0.13220435424091082,
cold22_0182,22,cold_random,cold22,623182,1.015130745322558,0.13788873639675436,False,18,22,22,0,False,0.025925862609633893,
cold22_0209,22,cold_random,cold22,623209,1.0183388905590725,0.14027787479370973,False,18,22,22,0,False,0.028882308418162972,
cold22_0148,22,cold_random,cold22,623148,1.0217563254963185,0.1412465867495294,False,18,22,22,0,False,0.05127927382435277,
cold22_0193,22,cold_random,cold22,623193,1.0020393622944108,0.1430684600982843,False,18,22,22,0,False,0.002409689153925254,
cold22_0031,22,cold_random,cold22,623031,2.0018640641779517,0.1441080036060094,False,18,22,22,0,False,0.015624657533589228,
border23_0002,22,border_vanishing_tail,rank23_with_penalized_last_term,777002,1.0005035064949992,0.14411569576185923,False,18,22,22,0,False,0.013375679267799982,0.3810296591928281
cold22_0149,22,cold_random,cold22,623149,1.006148062698868,0.1448658808970248,False,18,22,22,0,False,0.09966052360855054,
cold22_0169,22,cold_random,cold22,623169,1.0117665878925917,0.14492809959304465,False,18,22,22,0,False,0.16278991526388634,
cold22_0126,22,cold_random,cold22,623126,1.016620558121617,0.1454372196509267,False,18,22,22,0,False,0.011705898296437756,
cold22_0101,22,cold_random,cold22,623101,1.0146377623519975,0.14587971638053077,False,18,22,22,0,False,0.03197299540493188,
cold22_0069,22,cold_random,cold22,623069,1.0242228232040285,0.14800572821832386,False,18,22,22,0,False,0.03583170280507998,
cold22_0078,22,cold_random,cold22,623078,1.0451540657155745,0.14957093033594504,False,18,22,22,0,False,0.0777628330865916,
cold22_0034,22,cold_random,cold22,623034,1.0015197692872684,0.14963636542284287,False,18,22,22,0,False,0.007014166923322296,
cold22_0162,22,cold_random,cold22,623162,1.0088220624941577,0.1499888270648908,False,18,22,22,0,False,0.005989884743781704,
cold22_0161,22,cold_random,cold22,623161,1.0133889753499132,0.15111197954548095,False,18,22,22,0,False,0.09569168088927635,
cold22_0170,22,cold_random,cold22,623170,1.0212935376136727,0.1530768040592494,False,18,22,22,0,False,0.015692101791532465,
cold22_0133,22,cold_random,cold22,623133,1.146903899189125,0.15347556785575567,False,18,22,22,0,False,0.05036622641265098,
cold22_0199,22,cold_random,cold22,623199,1.000621729497658,0.15794479120722127,False,18,22,22,0,False,0.004177917903323261,
cold22_0012,22,cold_random,cold22,623012,1.0192932551276188,0.15794750077145103,False,18,22,22,0,False,0.0219907348281273,
cold22_0023,22,cold_random,cold22,623023,1.006276323907822,0.15814351930722215,False,18,22,22,0,False,0.019726181598164045,
cold22_0097,22,cold_random,cold22,623097,1.0202688255844117,0.15879358915479225,False,18,22,22,0,False,0.051900084822333686,
cold22_0254,22,cold_random,cold22,623254,1.0939694639134585,0.1599438089468208,False,18,22,22,0,False,0.06448869155106737,
cold22_0241,22,cold_random,cold22,623241,1.0103261614949834,0.16265507151859726,False,18,22,22,0,False,0.016951554322988838,
cold22_0055,22,cold_random,cold22,623055,1.0369716596622762,0.1628614534300099,False,18,22,22,0,False,0.066449595778735,
border23_0025,22,border_vanishing_tail,rank23_with_penalized_last_term,777025,1.0009696329882427,0.16319705179555688,False,18,22,22,0,False,0.005827348331628138,0.3808470442102331
cold22_0079,22,cold_random,cold22,623079,1.0669032224622454,0.16376435160741798,False,18,22,22,0,False,0.056593347115404105,
cold22_0244,22,cold_random,cold22,623244,1.063890719430213,0.1652659490977857,False,18,22,22,0,False,0.046478927058575065,
cold22_0255,22,cold_random,cold22,623255,1.048197749124416,0.16529170274766558,False,18,22,22,0,False,0.144015552857642,
cold22_0135,22,cold_random,cold22,623135,1.004493737998836,0.16624083037103132,False,18,22,22,0,False,0.002774342677870606,
cold22_0051,22,cold_random,cold22,623051,1.0148864249038976,0.16692206549555522,False,18,22,22,0,False,0.007661959011188995,
cold22_0252,22,cold_random,cold22,623252,1.0043690223753183,0.16868860015669174,False,18,22,22,0,False,0.0034732397378293145,
border23_0012,22,border_vanishing_tail,rank23_with_penalized_last_term,777012,2.003029896505706,0.1698036122029395,False,18,22,22,0,False,0.0614598508090322,0.3242048293155291
cold22_0044,22,cold_random,cold22,623044,1.0113673235833136,0.16987500982232073,False,18,22,22,0,False,0.015067368330013042,
border23_0017,22,border_vanishing_tail,rank23_with_penalized_last_term,777017,1.000174222373815,0.17022271710150816,False,18,22,22,0,False,0.0017042532276991817,0.27550332945144973
cold22_0095,22,cold_random,cold22,623095,1.002520248009065,0.17036695634503607,False,18,22,22,0,False,0.008535738622113528,
cold22_0185,22,cold_random,cold22,623185,1.0142962488414204,0.1705194330583526,False,18,22,22,0,False,0.016940006707042543,
cold22_0181,22,cold_random,cold22,623181,1.0175308294599499,0.17062521241934314,False,18,22,22,0,False,0.010265360321449146,
cold22_0016,22,cold_random,cold22,623016,1.0699117348308296,0.1709985351395792,False,18,22,22,0,False,0.23522156404944428,
cold22_0041,22,cold_random,cold22,623041,1.0263245343286147,0.17347703311353824,False,18,22,22,0,False,0.041632808711390225,
border23_0013,22,border_vanishing_tail,rank23_with_penalized_last_term,777013,1.006591515595626,0.17751172091119627,False,18,22,22,0,False,0.016784842448159934,0.7825906543038182
cold22_0007,22,cold_random,cold22,623007,2.0096355023221664,0.17768598118308687,False,18,22,22,0,False,0.026031069331081298,
cold22_0064,22,cold_random,cold22,623064,1.0014881464578964,0.17857459050466984,False,18,22,22,0,False,0.01904055358584439,
cold22_0105,22,cold_random,cold22,623105,2.00203587625744,0.18070620741830623,False,18,22,22,0,False,0.03716578355239791,
cold22_0205,22,cold_random,cold22,623205,1.001848581113062,0.1828396095557564,False,18,22,22,0,False,0.023848421886434296,
cold22_0036,22,cold_random,cold22,623036,2.0043124035358764,0.18284047459726605,False,18,22,22,0,False,0.003207029103769521,
cold22_0089,22,cold_random,cold22,623089,1.0278592183339486,0.18356659390505403,False,18,22,22,0,False,0.059662051728406315,
cold22_0027,22,cold_random,cold22,623027,1.0127643363827024,0.18564927818281107,False,18,22,22,0,False,0.06199301536498347,
cold22_0003,22,cold_random,cold22,623003,1.0076746168186304,0.18646557674798503,False,18,22,22,0,False,0.005455691588200473,
cold22_0208,22,cold_random,cold22,623208,1.0084939472344774,0.18735715644679118,False,18,22,22,0,False,0.0063794402457557076,
cold22_0173,22,cold_random,cold22,623173,2.006210139347767,0.1876656324310252,False,18,22,22,0,False,0.009997541345148821,
cold22_0159,22,cold_random,cold22,623159,1.0208177852470812,0.18821073201708005,False,18,22,22,0,False,0.07086769685187959,
cold22_0020,22,cold_random,cold22,623020,1.0141016552966122,0.18938092433791998,False,18,22,22,0,False,0.017004251518926594,
cold22_0171,22,cold_random,cold22,623171,1.0019010894422689,0.18946268648847842,False,18,22,22,0,False,0.0031693294726441446,
cold22_0164,22,cold_random,cold22,623164,2.0049556118183434,0.19082852378792936,False,18,22,22,0,False,0.008732430408969764,
cold22_0221,22,cold_random,cold22,623221,2.0061810164589433,0.19318549482398062,False,18,22,22,0,False,0.014787257678704018,
cold22_0166,22,cold_random,cold22,623166,1.0184841497286132,0.1962996374769307,False,18,22,22,0,False,0.09692618698522032,
cold22_0154,22,cold_random,cold22,623154,1.0042326028708124,0.1971951070912099,False,18,22,22,0,False,0.002035215580515637,
cold22_0213,22,cold_random,cold22,623213,1.008511764773278,0.19757467929615258,False,18,22,22,0,False,0.004956847086471764,
border23_0027,22,border_vanishing_tail,rank23_with_penalized_last_term,777027,1.004495696750519,0.20013891717688104,False,18,22,22,0,False,0.025068312029138888,0.3005241924289787
cold22_0174,22,cold_random,cold22,623174,1.0138265370524033,0.20248120986771678,False,18,22,22,0,False,0.0073077611490560135,
cold22_0085,22,cold_random,cold22,623085,1.0336377574156899,0.204007717252214,False,18,22,22,0,False,0.1373663613193798,
cold22_0186,22,cold_random,cold22,623186,1.0066972318102203,0.20556183030756836,False,18,22,22,0,False,0.011529759628575498,
cold22_0026,22,cold_random,cold22,623026,1.0120351269223304,0.20591228896522495,False,18,22,22,0,False,0.013324580187988433,
cold22_0025,22,cold_random,cold22,623025,1.0141092904571072,0.2059700890745667,False,18,22,22,0,False,0.031542598438532826,
cold22_0163,22,cold_random,cold22,623163,2.0000303898481038,0.20662886414817216,False,18,22,22,0,False,0.0009700350267391189,
cold22_0103,22,cold_random,cold22,623103,1.0267329357336386,0.20818666067075198,False,18,22,22,0,False,0.013354954675005026,
cold22_0211,22,cold_random,cold22,623211,1.0041256570659565,0.20869751734418562,False,18,22,22,0,False,0.026936527102508934,
cold22_0022,22,cold_random,cold22,623022,1.0564420554745635,0.20889201009387437,False,18,22,22,0,False,0.054225053740793394,
cold22_0021,22,cold_random,cold22,623021,1.0071583524790668,0.20909165712663103,False,18,22,22,0,False,0.02719672521818596,
