trial_index,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric
189,18,23,23,False,1.65952922493043
190,18,23,23,False,2.0815696665524666
191,18,23,23,False,1.9259081002372591
192,18,23,23,False,2.080458021965378
193,18,23,23,False,2.215005814320556
194,18,23,23,False,1.9450725141626437
195,18,23,23,False,2.0093432900375774
196,18,23,23,False,1.8617087081060562
197,18,23,23,False,1.343732397528166
198,18,23,23,False,2.2772940382007287
199,18,23,23,False,1.6503111859099162
200,18,23,23,False,1.8977818037423604
201,18,23,23,False,1.677583188460468
202,18,23,23,False,1.768419849804752
203,18,23,23,False,2.3566217047896707
204,18,23,23,False,1.8964448944351382
205,18,23,23,False,2.5682909809693255
206,18,23,23,False,1.9185903035647764
207,18,23,23,False,1.8688997555918094
208,18,23,23,False,2.2878369171638138
209,18,23,23,False,1.9072685883166707
210,18,23,23,False,1.9887189993654362
211,18,23,23,False,2.659820756352552
212,18,23,23,False,1.8823331621198165
213,18,23,23,False,1.8476304945650845
214,18,23,23,False,1.5188328339932473
215,18,23,23,False,1.815079459416922
216,18,23,23,False,2.1633779029886964
217,18,23,23,False,1.5931380013000236
218,18,23,23,False,2.0361480075174687
219,18,23,23,False,1.828627935274623
220,18,23,23,False,2.139344785204258
221,18,23,23,False,2.0746513867556176
222,18,23,23,False,2.2501664036695184
223,18,23,23,False,1.9483547416911495
224,18,23,23,False,2.5414355282301653
225,18,23,23,False,2.0426552657821326
226,18,23,23,False,2.448879127837035
227,18,23,23,False,2.220991237278178
228,18,23,23,False,2.3721164698918713
229,18,23,23,False,2.2152819504577397
230,18,23,23,False,2.884755217854245
231,18,23,23,False,1.6944343952556578
232,18,23,23,False,1.7768255772514374
233,18,23,23,False,2.1212351605336104
234,18,23,23,False,1.8412530611036626
235,18,23,23,False,2.3828676572135854
236,18,23,23,False,1.5538642814234844
237,18,23,23,False,3.3664232828152016
238,18,23,23,False,2.47985755875889
239,18,23,23,False,2.02030133148253
240,18,23,23,False,1.9940145987266011
241,18,23,23,False,1.4227888307202368
242,18,23,23,False,2.4256525577583226
243,18,23,23,False,2.174777119187677
244,18,23,23,False,1.6890376543976626
245,18,23,23,False,2.279487161825598
246,18,23,23,False,3.238882068925964
247,18,23,23,False,1.9093865296657002
248,18,23,23,False,2.715840367265567
249,18,23,23,False,1.7054805454967794
250,18,23,23,False,2.2677070264571024
251,18,23,23,False,1.798460832400691
252,18,23,23,False,1.7933303447517575
253,18,23,23,False,1.8166299351075557
254,18,23,23,False,2.5297017700706936
255,18,23,23,False,2.4369698749404787
256,18,23,23,False,2.417168213301654
257,18,23,23,False,2.1449581961871256
258,18,23,23,False,1.7801117627310556
259,18,23,23,False,1.918002800569048
260,18,23,23,False,2.185102219193946
261,18,23,23,False,2.2925189940378075
262,18,23,23,False,2.318620930604834
263,18,23,23,False,2.036040793703552
264,18,23,23,False,1.5303951954252457
265,18,23,23,False,2.415343586067611
266,18,23,23,False,1.9388264392975916
267,18,23,23,False,2.6439576016581854
268,18,23,23,False,2.365379111889019
269,18,23,23,False,1.4897064813321323
270,18,23,23,False,3.085441948366787
271,18,23,23,False,2.7242120532339684
272,18,23,23,False,2.149617312621028
273,18,23,23,False,1.9741342754071562
274,18,23,23,False,2.0633904772045506
275,18,23,23,False,1.6712075791700889
276,18,23,23,False,1.8503831038211835
277,18,23,23,False,2.326019206916487
278,18,23,23,False,1.968647791386827
279,18,23,23,False,1.9258846919318606
280,18,23,23,False,1.8797436042462619
281,18,23,23,False,2.397326313116051
282,18,23,23,False,1.8816089363864692
283,18,23,23,False,1.982683871108918
284,18,23,23,False,2.1435008447677424
285,18,23,23,False,1.567057893019133
286,18,23,23,False,1.9305534047058033
287,18,23,23,False,1.6128026554990198
288,18,23,23,False,2.1056556016549184
289,18,23,23,False,2.105906290281693
290,18,23,23,False,1.6750135443891925
